# 《通用规范汉字表》（2013年） 
# https://github.com/cdtym/digital-table-of-general-standard-chinese-characters
#
# 原表8105字
# 附表一繁体字列2648字（传承字）
# 附表一异体字列1023字
# 全表共计11776=8105+2648+1023字
# 其中133字分别出现2次，去重后共11643字。
# 繁简关系：无繁体组5552、一一对应组2445、复杂对应组108（其有96组一个规范字对应多个繁体字（或传承字））。
# 
# 缺少编码
# 其中有5个异体字字未进行unicode编码，分别是：
# 610_1_3	⿰韋刄 	
# 1360_0_1	⿰王冊 # 1360_0_1可认同到“珊”（参考港台字形，同码异形）
# 2424_0_2	⿰氵⿱⿻夕丶缶 # 2424_0_2疑似可以认同到“滛”U+6EDB，参考校编本《第一批异体字整理表》，顾雪枫 编著，苏州大学出版社
# 3317_0_2	⿰扌㕘	# 3317_0_2疑似可以认同到“撡”U+64A1，参考《语言文字规范标准 (教育部语言文字信息管理司组编)》 
# 4225_0_1	⿰口芉	# 4225_0_1疑似可以认同到“哶”U+54F6

# 序号	汉字	Unicode		
361	巩	U+5DE9
361_1	鞏	U+978F
362	圾	U+573E
363	执	U+6267
363_1	執	U+57F7
364	扩	U+6269
364_1	擴	U+64F4
365	扫	U+626B
365_1	掃	U+6383
366	地	U+5730
367	场	U+573A
367_1	場	U+5834
367_1_1	塲	U+5872
368	扬	U+626C
368_1	揚	U+63DA
368_1_1	敭	U+656D
368_1_2	颺	U+98BA
369	耳	U+8033
370	芋	U+828B
371	共	U+5171
372	芒	U+8292
373	亚	U+4E9A
373_1	亞	U+4E9E
374	芝	U+829D
375	朽	U+673D
376	朴	U+6734
376_0	朴	U+6734
376_1	樸	U+6A38
377	机	U+673A
377_1	機	U+6A5F
378	权	U+6743
378_1	權	U+6B0A
379	过	U+8FC7
379_1	過	U+904E
380	臣	U+81E3
381	吏	U+540F
382	再	U+518D
382_0_1	𠕂	U+20542
382_0_2	𠕅	U+20545
383	协	U+534F
383_1	協	U+5354
384	西	U+897F
385	压	U+538B
385_1	壓	U+58D3
386	厌	U+538C
386_1	厭	U+53AD
387	戌	U+620C
388	在	U+5728
389	百	U+767E
390	有	U+6709
391	存	U+5B58
392	而	U+800C
393	页	U+9875
393_1	頁	U+9801
394	匠	U+5320
395	夸	U+5938
395_0	夸	U+5938
395_1	誇	U+8A87
396	夺	U+593A
396_1	奪	U+596A
397	灰	U+7070
398	达	U+8FBE
398_1	達	U+9054
399	列	U+5217
400	死	U+6B7B
401	成	U+6210
402	夹	U+5939
402_1	夾	U+593E
402_1_1	袷	U+88B7
402_1_2	裌	U+88CC
403	夷	U+5937
404	轨	U+8F68
404_1	軌	U+8ECC
405	邪	U+90AA
405_0_1	衺	U+887A
406	尧	U+5C27
406_1	堯	U+582F
407	划	U+5212
407_0	划	U+5212
407_1	劃	U+5283
408	迈	U+8FC8
408_1	邁	U+9081
409	毕	U+6BD5
409_1	畢	U+7562
410	至	U+81F3
411	此	U+6B64
412	贞	U+8D1E
412_1	貞	U+8C9E
413	师	U+5E08
413_1	師	U+5E2B
414	尘	U+5C18
414_1	塵	U+5875
415	尖	U+5C16
416	劣	U+52A3
417	光	U+5149
418	当	U+5F53
418_1	當	U+7576
418_2	噹	U+5679
419	早	U+65E9
420	吁	U+5401
420_0	吁	U+5401
420_1	籲	U+7C72
421	吐	U+5410
422	吓	U+5413
422_1	嚇	U+5687
423	虫	U+866B
423_1	蟲	U+87F2
424	曲	U+66F2
424_0	曲	U+66F2
424_1	麯	U+9EAF
424_1_1	麴	U+9EB4
425	团	U+56E2
425_1	團	U+5718
425_2	糰	U+7CF0
426	吕	U+5415
427	同	U+540C
427_0_1	仝	U+4EDD
427_0_2	衕	U+8855
428	吊	U+540A
428_0_1	弔	U+5F14
429	吃	U+5403
429_0_1	喫	U+55AB
430	因	U+56E0
430_0_1	囙	U+56D9
431	吸	U+5438
432	吗	U+5417
432_1	嗎	U+55CE
433	吆	U+5406
434	屿	U+5C7F
434_1	嶼	U+5DBC
435	屹	U+5C79
436	岁	U+5C81
436_1	歲	U+6B72
436_1_1	嵗	U+5D57
437	帆	U+5E06
437_0_1	㠶	U+3836
437_0_2	颿	U+98BF
438	回	U+56DE
438_0	回	U+56DE
438_1	迴	U+8FF4
438_1_1	廻	U+5EFB
438_1_2	逥	U+9025
439	岂	U+5C82
439_1	豈	U+8C48
440	则	U+5219
440_1	則	U+5247
441	刚	U+521A
441_1	剛	U+525B
442	网	U+7F51
442_1	網	U+7DB2
443	肉	U+8089
444	年	U+5E74
444_0_1	秊	U+79CA
445	朱	U+6731
445_0	朱	U+6731
445_1	硃	U+7843
446	先	U+5148
447	丢	U+4E22
448	廷	U+5EF7
449	舌	U+820C
450	竹	U+7AF9
451	迁	U+8FC1
451_1	遷	U+9077
452	乔	U+4E54
452_1	喬	U+55AC
453	迄	U+8FC4
454	伟	U+4F1F
454_1	偉	U+5049
455	传	U+4F20
455_1	傳	U+50B3
456	乒	U+4E52
457	乓	U+4E53
458	休	U+4F11
459	伍	U+4F0D
460	伏	U+4F0F
461	优	U+4F18
461_1	優	U+512A
462	臼	U+81FC
463	伐	U+4F10
464	延	U+5EF6
465	仲	U+4EF2
466	件	U+4EF6
467	任	U+4EFB
468	伤	U+4F24
468_1	傷	U+50B7
469	价	U+4EF7
469_1	價	U+50F9
470	伦	U+4F26
470_1	倫	U+502B
471	份	U+4EFD
472	华	U+534E
472_1	華	U+83EF
473	仰	U+4EF0
474	仿	U+4EFF
474_0_1	倣	U+5023
474_0_2	髣	U+9AE3
475	伙	U+4F19
475_0	伙	U+4F19
475_1	夥	U+5925
476	伪	U+4F2A
476_1	僞	U+50DE
477	自	U+81EA
478	伊	U+4F0A
479	血	U+8840
480	向	U+5411
480_0	向	U+5411
480_1	嚮	U+56AE
480_1_1	曏	U+66CF
481	似	U+4F3C
481_0_1	佀	U+4F40
482	后	U+540E
482_0	后	U+540E
482_1	後	U+5F8C
483	行	U+884C
484	舟	U+821F
485	全	U+5168
486	会	U+4F1A
486_1	會	U+6703
487	杀	U+6740
487_1	殺	U+6BBA
488	合	U+5408
488_0	合	U+5408
488_1	閤	U+95A4
489	兆	U+5146
490	企	U+4F01
491	众	U+4F17
491_1	衆	U+8846
491_1_1	眾	U+773E
492	爷	U+7237
492_1	爺	U+723A
493	伞	U+4F1E
493_1	傘	U+5098
493_1_1	𠌂	U+20302
493_1_2	繖	U+7E56
494	创	U+521B
494_1	創	U+5275
494_1_1	剏	U+524F
494_1_2	剙	U+5259
495	肌	U+808C
496	肋	U+808B
497	朵	U+6735
497_0_1	朶	U+6736
498	杂	U+6742
498_1	雜	U+96DC
498_1_1	襍	U+894D
499	危	U+5371
500	旬	U+65EC
501	旨	U+65E8
502	旭	U+65ED
503	负	U+8D1F
503_1	負	U+8CA0
504	匈	U+5308
505	名	U+540D
506	各	U+5404
507	多	U+591A
508	争	U+4E89
509	色	U+8272
510	壮	U+58EE
510_1	壯	U+58EF
511	冲	U+51B2
511_0	冲	U+51B2
511_1	衝	U+885D
512	妆	U+5986
512_1	妝	U+599D
512_1_1	粧	U+7CA7
513	冰	U+51B0
513_0_1	氷	U+6C37
514	庄	U+5E84
514_1	莊	U+838A
515	庆	U+5E86
515_1	慶	U+6176
516	亦	U+4EA6
517	刘	U+5218
517_1	劉	U+5289
518	齐	U+9F50
518_1	齊	U+9F4A
519	交	U+4EA4
520	衣	U+8863
521	次	U+6B21
522	产	U+4EA7
522_1	産	U+7523
523	决	U+51B3
523_0_1	決	U+6C7A
524	亥	U+4EA5
525	充	U+5145
526	妄	U+5984
527	闭	U+95ED
527_1	閉	U+9589
528	问	U+95EE
528_1	問	U+554F
529	闯	U+95EF
529_1	闖	U+95D6
530	羊	U+7F8A
531	并	U+5E76
531_0_1	併	U+4F75
531_0_2	並	U+4E26
531_0_3	竝	U+7ADD
532	关	U+5173
532_1	關	U+95DC
533	米	U+7C73
534	灯	U+706F
534_1	燈	U+71C8
535	州	U+5DDE
536	汗	U+6C57
537	污	U+6C61
537_0_1	汙	U+6C59
537_0_2	汚	U+6C5A
538	江	U+6C5F
539	汛	U+6C5B
540	池	U+6C60
541	汝	U+6C5D
542	汤	U+6C64
542_1	湯	U+6E6F
543	忙	U+5FD9
544	兴	U+5174
544_1	興	U+8208
545	宇	U+5B87
546	守	U+5B88
547	宅	U+5B85
548	字	U+5B57
549	安	U+5B89
550	讲	U+8BB2
550_1	講	U+8B1B
551	讳	U+8BB3
551_1	諱	U+8AF1
552	军	U+519B
552_1	軍	U+8ECD
553	讶	U+8BB6
553_1	訝	U+8A1D
554	许	U+8BB8
554_1	許	U+8A31
555	讹	U+8BB9
555_1	訛	U+8A1B
555_1_1	譌	U+8B4C
556	论	U+8BBA
556_1	論	U+8AD6
557	讼	U+8BBC
557_1	訟	U+8A1F
558	农	U+519C
558_1	農	U+8FB2
558_1_1	辳	U+8FB3
559	讽	U+8BBD
559_1	諷	U+8AF7
560	设	U+8BBE
560_1	設	U+8A2D
561	访	U+8BBF
561_1	訪	U+8A2A
562	诀	U+8BC0
562_1	訣	U+8A23
563	寻	U+5BFB
563_1	尋	U+5C0B
563_1_1	𡬶	U+21B36
564	那	U+90A3
565	迅	U+8FC5
566	尽	U+5C3D
566_1	盡	U+76E1
566_2	儘	U+5118
567	导	U+5BFC
567_1	導	U+5C0E
568	异	U+5F02
568_0_1	異	U+7570
569	弛	U+5F1B
570	孙	U+5B59
570_1	孫	U+5B6B
571	阵	U+9635
571_1	陣	U+9663
572	阳	U+9633
572_1	陽	U+967D
573	收	U+6536
574	阶	U+9636
574_1	階	U+968E
574_1_1	堦	U+5826
575	阴	U+9634
575_1	陰	U+9670
575_1_1	隂	U+9682
576	防	U+9632
577	奸	U+5978
577_0_1	姦	U+59E6
578	如	U+5982
579	妇	U+5987
579_1	婦	U+5A66
579_1_1	媍	U+5A8D
580	妃	U+5983
581	好	U+597D
582	她	U+5979
583	妈	U+5988
583_1	媽	U+5ABD
584	戏	U+620F
584_1	戲	U+6232
584_1_1	戯	U+622F
585	羽	U+7FBD
586	观	U+89C2
586_1	觀	U+89C0
587	欢	U+6B22
587_1	歡	U+6B61
587_1_1	懽	U+61FD
587_1_2	讙	U+8B99
587_1_3	驩	U+9A69
588	买	U+4E70
588_1	買	U+8CB7
589	红	U+7EA2
589_1	紅	U+7D05
590	驮	U+9A6E
590_1	馱	U+99B1
590_1_1	䭾	U+4B7E
591	纤	U+7EA4
591_1	纖	U+7E96
591_2	縴	U+7E34
592	驯	U+9A6F
592_1	馴	U+99B4
593	约	U+7EA6
593_1	約	U+7D04
594	级	U+7EA7
594_1	級	U+7D1A
595	纪	U+7EAA
595_1	紀	U+7D00
596	驰	U+9A70
596_1	馳	U+99B3
597	纫	U+7EAB
597_1	紉	U+7D09
598	巡	U+5DE1
598_0_1	廵	U+5EF5
599	寿	U+5BFF
599_1	壽	U+58FD
600	弄	U+5F04
600_0_1	挵	U+6335
600_0_2	衖	U+8856
601	麦	U+9EA6
601_1	麥	U+9EA5
602	玖	U+7396
603	玛	U+739B
603_1	瑪	U+746A
604	形	U+5F62
605	进	U+8FDB
605_1	進	U+9032
606	戒	U+6212
607	吞	U+541E
608	远	U+8FDC
608_1	遠	U+9060
609	违	U+8FDD
609_1	違	U+9055
610	韧	U+97E7
610_1	韌	U+97CC
610_1_1	靭	U+976D
610_1_2	靱	U+9771
610_1_3	⿰韋刄	-
611	运	U+8FD0
