
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
不	BẤT	1	不安 bất an · 不期 bất kì · 不執 bất chấp · 不𥓉𥘃 bất thình lình	U+4E0D
弼	bật	3	弼焒 bật lửa · 弼畑 bật đèn	[翻] U+5F3C
匏	bầu	T	匏𡗶 bầu trời · 彈匏 đàn bầu ·固匏 có bầu · 匏欲 bầu dục ·匏苾 bầu bí · 匏空氣 bầu không khí	U+530F
𠾦	be	T	𠾦𠾦 be be [聲] · 𦭷𠾦 màu be [摱] · 𠾦𥇂 be bét [𠸨]	U+20FA6
𣛥	be	T	𣛥𨢇 be rượu · 𣛥𦩰 be xuồng	U+236E5
𡮣	bé	2	𡮣𡮈 bé nhỏ · 𡮣𤊡 bé bỏng [𠸨]	[異] 𡮤 U+21BA3
佊	bè	T	佊伴 bè bạn · 佊黨 bè đảng	U+4F4A
𤿤	bè	T	艚𤿤 tầu bè · 船𤿤 thuyền bè · 𤿤𥫭 bè nứa	U+24FE4
𠶎	bê	4	𠶎𦁀 bê bối	U+20D8E
閉	BẾ	T	封閉 phong bế · 閉關 bế quan · 閉幕 bế mạc	U+9589
嬖	bế	T	捧嬖 bồng bế · 嬖㛪 bế em	U+5B16
陛	BỆ	T	陛下 bệ hạ · 陛衛 bệ vệ · 堂陛 đường bệ · 下陛 hạ bệ · 陛𨷯 bệ cửa · 陛平 bệ bằng	[翻] U+965B
䏶	bệ	T	䏶𫄈 bệ rạc · 䏶䐭 bệ sệ	U+43F6
𠷊	bèn	T	應意、𠷊𧷸𬆄 ưng ý, bèn mua ngay	[異] 卞 𠂪 U+20DCA
𤅶（𣷷）	bến	5	𤅶渃 bến nước · 𤅶艔 bến đò · 𤅶港 bến cảng	[異] 𡔖 U+24176 (U+23DF7)
𥾽	bền	T	𥾽凭 bền vững · 𥾽比 bền bỉ [𠸨]	[翻] U+25FBD
𦛼	bênh	T	𦛼掝 bênh vực · 乏𦛼 bấp bênh · 㑲𦛼𦛼 nằm bênh bênh	U+266FC
病	BỆNH	3	病疾 bệnh tật · 病感 bệnh cảm · 病院 bệnh viện · 病人 bệnh nhân	U+75C5
病	bịnh	3		⇔ 病 bệnh
脿	béo	5	脿𦡡 béo ngậy	U+813F
𠰏	bép	5	𠰏㴙 bép xép [𠸨]	U+20C0F
𠰏	bom	5	𠰏彈 bom đạn [摱] · 揇𠰏 ném bom [摱] · 果𠰏 quả bom [摱]	[翻]
𤇮	bếp	4	茹𤇮 nhà bếp · 𤇮焒 bếp lửa ·刀𤇮 dao bếp	[翻] U+241EE
啤	bi	T	筆啤 bút bi [摱] · 𢏑啤 bắn bi [摱]	[翻] U+5564
