
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
𥶇	rổ	T	丐𥶇 cái rổ · 琫𥶇 bóng rổ	U+25D87
𤸭	rồ	5	癲𤸭 điên rồ	U+24E2D
𠒦	rỡ	3	𤎜𠒦 rạng rỡ · 𢜠𠒦 mừng rỡ	U+204A6
𠒦	rờ	3	𠒦𠒦 rờ rỡ [𠸨]	⇔ 𠒦 rỡ
𤞪	rợ	T	蠻𤞪 man rợ	U+247AA
檑	roi	T	繘檑 quất roi · 𣘃檑 cây roi	[翻] U+6A91
𠛨	ròi	T	瀝𠛨 rạch ròi	U+206E8
𦇒	rối	2	𦁀𦇒 bối rối · 𡥵𦇒 con rối · 𦇒挒 rối rít	U+261D2
耒	rồi	2	𫜵耒 làm rồi · 丐鉢被𥓳耒 cái bát bị bể rồi	U+8012
𡂳	rỗi	4	救𡂳 cứu rỗi	U+210B3
淶（涞）	rơi	4	淶𬺗 rơi xuống · 淶溧 rơi rớt	[異] 𣑎 U+6DF6 (U+6D9E)
𨖨	rời	4	𨖨𠺌 rời khỏi · 𨖨𠬃 rời bỏ · 𨖨 𢬣 rời tay · 苚𨖨 rụng rời	[異] 淶 移 U+285A8
𠼖	rỏm	T	哩𠼖 rí rỏm [𠸨]	U+20F16
𠼖	rởm	T	𢟔𠼖 thói rởm · 咹𬡶𠼖 ăn mặc rởm	
𠼖	dỏm	T	哩𠼖 dí dỏm [𠸨]	⇔ 𠼖 rởm
稴	rơm	T	菍稴 nấm rơm	U+7A34
𡀷	rộn	5	泮𡀷 bận rộn	[翻] U+21037
囒	rợn	5	挏囒 rùng rợn	[翻] U+56D2
囒	rờn	5	囒囒 rờn rợn [𠸨]	⇔ 囒 rợn [翻]
𠖿	ròng	T	𠖿沲 ròng rã · 沚𠖿𠖿 chảy ròng ròng	[翻] U+205BF
筩	rỗng	4	𥧪筩 trống rỗng · 桶筩叫𫰅 thùng rỗng kêu to	U+7B69
㢅	rộng	2	𢲫㢅 mở rộng · 㢅量 rộng lượng · 㢅𠸤 rộng rãi [𠸨]	[異] 𢌌 U+3885
𡳝	rốt	5	𡳝局 rốt cuộc · 𢖖󠄁𡳝 sau rốt	U+21CDD
𠱋	ru	T	喝𠱋 hát ru	[翻] U+20C4B
𢷀	rủ	T	𢷀𢚸 rủ lòng · 𢷀𬺗 rủ xuống · 𢷀黎 rủ rê [𠸨] · 𢷀𠯇 rủ rỉ	U+22DC0
癒	rũ	4	勾癒 cú rũ · 膒癒 ủ rũ	U+7652
嚕	rủa	4	願嚕 nguyền rủa	U+5695
𧒍	rùa	T	𡥵𧒍 con rùa · 𨨦𧒍 mai rùa	[異] 𧒌 𪛇 U+2748D
𣳮	rửa	4	𣳮𢬣 rửa tay · 𣳮錢 rửa tiền	U+23CEE
熤	rực	3	熤熤 rừng rực [𠸨] · 𰛴熤 rạo rực	[翻] U+71A4
熤	rừng	3	熤熤 rừng rực [𠸨]	⇔ 熤 rực
𢤡	rủi	T	𢤡𬰹 rủi ro [𠸨] · 𠶣𢤡 may rủi · 搎𢤡 dun rủi	[翻] U+22921
憞	run	5	洌憞 rét run · 憞忣忣 run cầm cập	[翻] U+619E
𢫝	rung	4	𢫝感 rung cảm · 𢫝扐 rung lắc · 𢫝揁 rung rinh [𠸨]	U+22ADD
挏	rùng	4	挏𨉟 rùng mình	U+630F
𡹃	rừng	4	𡹃葚 rừng rậm · 𡹃疎 rừng thưa	[翻] [異] 棱 U+21E43
逴	rước	T	逴𠓨 rước vào · 逴妯 rước dâu	U+9034
𥙪	rưỡi	T	𠬠銅𥙪 một đồng rưỡi · 𠬠𣎃𥙪 một tháng rưỡi	U+2566A
𥙪	rưởi	T		⇔ 𥙪 rưỡi
薝	rườm	T	𠳒薝 lời rườm · 薝𦳃 rườm rà [𠸨]	U+859D
𬏇	ruộng	4	垌𬏇 đồng ruộng	U+2C3C7
𦛌	ruột	5	焠𦛌 sốt ruột	U+266CC
𦛌	rọt	5		⇔ 𦛌 ruột
𨢇	rượu	T	㕵𨢇 uống rượu · 𠲏𨢇 nhắm rượu	U+28887
捽	rút	T	捽刀 rút dao · 捽𨆢 rút lui	[異] 𢫫 U+637D
𫉡	rút	T	蔞𫉡 rau rút · 韋𫉡 vi-rút [摱]	[翻] U+2B261
𫉡	dút	T		⇔ 𫉡 rút
𢲼	rứt	T	伓𢲼 bứt rứt · 哏𢲼 cắn rứt · 𢲼 𦛌 rứt ruột	U+22CBC
沙	SA	2	沙漠 sa mạc · 沙場 sa trường ·沙石 sa thạch · 浮沙 phù sa ·黃沙 hoàng sa · 芹沙 cần sa [摱]	[翻] U+6C99
紗	SA	T	𡲫紗 vải sa · 紗花 sa hoa · 紗𣹗 sa trơn · 襖紗 áo sa	U+7D17
圫	sá	T	塘圫 đường sá	U+572B
詫	sá	T	詫之 sá gì	U+8A6B
詫	xá	T	詫之 xá chi · 詫𨱽 xá dài	
蹉	sà	4	蹉𬺗 sà xuống	U+8E49
蹉	sa	4	蹉𨁟 sa ngã · 蹉機 sa cơ · 蹉𠓨擺 sa vào bẫy	⇔ 蹉 sà
色	SẮC	2	𦭷色 màu sắc · 出色 xuất sắc ·顏色 nhan sắc · 劅色 súc sắc [𠸨] · 誇色 khoe sắc	[翻] U+8272
色	xắc	2	劅色 xúc xắc [𠸨]	⇔ 色 sắc
敕	SẮC	5	敕令 sắc lệnh · 敕封 sắc phong	U+6555
銫	sắc	2	銫𤓩 sắc bén · 𨁪銫 dấu sắc ·銫𫇿 sắc thuốc	U+92AB
嗾	sặc	T	嗾咵 sặc sụa [𠸨] · 𣩂嗾 chết sặc	U+55FE
冊	SÁCH	2	冊𡲈 sách vở · 冊教科 sách giáo khoa	U+518A
索	SÁCH	4	索擾 sách nhiễu · 索引 sách dẫn	U+7D22
策	SÁCH	5	策略 sách lược · 政策 chính sách	U+7B56
滌	sạch	3	滌仕 sạch sẽ [𠸨] · 𢭯滌 quét sạch · 滌𡊳栍 sạch sành sanh [𠸨]	[異] 瀝 U+6ECC
差	SAI	2	差𡍚 sai lầm · 差分 sai phân ·差數 sai số · 差遣 sai khiến	U+5DEE
差	SI	2	參差 sâm si	
柴	SÀI	T	柴胡 sài hồ · 柴門 sài môn · 柴棍 Sài Gòn · 疏柴 sơ sài [𠸨]	U+67F4
豺	SÀI	T	豺狼 sài lang	U+8C7A
㾹	sài	T	病㾹 bệnh sài · 㾹驚 sài kinh	U+3FB9
醝	say	3	醝𫑺 say sưa [𠸨] · 掝𠊛醝𧗱 vực người say về	U+919D
攕	sắm	T	𧷸攕 mua sắm · 攕栍 sắm sanh [𠸨]	[翻] U+6515
參	SÂM	2	人參 nhân sâm · 海參 hải sâm · 霜參 sương sâm	U+53C3
參	THAM	2	參加 tham gia · 參考 tham khảo · 參戰 tham chiến	
刊	SAN	5	月刊 nguyệt san	U+520A
珊	SAN	T	珊瑚 san hô	[翻] U+73CA
滻	san	T	滻平 san bằng · 滻塝 san phẳng · 滻𢩿 san sẻ	U+6EFB
產	SẢN	1	產品 sản phẩm · 產出 sản xuất · 生產 sinh sản	U+7522
孱	sàn	T	茹孱 nhà sàn · 孱孱 sàn sàn	U+5B71
𥖔	sạn	T	籺𥖔 hạt sạn · 𥖔𩈘 sạn mặt	U+25594
𥖔	sàn	T	𥖔𥖔 sàn sạn [𠸨]	⇔ 𥖔 sạn
𤜬	săn	4	𠫾𤜬 đi săn · 𤜬𢏑 săn bắn · 豹 𤜬 báo săn · 㹥𤜬 chó săn	U+2472C
𢕸	săn	T	𢕸𥉮 săn sóc · 𢕸迍 săn đón	U+22578
𠻿	sẵn	5	𠻿𠳹 sẵn sàng [𠸨] · 𠻿便 sẵn tiện	[異] 產 U+20EFF
𡑝	sân	2	𡑝園 sân vườn · 𡑝運動 sân vận động	U+2145D
𨖅	sang	T	𨖅𢆥 sang năm · 𨖅店 sang tiệm · 𨖅瀧 sang sông · 𢯢𨖅 sửa sang [𠸨]	U+28585
𢀨	sang	5	𢀨重 sang trọng · 高𢀨 cao sang · 𢀨𢀨 sang sảng [𠸨]	U+22028
𢀨	sảng	5	𢀨𢀨 sang sảng [𠸨]	
創	SÁNG	3	創造 sáng tạo · 創作 sáng tác ·創立 sáng lập	[翻] U+5275
𤏬	sáng	3	𣇜𤏬 buổi sáng · 𤏬𤍊 sáng tỏ ·沖𤏬 trong sáng · 𤏬𠁸 sáng suốt · 𤏬熶 sáng chói	[異] 𤎜 𠓇 U+243EC
𤏬	sang	3	𤏬𤏬 sang sáng [𠸨]	⇔ 𤏬 sáng
𬕌	sàng	T	𬕌漉 sàng lọc · 𬕌𢫟 sàng sảy	U+2C54C
𤍎	sắng	5	焠𤍎 sốt sắng	U+2434E
𠁔	sánh	T	𬧺𠁔 so sánh · 𠁔𭉪 sánh đặc	U+20054
𡊳	sành	5	甌𡊳 âu sành	[異] 𥑥 U+212B3
抄	SAO	5	抄錄 sao lục · 抄劄 sao chép	U+6284
哰	sao	2	在哰 tại sao · 爲哰 vì sao · 𫜵哰 làm sao · 故哰 cớ sao · 空哰 không sao	[異] 牢 𫳵 U+54F0
𣇟	sao	5	𡾵𣇟 ngôi sao · 笘𣇟 chòm sao · 超𣇟 siêu sao · 𣇟𣈕 sao mai	[異] 𬁖 𣋀 U+231DF
稍	sảo	5	稍胎 sảo thai · 丐稍 cái sảo ·銫稍 sắc sảo [𠸨]	U+7A0D
插	SÁP	T	插入 sáp nhập	U+63D2
𢯛	sắp	4	𢯛攝 sắp xếp · 𢯛𢯢 sắp sửa	[翻] [異] 拉 U+22BDB
𭰪	sập	T	𩄎𭰪𭰪 mưa sầm sập [𠸨]	[翻] U+2DC2A
𭰪	xập	T	𭰪茌 xập xè [𠸨]	
𭰪	sầm	T	𩄎𭰪𭰪 mưa sầm sập [𠸨]	⇔ 𭰪 sập
殺	SÁT	2	殺害 sát hại · 殺蟲 sát trùng ·謀殺 mưu sát	U+6BBA
察	SÁT	2	警察 cảnh sát · 偵察 trinh sát ·察核 sát hạch · 督察 đốc sát ·監察 giám sát · 觀察 quan sát	U+5BDF
察	xét	2	認察 nhận xét · 明察 minh xét · 𤐝察 soi xét	[翻]
擦	SÁT	4	摩擦 ma sát · 𨁏擦 bò sát · 擦壁 sát vách · 押擦 ép sát · 擦𠬠邊 sát một bên · 擦擦 san sát [𠸨]	U+64E6
擦	san	4	擦擦 san sát [𠸨]	⇔ 擦 sát
鉄	sắt	T	鉄𨨧 sắt thép	U+9244
𢖖󠄁（𡢐）	sau	1	旬𢖖󠄁 tuần sau · 𠓀𢖖󠄁 trước sau	[異] 娄 𨍦 U+22596 U+E0101 (U+21890)
𦒹	sáu	5	𦒹𱑕 sáu mươi · 次𦒹 thứ sáu	U+264B9
漊（溇）	sâu	2	渃漊 nước sâu · 淢漊 vực sâu	U+6F0A (U+6E87)
漊（溇）	su	2		⇔ 溇 sâu
螻（蝼）	sâu	T	螻𧌂 sâu bọ	U+87BB (U+877C)
螻（蝼）	su	T		⇔ 蝼 sâu
䱸	sấu	T	𩵜䱸 cá sấu	U+4C78
愁	SẦU	T	愁悶 sầu muộn · 憂愁 ưu sầu ·幽愁 u sầu	U+6101
𣜷	sầu	T	蟡𣜷 ve sầu · 𣜷𥢆 sầu riêng · 𣜷兜 sầu đâu	U+23737
𤉖	se	T	𤉖䏧 se da · 𤉖𨉟 se mình	U+24256
𢩿	sẻ	T	𢺹𢩿 chia sẻ · 滻𢩿 san sẻ	U+22A7F
𪀆	sẻ	T	𪀄𪀆 chim sẻ	U+2A006
仕	sẽ	1	役仕𦤾 việc sẽ đến · 仕𫜵如丕 sẽ làm như vậy · 滌仕 sạch sẽ [𠸨]	[翻] U+4ED5
仕	sỉa	1	𤷖仕 sưng sỉa [𠸨]	
仕	sè	1	仕仕 sè sẽ [𠸨]	⇔ 仕 sẽ [翻]
𡏥	sét	5	釲𡏥 rỉ sét	U+213E5
𣻂	sệt	T	𭉪𣻂 đặc sệt · 𣻂𣻂 sền sệt [𠸨] · 𢜝𣻂 sợ sệt [𠸨] · 咧𣻂 lệt sệt [𠸨]	[翻] U+23EC2
𣻂	sền	T	𣻂𣻂 sền sệt [𠸨]	⇔ 𣻂 sệt
癡（𬏝）	SI	T	癡情 si tình · 癡迷 si mê · 愚癡 ngu si	U+7661 (U+2C3DD)
恥	SỈ	T	恥辱 sỉ nhục	U+6065
士	SĨ	1	仉士 kẻ sĩ · 軍士 quân sĩ · 博士 bác sĩ · 樂士 nhạc sĩ · 士面 sĩ diện	U+58EB
𠡏	siêng	5	𠡏𠹌 siêng năng	U+2084F
超	SIÊU	3	超級 siêu cấp · 超越 siêu việt ·超市 siêu thị · 高超 cao siêu	U+8D85
銚	siêu	T	銚𡐙 siêu đất · 銚𫇿 siêu thuốc · 𢱖銚 múa siêu	U+929A
吀	sin	3	吀𬿺 sin sít	U+5400
吀	xin	3	吀嘲 xin chào · 吀纇 xin lỗi ·咹吀 ăn xin · 求吀 cầu xin	[翻] [異] 嗔
生	SINH	1	生員 sinh viên · 生命 sinh mệnh · 焰生 diêm sinh · 生育 sinh dục	[翻] U+751F
生	SANH	1		⇔ 生 sinh
生	sỉnh	1	詧生 soát sỉnh [𠸨]	[翻]
牲	SINH	2	犧牲 hi sinh	U+7272
𬧺	so	T	𬧺𠁔 so sánh · 𬧺𠻗 so le	U+2C9FA
縐	sô	T	𡲫縐 vải sô · 縐𦃮 sô gai · 𧼋縐 chạy sô [摱] · 縐演 sô diễn [摱]	[翻] U+7E10
籔（䉤）	sổ	5	捲籔 cuốn sổ · 𥱬籔 ghi sổ · 籔寄錢 sổ gửi tiền · 籔冊 sổ sách	U+7C54 (U+4264)
數（数）	SỐ	1	函數 hàm số · 數分 số phận	U+6578 (U+6570)
數（数）	sộ	1	𣘊數 đồ sộ	
𡂡（𪢒）	sỗ	T	𡂡𠳹 sỗ sàng [𠸨]	U+210A1 (U+2A892)
𡂡（𪢒）	sủa	T	㹥𡂡 chó sủa · 𤏬𡂡 sáng sủa [𠸨]	
初	SƠ	4	初初 sơ sơ · 初審 sơ thẩm · 初步 sơ bộ · 初生 sơ sinh · 初等 sơ đẳng · 初級 sơ cấp	U+521D
疏	SƠ	2	單疏 đơn sơ · 疏柴 sơ sài [𠸨] ·疏散 sơ tán · 疏要 sơ yếu · 疏意 sơ ý · 疏鈉𩚵 sơ nồi cơm	U+758F
疏	SỚ	2	𤼸疏 dâng sớ	
所	SỞ	2	處所 xứ sở · 所適 sở thích · 所以 sở dĩ · 所有 sở hữu · 所長 sở trường	U+6240
所	thửa	2	所𬏇 thửa ruộng	
楚	SỞ	T	苦楚 khổ sở · 𣘃楚 cây sở	U+695A
礎	SỞ	3	基礎 cơ sở	U+790E
𣻄	sờ	5	噥𣻄 nông sờ · 𣻄𣻄 sờ sờ · 𨄉 𣻄 sững sờ [𠸨]	U+23EC4
𬾟	sỡ	T	謲𬾟 sàm sỡ [𠸨] · 嗾𬾟 sặc sỡ [𠸨]	U+2CF9F
𬾟	xỡ	T	謲𬾟 xàm xỡ [𠸨]	⇔ 𬾟 sỡ
𢜝	sợ	3	𢜝駭 sợ hãi · 㥋𢜝 e sợ · 𢜝𣻂 sợ sệt [𠸨]	U+2271D
帥	SOÁI	T	統帥 thống soái	U+5E25
帥	SUÝ	T	旗帥 cờ suý	
撰	SOẠN	3	𢯢撰 sửa soạn · 編撰 biên soạn · 撰者 soạn giả	U+64B0
饌	SOẠN	T	盛饌 thịnh soạn	U+994C
詧	soát	5	檢詧 kiểm soát · 詧察 soát xét	U+8A67
嚓	soạt	T	𠸂嚓 sột soạt [𠸨]	U+5693
嚓	xát	T	搽嚓 chà xát · 嚓硨房 xát xà-phòng	[翻]
朔	SÓC	T	朔望 sóc vọng · 朔風 sóc phong · 朔𦝄 Sóc Trăng	[翻] U+6714
𤠕	sóc	T	𡥵𤠕 con sóc · 𤠕𤝞 sóc chuột	U+24815
礌	sỏi	T	礌𥒥 sỏi đá · 𡊳礌 sành sỏi	[異] 𥗐 U+790C
𤢿	sói	T	㹥𤢿 chó sói	U+248BF
𤉚	sôi	3	渃𤉚 nước sôi · 油𤉚 dầu sôi	U+2425A
𥾘	sợi	T	𥾘𩯀 sợi tóc	[翻] [異] 𥿥 U+25F98
𣋽	sớm	3	𣋽𣊿 sớm chiều · 穭𣋽 lúa sớm	[異] 𣌋 U+232FD
𣋽	sơm	3	𣋽𣋽 sơm sớm [𠸨]	⇔ 𣋽 sớm
𣘈	son	T	粉𣘈 phấn son · 鐄𣘈 vàng son · 𣘈粉 son phấn · 樓𣘈 lầu son · 𣘈鉄 son sắt · 𢚸𣘈 lòng son	[翻] U+23608
山	SƠN	2	山水 sơn thuỷ · 山羊 sơn dương · 江山 giang sơn	"格讀𧵑「山 san」爲𠼤諱時 𠸗。 Cách đọc của ""山 san"" vì kiêng huý thời xưa. U+5C71"
杣	sơn	T	𣘃杣 cây sơn · 膠杣 keo sơn	[翻] U+6763
窻	SONG	T	窻𨷯 song cửa · 窻糊 song hồ ·桭窻 chấn song	U+7ABB
雙（双）	SONG	5	雙方 song phương · 雙喜 song hỉ · 雙語 song ngữ · 雙生 song sinh · 雙雙 song song	[翻] U+96D9 (U+53CC)
雙（双）	song	5	雙𠻗 song le	[翻]
𣙩	sòng	T	浗𣙩 gàu sòng · 𣙩博 sòng bạc · 吶𣙩 nói sòng · 𣙩塝 sòng phẳng · 𪵅𣙩 lộn sòng	U+23669
瀧（滝）	sông	2	瀧九龍 sông cửu long · 瀧紅 sông hồng · 瀧香 sông hương	U+7027 (U+6EDD)
𤯩	sống	1	生𤯩 sinh sống · 𠁀𤯩 đời sống · 𩚵𤯩 cơm sống	[異] 𤯨 U+24BE9
𩩖	sống	T	𩩫𩩖 xương sống · 𩩖𪖫 sống mũi	U+29A56
𪟤	sống	T	𪟤㜥 sống mái	U+2A7E4
𪟤	trống	T	𪟤㜥 trống mái · 𪃿𪟤 gà trống	
𨔊	sót	3	𨔊徠 sót lại	[翻] U+2850A
焠	sốt	3	焠𦛌 sốt ruột · 𤎏焠 nóng sốt	U+7120
蒭	su	2	膏蒭 cao-su [摱]	[翻] U+84AD
師	SƯ	1	師偨 sư thầy · 教師 giáo sư · 牧師 mục sư	U+5E2B
史	SỬ	2	歷史 lịch sử · 史學 sử học · 史冊 sử sách	U+53F2
使	SỬ	2	使用 sử dụng	[翻] U+4F7F
使	SỨ	2	大使 đại sứ · 使命 sứ mệnh ·使臣 sứ thần · 天使 thiên sứ	[翻]
瓷	sứ	T	𣘊瓷 đồ sứ · 鉢瓷 bát sứ	U+74F7
事	SỰ	1	事件 sự kiện · 歷事 lịch sự	U+4E8B
𫑺	sưa	4	醝𫑺 say sưa [𠸨]	U+2B47A
𢯢	sửa	4	𢯢𢷮 sửa đổi · 修𢯢 tu sửa · 攕 𢯢 sắm sửa · 𢯛𢯢 sắp sửa · 𢯢 𨖅 sửa sang [𠸨]	[異] 所 U+22BE2
𣷱	sữa	T	𣷱𭉪 sữa đặc · 𣷱媄 sữa mẹ · 𣷱鮮 sữa tươi · 𣷱𤙭 sữa bò	U+23DF1
率	SUẤT	3	賚率 lãi suất · 效率 hiệu suất ·能率 năng suất · 率電動 suất điện động · 率𩚵 suất cơm	U+7387
畜	SÚC	T	家畜 gia súc · 畜牲 súc sinh ·畜物 súc vật	U+755C
搐	sục	T	搐謅 sục sạo [𠸨] · 𤉚搐 sôi sục [𠸨]	U+6410
搐	sùng	T	搐搐 sùng sục [𠸨]	⇔ 搐 sục
飭	sức	1	飭力 sức lực · 飭猛 sức mạnh ·嚜飭 mặc sức · 飭劸 sức khoẻ	U+98ED
飾	SỨC	T	裝飾 trang sức	[翻] U+98FE
衰	SUY	3	衰竭 suy kiệt · 衰弱 suy nhược · 衰亡 suy vong · 衰退 suy thoái	U+8870
推	SUY	3	推擬 suy nghĩ · 推演 suy diễn ·推論 suy luận · 推想 suy tưởng · 推𫥨 suy ra	U+63A8
侐	suýt	T	侐𡛤 suýt nữa · 侐侈𫥨災難 suýt xảy ra tai nạn	U+4F90
銃	SÚNG	3	銃𣛠 súng máy	U+9283
崇	sùng	4	石崇 thạch sùng	U+5D07
慡	sửng	5	慡焠 sửng sốt	U+6161
𧤁	sừng	5	𧤁𤙭 sừng bò · 㩒𧤁 cắm sừng	[翻] U+27901
𨄉	sững	4	𨄉𣻄 sững sờ	U+28109
𤂬	suối	T	瀧𤂬 sông suối	U+240AC
𤇧	sưởi	T	爐𤇧 lò sưởi · 𤇧𣌝 sưởi nắng	U+241E7
棆	suôn	T	棆𢩿 suôn sẻ [𠸨]	U+68C6
霜	SƯƠNG	T	湥霜 giọt sương · 籺霜 hạt sương	U+971C
暢	SƯỚNG	4	充暢 sung sướng	U+66A2
𣖠	suốt	T	𣖠黹 suốt chỉ · 䈵𣖠𡲫 ống suốt vải	U+235A0
𠁸	suốt	T	通𠁸 thông suốt · 𠁸𠁀 suốt đời · 𠁸𣎀 suốt đêm	U+20078
𨀎	sụp	4	𨀎𢭰 sụp đổ · 𨀎𬺗 sụp xuống	[翻] U+2800E
𨀎	sùm	4	𨀎𨀎 sùm sụp [𠸨]	⇔ 𨀎 sụp
淬	sút	4	淬斤 sút cân	[翻] U+6DEC
泏	sụt	5	泏減 sụt giảm	U+6CCF
搜	SƯU	4	搜集 sưu tập · 搜尋 sưu tầm	U+641C
些	ta	1	衆些 chúng ta · 𪝳些 hắn ta ·節些 Tết ta	U+4E9B
嗟	TA	T	嗟嘆 ta thán	U+55DF
嗟	xơi	T	嗟𩚵 xơi cơm · 𱖗𨔈嗟渃 ngồi chơi xơi nước	
左	TẢ	T	左右 tả hữu · 左傾 tả khuynh	U+5DE6
寫	TẢ	3	特寫 đặc tả · 正寫 chính tả · 模寫 mô tả	U+5BEB
瀉	TẢ	T	疫瀉 dịch tả	U+7009
瀉	tã	T	潯瀉 tầm tã	
𪭥	tả	T	𪭥𥯒 tả tơi · 𪫦𪭥 lả tả	U+2AB65
佐	TÁ	2	醫佐 y tá · 扶佐 phò tá · 少佐 thiếu tá · 佐腸 tá tràng [摱] · 𠬠佐𱑛 một tá trứng [摱]	[翻] U+4F50
借	TÁ	T	借田 tá điền · 借喻 tá dụ · 借火 tá hoả	U+501F
邪	TÀ	T	邪惡 tà ác · 邪道 tà đạo · 邪教 tà giáo · 邪淫 tà dâm · 邪氣 tà khí · 邪魔 tà ma	U+90AA
斜	TÀ	T	𣊿斜 chiều tà · 斜斜 tà tà	U+659C
謝	TẠ	4	感謝 cảm tạ · 謝恩 tạ ơn · 謝辭 tạ từ	U+8B1D
謝	giã	4	謝辭 giã từ	
作	TÁC	1	作業 tác nghiệp · 作品 tác phẩm · 散作 tan tác · 歲作 tuổi tác [𠸨]	U+4F5C
炸	TẠC	T	炸彈 tạc đạn · 轟炸 oanh tạc	U+70B8
炸	cháo	T	油炸鬼 dầu cháo quẩy [摱]	
則	TẮC	T	法則 phép tắc · 規則 quy tắc ·正則 chính tắc · 原則 nguyên tắc · 𬌓則 tấm tắc · 則嗤 tắc-xi [摱]	[翻] U+5247
塞	TẮC	T	栓塞 thuyên tắc · 閉塞 bế tắc ·塞垷 tắc nghẽn	U+585E
塞	TÁI	T	邊塞 biên tái	
賊	TẶC	T	盜賊 đạo tặc · 海賊 hải tặc · 信賊 tin tặc	U+8CCA
賊	giặc	T	軍賊 quân giặc · 賊外侵 giặc ngoại xâm	
剒	tách	5	𢺹剒 chia tách · 剒對 tách đôi	U+5252
㳻	tách	T	攊㳻 lách tách [聲] · 子㳻 tí tách [聲]	U+3CFB
災	TAI	3	災難 tai nạn · 天災 thiên tai	U+707D
𦖻	tai	5	𬃻𦖻 dái tai · 𩵜𦖻象 cá tai tượng	U+265BB
載	TẢI	3	登載 đăng tải · 過載 quá tải ·運載 vận tải	U+8F09
載	tưởi	3	腥載 tanh tưởi [𠸨] · 𠺒載 tức tưởi [𠸨] · 㧙載 tất tưởi [𠸨]	
再	TÁI	3	再發 tái phát · 再婚 tái hôn ·再生 tái sinh · 再版 tái bản ·再現 tái hiện	U+518D
𦛍	tái	T	𬚸𦛍 thịt tái · 痺𦛍 tê tái · 𦛍衊 tái mét · 𦛍過 tái quá	U+266CD
𦛍	tai	T	𦛍𦛍 tai tái [𠸨]	⇔ 𦛍 tái
才	TÀI	2	才能 tài năng · 才德 tài đức ·人才 nhân tài	U+624D
材	TÀI	2	材料 tài liệu	U+6750
財	TÀI	2	財產 tài sản · 財政 tài chính	U+8CA1
裁	TÀI	2	仲裁 trọng tài · 裁判 tài phán	U+88C1
在	TẠI	1	存在 tồn tại · 自在 tự tại	U+5728
𢬣	tay	1	𦑃𢬣 cánh tay · 包𢬣 bao tay · 𢬣銃 tay súng	U+22B23
西	TÂY	1	方西 phương tây · 荇西 hành tây	U+897F
恓	tây	T	念恓 niềm tây · 𥢆恓 riêng tây	U+6053
洗	TẨY	T	洗滌 tẩy sạch · 𫇿洗 thuốc tẩy · 洗腦 tẩy não	[翻] U+6D17
三	TAM	3	第三 đệ tam · 三級 tam cấp · 三角 tam giác · 三軍 tam quân	U+4E09
三	thâm	3	三 thâm	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.
𠔭	tám	4	數𠔭 số tám	U+2052D
暫	TẠM	5	暫𭢨 tạm bợ · 暫別 tạm biệt ·暫時 tạm thời · 𥱬籔暫 ghi sổ tạm	U+66AB
暫	tàm	5	暫暫 tàm tạm [𠸨]	⇔ 暫 tạm
吣	tăm	T	㗂吣 tiếng tăm · 別吣 biệt tăm	[翻] U+5423
𣅵	tăm	5	𣅵𣋁 tăm tối	U+23175
籤	tăm	T	籤𢸡𪘵 tăm xỉa răng	U+7C64
籤	thăm	T	扑籤 bốc thăm · 𠬃籤 bỏ thăm	
籤	xăm	T	吀籤 xin xăm	
籤	xâm	T		⇔ 籤 xăm
浸	tắm	5	浸花蓮 tắm hoa sen	U+6D78
浸	trẫm	5	浸𨉟 trẫm mình	
心	TÂM	1	決心 quyết tâm · 良心 lương tâm · 心魂 tâm hồn · 中心 trung tâm	U+5FC3
心	tim	1	𬃻心 trái tim · 心肝 tim gan ·心畑 tim đèn	
𥺑	tấm	T	𥺑𥽇 tấm cám · 壈𥺑 lấm tấm [𠸨] · 捏如𥺑 nát như tấm	U+25E91
尋	TẦM	2	尋常 tầm thường · 搜尋 sưu tầm · 𣘃尋春 cây tầm xuân · 𣘃尋寄 cây tầm gửi	[翻] U+5C0B
尋	tầm	2	尋𡱩 tầm thước · 尋眜 tầm mắt · 尋櫸 tầm cỡ · 尋𣜳 tầm vông · 尋尋 tầm tầm · 尋𠴋 tầm phào	[翻]
尋	tìm	2	尋檢 tìm kiếm · 尋撮 tìm tòi	
潯	tầm	T	潯瀉 tầm tã	U+6F6F
散	TẢN	2	散漫 tản mạn · 散步 tản bộ ·散居 tản cư	[翻] U+6563
散	TÁN	2	分散 phân tán · 疏散 sơ tán	[翻]
散	tan	2	散學 tan học · 𩄲散 mây tan ·散作 tan tác · 散啨 tan tành [𠸨] · 瀧散氷耒 sông tan băng rồi	[翻]
𠾎	tán	T	𠴞𠾎 bàn tán · 𠾎㗕 tán gẫu · 𠾎省 tán tỉnh	U+20F8E
贊	TÁN	T	贊成 tán thành · 參贊 tham tán	U+8D0A
讚	TÁN	5	讚揚 tán dương	U+8B9A
