# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

湯	THANG	5		𠬠湯茦 một thang thuốc
湯	thang	5		浪湯 lang thang [𠸨] · 𢉑湯 thênh thang [𠸨] · 㘉空湯 tít cung thang
簜	thang	4		蹽簜 leo thang · 橋簜 cầu thang · 簜糧 thang lương
𣎃	tháng	2		𣈜𣎃𢆥 ngày tháng năm · 𣎃正 tháng giêng
升	THĂNG	5		升堂 thăng đường · 升官 thăng quan · 升級 thăng cấp · 升降 thăng giáng · 𨁪升 dấu thăng · 升天 thăng thiên · 𣛠𢒎直升 máy bay trực thăng
昇	THĂNG	3		昇平 thăng bình · 昇華 thăng hoa · 昇降 thăng giáng · 昇天 thăng thiên · 昇龍 thăng long
𣦎	thẳng	3		𢫮𣦎 căng thẳng · 𣦎𡁟 thẳng thắn [𠸨]
勝	THẮNG	2		勝陣 thắng trận · 勝利 thắng lợi · 勝敗 thắng bại · 勝景 thắng cảnh
溗	thắng			溗渃行 thắng nước hàng
騬	thắng			騬鞍朱馭 thắng yên cho ngựa
𭡽	thắng	T		𢯒𭡽 bóp thắng · 𭡽車徠 thắng xe lại
僶	thằng	4		僶𡮣 thằng bé · 僶俱 thằng cu
乘	THẶNG	4		小乘 tiểu thặng · 上乘 thượng thặng · 千乘之國 thiên thặng chi quốc
剩	THẶNG	5		剩餘 thặng dư
青	THANH	2		青天 thanh thiên · 青年 thanh niên · 青春 thanh xuân · 青草 thanh thảo
清	THANH	3		清咏 thanh vắng · 清算 thanh toán · 清涼 thanh lương
錆	thanh			錆鎌 thanh gươm
聲（声）	THANH	3		聲名 thanh danh · 臺發聲 đài phát thanh · 斷腸新聲 đoạn trường tân thanh
鐋	THANH	T		鐋鑼 thanh la
𨓽	thảnh	T		𨓽迨 thảnh thơi
飩	thánh			餛飩 hoành thánh [譯]
聖	THÁNH	3		神聖 thần thánh · 聖人 thánh nhân · 亞聖 á thánh
𬉊	thánh	T		𬉊𪷄 thánh thót
成	THÀNH	1		形成 hình thành · 成人 thành nhân
城	THÀNH	1		城庯 thành phố · 城池 thành trì
誠	THÀNH	1		誠懇 thành khẩn · 𢚸誠 lòng thành · 忠誠 trung thành
滔	THAO	T		滔滔不絕 thao thao bất tuyệt
絛	THAO			𥶄𬗜絛 nón quai thao
操	THAO	3		體操 thể thao · 操縱 thao túng · 操作 thao tác · 操𥅞 thao thức
韜	THAO	T		韜略 thao lược
草	THẢO	4		草原 thảo nguyên · 青草 thanh thảo · 香草 hương thảo · 芳草 phương thảo · 預草 dự thảo
討	THẢO	1		討論 thảo luận · 討伐 thảo phạt
傠	thảo			孝傠 hiếu thảo · 傠賢 thảo hiền · 傠敬仛媄 thảo kính cha mẹ
𢳥	tháo	5		𢳥𧼋 tháo chạy · 𢳥𨆢 tháo lui · 𢳥仈 tháo vát · 聒𢳥 quát tháo
操	THÁO	3		節操 tiết tháo
𬚁	thạo			成𬚁 thành thạo · 通𬚁 thông thạo · 𬚁藝 thạo nghề
塔	THÁP	5		塔玡 tháp ngà · 塔𧒍 Tháp Rùa
溚	tháp	T		溚莄 tháp cành · 沁溚 thấm tháp  · 溚從 tháp tùng
濕（湿）	THẤP	T		𤀔濕 ẩm thấp · 痺濕 tê thấp · 風濕 phong thấp · 濕度 thấp độ
隰（𫠃）	THẤP	5		墻隰 tường thấp · 𢬣藝隰 tay nghề thấp · 隰㖭 thấp thỏm · 隰洸 thấp thoáng [𠸨]
十	THẬP	3		十全 thập toàn · 十分 thập phân · 紅十字 hồng thập tự · 十年 thập niên
什	THẬP	T		什錦 thập cẩm
拾	THẬP	5		收拾 thu thập
拾	thập	5		拾𢲬 thập thò
紩	thắt	5		紩𨨷 thắt nút · 紩𬘋 thắt chặt
七	THẤT	4		七八 thất bát · 七十 thất thập · 七夕 thất tịch · 七言 thất ngôn
失	THẤT	2		失敗 thất bại · 失望 thất vọng · 損失 tổn thất · 失情 thất tình · 失吵 thất thểu · 失色 thất sắc
室	THẤT	T		家室 gia thất · 寢室 tẩm thất · 心室 tâm thất · 皇室 hoàng thất
實（实）	THẬT	1		吶實 nói thật · 實惵 thật đẹp · 實咃 thật thà
鍮	thau			鎫鍮 mâm thau
透	THẤU	5		透鏡 thấu kính · 沁透 thẩm thấu · 透曉 thấu hiểu
𠲠	thầu	5		主𠲠 chủ thầu · 𫜵𠲠 làm thầu
絁	the	5		𡲫絁 vải the · 房絁 phòng the · 焊絁 hàn the · 絁𤿭𣞻 the vỏ bưởi
𠱈	thẻ	T		兔𠱈 thỏ thẻ
𥮋	thẻ			𥮋生員 thẻ sinh viên
体	thể	1		固体 có thể · 空体 không thể
彩	THỂ	T		三彩 tam thể · 張燈結彩 trương đăng kết thể
體	THỂ	2		身體 thân thể · 體面 thể diện
世	THẾ	1		世界 thế giới · 世系 thế hệ · 世事 thế sự
替	THẾ	3		𠊝替 thay thế
勢	THẾ	1		勢力 thế lực · 勢𨅸 thế đứng · 優勢 ưu thế · 大勢 đại thế · 地勢 địa thế
勢	thế	1		勢芇 thế nào · 如勢 như thế
誓	thề	T		𠳒誓 lời thề · 誓願 thề nguyền · 咹誓 ăn thề · 𠯽誓 chửi thề · 誓說 thề thốt · 𩯀誓 tóc thề
誓	THỆ	T		宣誓 tuyên thệ
𩻔	thệ			𩵜𩻔 cá thệ
逖	thếch			𨘸逖 lếch thếch
饞	thèm	5		饞𢠆 thèm thuồng · 啿饞 thòm thèm
添	thêm	4		添抔 thêm bớt · 添紩 thêm thắt · 添𠓨 thêm vào · 添設備 thêm thiết bị
㙴	thềm			㙴陸地 thềm lục địa
杄	then			杄𢱝 then chốt
𢢆	thẹn	T	𠊛琶𢢆 người Bà (Pà) Thẻn	𢜜𢢆 hổ thẹn · 𢢆𢠅 thẹn thùng [𠸨]
𢉑	thênh			𢉑湯 thênh thang
蹺	theo	1		𠫾蹺 đi theo · 蹺𨘗 theo đuổi
𨨧	thép	T		鉄𨨧 sắt thép
𠯦	thét	T		哠𠯦 gào thét · 𠯦𠻵 thét mắng · 㖗𠯦 gầm thét
絩	thêu			絩𦂾 thêu dệt · 椖絩 buồng thêu
吵	thểu			失吵 thất thểu
屍	THI	4		屍體 thi thể · 屍骸 thi hài
施	THI	3		施工 thi công · 施恩 thi ân · 施行 thi hành
試	thi	2		局試 cuộc thi · 𧼋試 chạy thi · 科試  khoa thi
詩	THI	2		詩歌 thi ca · 詩人 thi nhân
施	THÍ	3		布施 bố thí
試	THÍ	2		試驗 thí nghiệm · 考試 khảo thí
譬	THÍ	4		譬喻 thí dụ
時	THÌ	1		時𣇞 thì giờ
時	thì	1		丕時 vậy thì · 貪時深 tham thì thâm · 忱時 thầm thì [𠸨]
氏	THỊ	T		無名氏 vô danh thị · 阮氏 Nguyễn Thị
市	THỊ	2		市社 thị xã · 都市 đô thị · 城市 thành thị
示	THỊ	3		表示 biểu thị · 顯示 hiển thị · 示威 thị uy · 揭示 yết thị
侍	THỊ	T		侍女 thị nữ
是	THỊ	T		是非 thị phi
柿	THỊ			果柿 quả thị
視	THỊ	5		視覺 thị giác · 蔑視 miệt thị · 視察 thị sát · 監視 giám thị
𤀏	thía	T		沁𤀏 thấm thía
刺	THÍCH	5		刺客 thích khách · 激刺 kích thích
戚	THÍCH	T		親戚 thân thích
槭	thích			𣘃槭 cây thích
適	THÍCH	4		適應 thích ứng · 適趣 thích thú · 適志 thích chí · 適合 thích hợp
適	thích	4		𢞅適 yêu thích · 𢛨適 ưa thích
釋	THÍCH	2		解釋 giải thích · 放釋 phóng thích
錫	thiếc	T		𡎡錫 mỏ thiếc
千	THIÊN	5		千古 thiên cổ · 千秋 thiên thu
天	THIÊN	1		天然 thiên nhiên · 天地 thiên địa · 天下 thiên hạ · 天良 thiên lương
偏	THIÊN	T		偏位 thiên vị · 報告偏𧗱成績 báo cáo thiên về thành tích
篇	THIÊN	T		篇冊 thiên sách · 篇訪事 thiên phóng sự
遷	THIÊN	T		變遷 biến thiên · 遷都 thiên đô
淺	THIỂN	T		粗淺 thô thiển · 淺近 thiển cận · 淺見 thiển kiến
禪	THIỀN	T		禪宗 thiền tông · 坐禪 toạ thiền
善	THIỆN	3		善良 thiện lương · 善心 thiện tâm · 善惡 thiện ác · 善志 thiện chí
擅	THIỆN			擅權 thiện quyền
𤍌󠄁（𤍌）	thiêng	T		𤍌󠄁靈 thiêng liêng · 靈𤍌󠄁 linh thiêng
妾	THIẾP	T		妻妾 thê thiếp · 臣妾 thần thiếp
帖	THIẾP	T		郵帖 bưu thiếp · 帖紅 thiếp hồng · 名帖 danh thiếp · 帖𫬱 thiếp mời
貼	THIẾP	T		貼心 thiếp tâm · 貼鐄 thiếp vàng
𢜡	thiếp	T		帖𢜡 thiêm thiếp [𠸨]
帖	thiệp	T		發帖 phát thiệp · 帖𫬱 thiệp mời
涉	THIỆP	4		干涉 can thiệp
切	THIẾT	3		親切 thân thiết · 痛切 thống thiết · 他切 tha thiết [𠸨]
設	THIẾT	2		假設 giả thiết · 設計 thiết kế · 建設 kiến thiết
鐵	THIẾT	T		鐵甲 thiết giáp
竊	THIẾT	T		竊擬 thiết nghĩ
舌	THIỆT			舌戰 thiệt chiến
折	thiệt	5		折害 thiệt hại · 折命 thiệt mạng
實（实）	THIỆT	1	"格讀𧵑「實 thật」爲𫍊諱時𠸗。 Cách đọc của ""實 thật"" vì kiêng húy thời xưa."	次實 thứ thiệt
燒	THIÊU	T		燒炪 thiêu đốt · 自燒 tự thiêu
少	THIỂU	2		少數 thiểu số · 減少 giảm thiểu · 最少 tối thiểu
少	THIẾU	2		少女 thiếu nữ · 年少 niên thiếu · 缺少 khuyết thiếu · 少錢 thiếu tiền · 慫少 túng thiếu · 少寸 thiếu thốn
紹	THIỆU	4		介紹 giới thiệu · 紹治 Thiệu Trị
嬸	thím			注嬸 chú thím
辰	THÌN	4		𣇞辰 giờ thìn
汀	thinh	T		汀𠻴 thinh lặng · 𫜵汀 làm thinh
請	THỈNH	4		請求 thỉnh cầu · 請客 thỉnh khách · 𫫴請 thủng thỉnh · 請倘 thỉnh thoảng
聽	THÍNH	T		聽𦖻 thính tai · 探聽 thám thính · 聽者 thính giả
𥺒	thính			𩻐𥺒 mắm thính · 抯𥺒 thả thính
晠	thình			晠昤 thình lình
盛	THỊNH	3		強盛 cường thịnh · 盛饌 thịnh soạn · 繁盛 phồn thịnh · 安康盛旺 an khang thịnh vượng
𬚸	thịt	4		採𬚸 thái thịt · 𬚸𤇌 thịt kho · 𬚸𪃿 thịt gà
吵	thỉu			𣵲吵 bẩn thỉu
湫	tho			美湫 Mĩ (Mỹ) Tho
兔	thỏ	T		𡥵兔 con thỏ · 兔玉 thỏ ngọc · 兔𠱈 thỏ thẻ
𢲬	thò			拾𢲬 thập thò
授	thọ	5		擡授 đài thọ
壽（寿）	thọ	4		萬壽 vạn thọ · 長壽 trường thọ
粗	THÔ	5		粗暴 thô bạo · 粗魯 thô lỗ · 粗陋 thô lậu · 粗俗 thô tục
土	THỔ	3		田土 điền thổ · 土地 thổ địa · 領土 lãnh thổ · 㗂土 tiếng thổ · 土耳其 Thổ Nhĩ Kì · 𠊛土 người Thổ
吐	THỔ	T		吐瀉 thổ tả
苴	thơ	T		𥘷苴 trẻ thơ · 𡥵苴 con thơ
書	THƠ	3	"⇔ 書 thư; 格讀𧵑「書 thư」爲𫍊諱時𠸗。 Cách đọc của ""書 thư"" vì kiêng húy thời xưa."	
詩	thơ	2		詩歌 thơ ca · 排詩 bài thơ · 吟詩 ngâm thơ · 詩訠 thơ thẩn
咀	thở	3		咀𠚢 thở ra · 嘆咀 than thở
𰨂	thờ	3		茹𰨂 nhà thờ · 𰨂供 thờ cúng · 盤𰨂 bàn thờ
悇	thờ	T		悇㐵 thờ ơ · 矧悇 thẫn thờ
𠏲	thợ	5		𠏲船 thợ thuyền · 𠏲𡎡 thợ mỏ · 𡱩𠏲 thước thợ
妥	THOẢ	3		妥𢚸 thoả lòng · 妥協 thoả hiệp · 妥滿 thỏa mãn · 妥順 thỏa thuận
𢗷	thoải	T		𢗷𢗷 thoai thoải · 𢗷㜥 thoải mái
退	THOÁI	4		退𨆢 thoái lui · 退潮 thoái trào · 衰退 suy thoái · 退化 thoái hoá · 退位 thoái vị
話	THOẠI	2		會話 hội thoại · 電話 điện thoại · 對話 đối thoại · 神話 thần thoại
倘	thoảng	T		請倘 thỉnh thoảng
洸	thoáng	T		灤洸 loáng thoáng · 隰洸 thấp thoáng [𠸨] · 洸氣 thoáng khí
脫	THOÁT	3		脫𧴱 thoát nợ · 沁脫 thấm thoát · 解脫 giải thoát · 脫險 thoát hiểm · 脫殼 thoát xác
𣉐	thoạt	T		𣉐頭 thoạt đầu
𥟉	thóc	T		穭𥟉 thóc lúa · 𥟉𠼽 thóc mách [𠸨]
梭	thoi	T		梭迻 thoi đưa · 梭鐄 thoi vàng · 梭𡀾 thoi thóp · 梭𠬠丐 thoi một cái
𢟔	thói	4		𢟔慣 thói quen
𠻓	thòi			折𠻓 thiệt thòi · 𠻓𦛌𠚢外 thòi ruột ra ngoài
催	THÔI	4		催促 thôi thúc · 催眠 thôi miên
慛	thôi	5		擂慛 lôi thôi · 𠻵𠬠慛 mắng một thôi · 慛役 thôi việc · 慛𥱮 thôi nôi · 𦓡慛 mà thôi · 喂慛 ôi thôi [嘆] · 丐巾慛黰𪥘󠄁𡊱渃 cái khăn thôi đen cả chậu nước
𠺙	thổi	T		𠺙簫 thổi tiêu · 𩙍𠺙𠓨茹 gió thổi vào nhà
退	thối	4		𣅶進𣅶退 lúc tiến lúc thối · 退錢朱客 thối tiền cho khách
啐	thối	T		洃啐 hôi thối · 啐拖 thối tha [𠸨]
迨	thơi	T		𨓽迨 thảnh thơi
時	THỜI	1	"格讀𧵑「時 thì」爲𫍊諱時𠸗。 Cách đọc của ""時 thì"" vì kiêng húy thời xưa."	時節 thời tiết · 時機 thời cơ · 時運 thời vận · 時期 thời kì · 時間 thời gian
𥱯	thời	T		𠬃𩵜𠓨𥱯 bỏ cá vào thời
㖭	thỏm			忑㖭 thắc thỏm · 隰㖭 thấp thỏm
啿	thòm			啿饞 thòm thèm
𦹳	thơm	T		香𦹳 hương thơm
吞	THÔN	T		吞併 thôn tính
村	THÔN	T		村𥯎 thôn xóm · 村圭 thôn quê · 農村 nông thôn · 村莊 thôn trang · 村邑 thôn ấp
忖	thổn			忖𥅞 thổn thức
寸	THỐN			少寸 thiếu thốn
摐	thong	T		摐抯 thong thả
通	THÔNG	1		通報 thông báo · 通曉 thông hiểu · 莄通 cành thông
樋	thông	T		𣘃樋 cây thông · 𡹃樋 rừng thông
聰	THÔNG	T		聰明 thông minh
統	THỐNG	2		統計 thống kê · 傳統 truyền thống · 統帥 thống soái
痛	THỐNG	T		痛苦 thống khổ · 痛切 thống thiết
𡎭	thống			丐𡎭 cái thống
𡀾	thóp			梭𡀾 thoi thóp
𪷄	thót			𬉊𪷄 thánh thót
猝	THỐT	T		猝然 thốt nhiên · 倉猝 thảng thốt
椊	thốt	T		椊訥 thốt nốt
說	thốt	2		誓說 thề thốt · 說𠚢 thốt ra
𣘄	thớt			丐𣘄 cái thớt · 𣘄採蔞 thớt thái rau · 疎𣘄 thưa thớt [𠸨]
收	THU	2		收費 thu phí · 收穫 thu hoạch · 收音 thu âm · 收𰔫 thu dọn · 收入 thu nhập · 收搛 thu gom · 收唿 thu hút
秋	THU	T		𬁒秋 mùa thu · 立秋 lập thu
𩷊	thu	T		𩵜𩷊 cá thu
手	THỦ	2		手續 thủ tục · 兇手 hung thủ · 手段 thủ đoạn · 球手 cầu thủ
守	THỦ	3		保守 bảo thủ · 遵守 tuân thủ · 守門 thủ môn
取	THỦ	4		取消 thủ tiêu · 進取 tiến thủ
首	THỦ	1		首都 thủ đô · 首相 thủ tướng · 首長 thủ trưởng
𠱔	thủ	T		𠱔𠱈 thủ thỉ
守	THÚ	3		太守 thái thú
戍	THÚ			𪜯戍 lính thú
首	THÚ	1		自首 tự thú · 投首 đầu thú · 首罪 thú tội
娶	THÚ	T		婚娶 hôn thú · 嫁娶 giá thú
趣	THÚ	3		趣味 thú vị · 興趣 hứng thú · 樂趣 lạc thú
獸	THÚ	5		猛獸 mãnh thú · 野獸 dã thú · 獸性 thú tính
殊	THÙ	4		特殊 đặc thù · 文殊師利 Văn Thù Sư Lợi
茱	THÙ			茱萸 thù du
茱	thù		茱瀘 thù lù ⇔ 瀘瀘 lù lù	茱瀘 thù lù
酬	THÙ	T		酬勞 thù lao
讎	THÙ	3		㨋讎 trả thù · 仉讎 kẻ thù · 報讎 báo thù · 讎恨 thù hận · 讎敵 thù địch · 復讎 phục thù
受	THỤ	4		享受 hưởng thụ · 感受 cảm thụ · 接受 tiếp thụ · 消受 tiêu thụ · 受精 thụ tinh · 吸受 hấp thụ · 受教 thụ giáo · 受業 thụ nghiệp
售	THỤ	5		銷售 tiêu thụ
授	THỤ	5		傳授 truyền thụ · 授粉 thụ phấn
樹	THỤ	T		古樹 cổ thụ
姐	THƯ	T		小姐 tiểu thư
書	THƯ	3		幅書 bức thư · 書法 thư pháp · 書記 thư kí · 書信 thư tín
疽	THƯ	5		癰疽 ung thư
舒	THƯ	5		舒泰 thư thái · 舒舒 thư thư · 舒抯 thư thả
雌	THƯ	T		雌雄 thư hùng
此	THỬ	T		成此 thành thử
暑	THỬ	T		寒暑表 hàn thử biểu
試	thử	2		𬡶試 mặc thử · 試驗 thử nghiệm
次	THỨ	2		次一 thứ nhất · 次𠀧 thứ ba · 𡥵次 con thứ
次	thứ	2		𠬠次諧劇 một thứ hài kịch · 懃教育次青年墟𧘇 cần giáo dục thứ thanh niên hư ấy
刺	THỨ	5		刺史 thứ sử
恕	THỨ	5		赦恕 tha thứ · 寬恕 khoan thứ
庶	THỨ	T		庶民 thứ dân
輸	thua	4		勝輸 thắng thua · 輸𡓇 thua lỗ · 輸局 thua cuộc
疎	thưa	4		疎件 thưa kiện · 敬疎 kính thưa · 疎𣘄 thưa thớt [𠸨] · 𡹃疎 rừng thưa
所	thửa	2		所𬏇 thửa ruộng
丞	THỪA	T		丞相 thừa tướng
承	THỪA	3		交承 giao thừa · 承認 thừa nhận · 繼承 kế thừa · 承恩 thừa ân
乘	THỪA	4		大乘 Đại thừa · 乘機 thừa cơ
剩	THỪA	5		剩汰 thừa thãi · 行剩 hàng thừa · 人員剩 nhân viên thừa
純	THUẦN	3		純樸 thuần phác · 純粹 thuần tuý · 單純 đơn thuần
馴	thuần	T		馴服 thuần phục · 馴養 thuần dưỡng · 馴化 thuần hoá
醇	THUẦN	T		醇厚 thuần hậu · 醇性 thuần tính · 醇熟 thuần thục
盾	THUẪN	T		餅盾 bánh thuẫn · 矛盾 mâu thuẫn · 後盾 hậu thuẫn
順	THUẬN	2		順利 thuận lợi · 孝順 hiếu thuận · 歸順 quy thuận
述	THUẬT	T		陳述 trần thuật · 敘述 tự thuật · 詳述 tường thuật · 譯述 dịch thuật
術	THUẬT	2		藝術 nghệ thuật · 學術 học thuật · 戰術 chiến thuật
束	THÚC	3		結束 kết thúc · 束手 thúc thủ
叔	THÚC			英㛪叔伯 anh em thúc bá
促	thúc	3		促𠽖 thúc giục · 催促 thôi thúc · 敦促 đôn thúc · 促𥱰 thúc giò · 促𣎣𢬣𠓨𦘹伴 thúc khuỷu tay vào sườn bạn
式	THỨC	1		儀式 nghi thức · 正式 chính thức · 式咹 thức ăn · 式㕵 thức uống
𥅞	thức	3		醒𥅞 tỉnh thức · 𥅞𣎀 thức đêm · 𥅞𧻭 thức dậy · 忖𥅞 thổn thức
識	THỨC	1		學識 học thức · 認識 nhận thức · 識別 thức biệt · 意識 ý thức
食	THỰC	4		飲食 ẩm thực · 食單 thực đơn
寔	THỰC	2	"格曰吧格讀𧵑「實 thật」爲𫍊諱時𠸗。 Cách viết và cách đọc của ""實 thật"" vì kiêng húy thời xưa."	誠寔 thành thực · 寔踐 thực tiễn · 寔權 thực quyền · 役寔 việc thực · 寔咃 thực thà
植	THỰC	5		植物 thực vật
殖	THỰC	5		殖民 thực dân
𠾔	thuê	4		𠾔茹 thuê nhà · 𠾔僈 thuê mướn
稅	THUẾ	4		稅𥡗 thuế má · 免稅 miễn thuế · 收稅 thu thuế
蹆	thủi			𨇒蹆 lủi thủi · 蹆蹆 thui thủi
水	THUỶ	4		符水 phù thuỷ · 艚水 tàu thuỷ · 山水 sơn thuỷ · 洪水 hồng thuỷ · 水兵 thuỷ binh · 水利 thuỷ lợi · 水銀 thuỷ ngân · 風水 phong thuỷ
始	THUỶ	4		原始 nguyên thuỷ · 始祖 thuỷ tổ · 始終 thuỷ chung · 起始 khởi thuỷ
垂	THUỲ	T		垂肺 thuỳ phổi · 部𠀧垂 bọ ba thuỳ
陲	THUỲ			邊陲 biên thuỳ
瑞	THUỴ	5		瑞香 thuỵ hương · 瑞鳥 thuỵ điểu · 瑞士 Thuỵ Sĩ · 瑞典 Thuỵ Điển
謚	THUỴ	T		𠸜謚 tên thuỵ · 謚號 thuỵ hiệu
痊	THUYÊN	T		痊減 thuyên giảm
詮	THUYÊN			詮解 thuyên giải · 詮釋 thuyên thích
銓	THUYÊN			銓選 thuyên tuyển · 銓轉 thuyên chuyển
鐫	THUYÊN			鐫罰 thuyên phạt · 鐫級 thuyên cấp · 鐫汰 thuyên thải · 鐫黜 thuyên truất
船	THUYỀN	4		隻船 chiếc thuyền · 戰船 chiến thuyền · 遊船 du thuyền
嬋	THUYỀN			𡛔嬋娟 gái thuyền quyên
蟬	THUYỀN	T		貂蟬 điêu thuyền
說	THUYẾT	2		小說 tiểu thuyết · 傳說 truyền thuyết · 學說 học thuyết · 說明 thuyết minh · 說客 thuyết khách · 說服 thuyết phục
舂	thung	5		舂壟 thung lũng
樁	THUNG			樁萱 thung huyên
𫫴	thủng	T		𡓇𫫴 lỗ thủng · 𫫴𣦎 thủng thẳng · 𫫴請 thủng thỉnh
桶	thùng	T		桶渃 thùng nước · 㨂桶 đóng thùng · 桶晠 thùng thình [𠸨] · 裙襖桶 quần áo thùng · 桶筩叫𫰅 thùng rỗng kêu to
𢠅	thùng	T		𢢆𢠅 thẹn thùng [𠸨]
升	thưng	5	單位𢵋 đơn vị đo	𠬠升 một thưng
憴	thừng	T		𣦎憴 thẳng thừng
𣇫	thuở	T		𠇍𣇫 mấy thuở
𫇿	thuốc	3		𫇿𥾃 thuốc men · 𫇿㕵 thuốc uống · 塗𫇿 đồ thuốc
熟	thuộc	4		慣熟 quen thuộc · 䏧熟 da thuộc
屬（属）	THUỘC	2	班迷屬 Buôn Ma Thuột	屬性 thuộc tính · 附屬 phụ thuộc
鑠	THƯỚC			矍鑠 quắc thước
𡱩	thước	4		戟𡱩 kích thước · 𡱩西 thước tây · 𡱩𢩫 thước kẻ
𢠆	thuồng			饞𢠆 thèm thuồng
𧐺	thuồng			𧐺蠬 thuồng luồng
商	THƯƠNG	2		商賣 thương mại · 商品 thương phẩm · 商說 thương thuyết
傷	THƯƠNG	2		傷亡 thương vong · 傷害 thương hại · 傷疾 thương tật · 傷𢞅 thương yêu · 易傷 dễ thương · 傷感 thương cảm
滄	THƯƠNG	T		桑滄 tang thương
槍	THƯƠNG	T		刀槍 đao thương · 火槍 hoả thương
賞	THƯỞNG	3		𦄂賞 giải thưởng · 賞罰 thưởng phạt · 賞月 thưởng nguyệt · 賞識 thưởng thức
常	THƯỜNG	1		平常 bình thường · 常川 thường xuyên · 䁛常 coi thường
償	THƯỜNG	5		賠償 bồi thường
上	THƯỢNG	4		上流 thượng lưu · 𡑝上 sân thượng · 皇上 hoàng thượng · 上策 thượng sách
尚	THƯỢNG	3		高尚 cao thượng · 和尚 hòa thượng
𤃧	thướt			𤃧他 thướt tha [𠸨]
浖	thụt			浖𨀤 thụt lùi
查	TRA	2		審查 thẩm tra · 檢查 kiểm tra · 查𠳨 tra hỏi
揸	tra	T		揸籺𥣐 tra hạt vừng · 揸劍𠓨𤿭 tra kiếm vào vỏ
楂	TRA			山楂 sơn tra
㨋	trả	2		㨋𧴱 trả nợ · 㨋錢 trả tiền · 㨋𠳒 trả lời · 還㨋 hoàn trả · 㨋恩 trả ơn
𪁳	trả			𪀄𪁳 chim trả
詐	TRÁ	T		奸詐 gian trá · 狡詐 xảo trá · 嚉詐 dối trá · 詐形 trá hình · 假詐 giả trá
茶	TRÀ	4		𢯠茶 pha trà · 瓶茶 bình trà · 飲茶 ẩm trà · 茶青 trà xanh · 茶𢶿 trà trộn [𠸨]
卓	TRÁC			卓絕 trác tuyệt · 卓越 trác việt
斲	TRÁC			斲喪 trác táng
仄	TRẮC			平仄 bằng trắc · 仄阻 trắc trở · 仄𢟗 trắc nết · 築仄 trúc trắc [𠸨]
惻	TRẮC			惻隱 trắc ẩn
測	TRẮC	T		測驗 trắc nghiệm · 觀測 quan trắc · 測地 trắc địa · 不測 bất trắc
𣖡	trắc			𣘃𣖡 cây trắc · 楛𣖡 gỗ trắc
𨁷	trặc	T		𢴊𨁷 trục trặc
垞	trách			丐垞 cái trách
責	TRÁCH	2		譴責 khiển trách · 責據 trách cứ · 責任 trách nhiệm · 責𠻵 trách mắng · 責𢪮 trách móc
澤	TRẠCH			潤澤 nhuận trạch
齋	TRAI	T		書齋 thư trai · 齋房 trai phòng · 齋戒 trai giới
𤳆（𱰼）	trai	2		𡥵𤳆 con trai · 英𤳆 anh trai
𧕚	trai	T		𧕚儮𠵘 trai lệch mồm · 玉𧕚 ngọc trai · 𠁻籺𧕚 chuỗi hạt (hột) trai
𱱇	trải	3		𥧪𱱇 trống trải · 𱱇毯 trải thảm · 𫫞𱱇 nếm trải
債	TRÁI	3		債票 trái phiếu
債	trái	3		邊債 bên trái · 沛債 phải trái · 債卬 trái ngang
𬃻	trái	5		𬃻𡐙 Trái Đất · 𬃻𣘃 trái cây · 𬃻心 trái tim
廌	TRÃI	T		阮廌 Nguyễn Trãi
寨	TRẠI	3		營寨 doanh trại · 邑寨 ấp trại
𪡊	trại			吶𪡊 nói trại
站	TRẠM	T		站氣象 trạm khí tượng · 站舍 trạm xá
𤾓	trăm	2		𤾓𢆥 trăm năm · 恆𤾓 hàng trăm · 份𤾓 phần trăm
沉	TRẦM	3		沉淪 trầm luân · 沉默 trầm mặc · 沉重 trầm trọng · 沉香 trầm hương · 沉𠻴 trầm lặng · 𠰩沉 giọng trầm · 沉汵 trầm ngâm
沉	trầm	3		沉徂 trầm trồ
𩑰	trán	T		𩑰𥳉 trán dô
𣼼	tràn	4		𣼼攔 tràn lan · 𣼼𣹓 tràn đầy
粦	trăn	T		粦𠭤 trăn trở
螓	trăn			𡥵螓 con trăn
陣	trặn	2		圇陣 tròn trặn [𠸨]
珍	TRÂN	T		珍重 trân trọng · 珍珠 trân châu · 珍饈 trân tu · 珍寶 trân bảo · 珍禽異獸 trân cầm dị thú
瞋	TRÂN			瞋瞋 trân trân
鎮	TRẤN	4		市鎮 thị trấn · 鎮靜 trấn tĩnh · 鎮壓 trấn áp · 鎮守 trấn thủ
陳	TRẦN	3		陳設 trần thiết · 條陳 điều trần · 陳皮 trần bì · 陳㰁 trần trụi · 𣱆陳 họ Trần
塵	TRẦN	3		塵俗 trần tục · 塵世 trần thế · 承塵 thừa trần
陣	TRẬN	2		臨陣 lâm trận · 陣杶 trận đòn · 陣打 trận đánh
奘	trang	T		𠬠奘豪傑 một trang hào kiệt
張	trang	2		張正 trang chính
