# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

扒	bắt	1		扒𫃚 bắt buộc · 扒着 bắt chước · 扒脈 bắt mạch · 扒𡃓 bắt bớ [𠸨] · 扒﨤 bắt gặp
不	BẤT	1		不安 bất an · 不期 bất kì · 不執 bất chấp · 不晠昤 bất thình lình
弼	bật	3		弼焒 bật lửa · 弼畑 bật đèn
寶（宝）	báu	4		貴寶 quý báu · 寶物 báu vật · 珠寶 châu báu
垉	bàu			垉蓮 bàu sen · 恅垉 làu bàu [𠸨]
裒	bâu			裒𠓨 bâu vào · 裒襖 bâu áo
保	bầu	1		保舉 bầu cử
匏	bầu	T		匏𡗶 bầu trời · 彈匏 đàn bầu · 固匏 có bầu · 匏欲 bầu dục · 匏苾 bầu bí · 匏空氣 bầu không khí
𠾦	be	T		𠾦𠾦 be be [聲] · 𦭷𠾦 màu be [譯] · 𠾦𦛺 be bét [𠸨]
𣛥	be	T		𣛥𨢇 be rượu · 𣛥𦩰 be xuồng
𨼚	be			𦩰𨼚近𤅶 xuồng be gần bến
𫮦	be			𫮦坡 be bờ
𢯏	bẻ			𢯏對 bẻ đôi · 扒𢯏 bắt bẻ
𡮣	bé	2		𡮣𡮈 bé nhỏ · 𡮣𤊡 bé bỏng [𠸨]
佊	bè	T		佊伴 bè bạn · 佊黨 bè đảng
𤿤	bè	T		艚𤿤 tầu bè · 船𤿤 thuyền bè · 𤿤𥫭 bè nứa
𢜢	bẽ			𢜢㥬 bẽ bàng
𠶎	bê	4		𠶎𦁀 bê bối
𤚆	bê			𡥵𤚆 con bê
𣷭	bể			底𣷭 đáy bể
𥓳	bể			丐鉢被𥓳耒 cái bát bị bể rồi
閉	BẾ	T		封閉 phong bế · 閉關 bế quan · 閉幕 bế mạc
嬖	bế	T		捧嬖 bồng bế · 嬖㛪 bế em
皮	bề	4		皮𩈘 bề mặt · 皮外 bề ngoài · 坌皮 bộn bề [𠸨]
陛	BỆ	T		陛下 bệ hạ · 陛衛 bệ vệ · 堂陛 đường bệ · 下陛 hạ bệ · 陛𨷯 bệ cửa · 陛平 bệ bằng
䏶	bệ	T		䏶𫄈 bệ rạc
薜	BỆ			薜荔 bệ lệ
胉	bệch			𤽸胉 trắng bệch
𠷨	bẻm			𠷨𠵐 bẻm mép
𤓩（𤊰）	bén	T		焒𤓩𠓨稴 lửa bén vào rơm · 銫𤓩 sắc bén
卞	bèn	T		應意、卞𧷸𬆄 Ưng ý, bèn mua ngay
邊（边）	bên	2		邊𥪝 bên trong · 邊𨑗 bên trên · 邊沛 bên phải
𤅶（𣷷）	bến	5		𤅶渃 bến nước · 𤅶艔 bến đò · 𤅶港 bến cảng
𥾽	bền	4		𥾽凭 bền vững · 𥾽比 bền bỉ [𠸨]
抃	bện			抃𥿣 bện chão
鋲	beng			杈鋲 xà beng
𦛼	bênh	T		𦛼掝 bênh vực · 乏𦛼 bấp bênh · 㑲𦛼𦛼 nằm bênh bênh
泙	bềnh			泠泙 lềnh bềnh
病	BỆNH	2		病疾 bệnh tật · 病感 bệnh cảm · 病院 bệnh viện · 病人 bệnh nhân
𧴋	beo			𤜯𧴋 cọp beo · 𦝂𧴋 đít beo · 𧴋𦖻 beo tai
㧼	béo		⇔ 㧼 véo	
脿	béo			脿𦡡 béo ngậy
䕯	bèo			蘿䕯 lá bèo · 䕯蕘 bèo nhèo [𠸨] · 餅䕯 bánh bèo
殍	bẽo			薄殍 bạc bẽo[𠸨]
𠻅	bẹp			碮𠻅 đè bẹp · 㑲𠻅 nằm bẹp · 𠻅拰 bẹp dúm
𤇮	bếp	5		刀𤇮 dao bếp
八	bét	T	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.	八 bét
𥇂	bét			𥇂眜 bét mắt · 項𥇂 hạng bét · 捏𥇂 nát bét · 𠾦𥇂 be bét [𠸨]
𫊽	bét			蟡𫊽 ve bét
啤	bi	T		筆啤 bút bi [譯] · 𢏑啤 bắn bi [譯]
悲	BI	3		悲劇 bi kịch · 悲哀 bi ai · 悲慘 bi thảm · 悲觀 bi quan · 愁悲 sầu bi · 悲切 bi thiết
碑	BI	T		碑記 bi kí · 碑文 bi văn
比	BỈ	3		渃比 nước Bỉ · 𥾽比 bền bỉ [𠸨]
鄙	BỈ	5		粗鄙 thô bỉ
苾	bí			果苾 quả bí
