# 常用标准汉喃字表（2023年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表2共2934字（表1分6级共3987字，两表合计6921字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

掤	bứng	掤𣘃 bứng cây · 掤𪥘󠄁家庭𠫾𬨠沔𡶀 bứng cả gia đình đi lȇ n miền núi	
𣞻（𣘓）	bưởi	𣘃𣞻 cây bưởi · 絁𤿭𣞻 the vỏ bưởi	
𬗄	bươm	襤𬗄 lươm bươm · 𧛊𬗄 rách bươm	
倴	bươn	倴把 bươn bả · 倴𦃀 bươn chải	
嗙	bướng	嗙秉 bướng bỉnh [𠸨]	
𤶽	buốt	洌𤶽 rét buốt · 𤴬𤶽 đau buốt · 𤶽䏧 buốt da	
蚫	bươu	蚫頭 bươu đầu · 𧎜蚫 ốc bươu	
𤷶	bướu	丐𤷶 cái bướu · 𤷶𦙶 bướu cổ	
伓	bứt	伓𢲼 bứt rứt · 伓𩯀 bứt tóc · 伓𦹯憑鐮 bứt cỏ bằng liềm	
𣘁	CA	𣘁茶 ca trà [摱]	
蜞	cà	蜞𧋵 cà cuống	
𡁤	cạc	𡁤𡁤 cạc cạc [聲] · 𡁤𦁸 cạc mạng [摱] · 𡁤幔形 cạc màn hình	
䏱	cặc	檑䏱𤙭 roi cặc bò	
䏱	kẹc		⇔ 䏱  cặc
㘌	cạch	㘌𩈘 cạch mặt · 㘌𦤾𫅷 cạch đến già ·梮㘌 cọc cạch · 𤃝㘌 lạch cạch [聲]	
街	cai	老街 Lào Cai	𡨸尼得讀如格發音尼只𥪝名詞 𥢆尼。 Chữ này được đọc như cách phát âm này chỉ trong danh từ riêng này.
掑	cài	掑𨷯 cài cửa · 掑擺 cài bẫy · 掑撻 cài đặt	
𧉝	cáy	𡥵𧉝 con cáy · 𧍆𧉝 cua cáy · 𩻐𧉝 mắm cáy · 㦉如𧉝 nhát như cáy	
𢭄	cạy	𢭄𨷯 cạy cửa	
𢭄	cậy		⇔ 𢭄 cạy
