# 常用标准汉喃字表（2023年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表2共2934字（表1分6级共3987字，两表合计6921字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𣋻	mốt	𣈜𣋻 ngày mốt · 𣈕𣋻 mai mốt	
𮪶	mu	𮪶𧒍 mu rùa · 𩩫𮪶 xương mu	
湈	mủ	𧖱湈 máu mủ · 剛湈 cương mủ	
𩹮	mú	𩵜𩹮 cá mú	
嗎	mửa	𠷀嗎 nôn mửa · 𣾿嗎 ói mửa	
𢪷	múc	𢪷渃 múc nước · 𢪷𥺊 múc cháo	
睦	MỤC	和睦 hoà mục	
𥯍	mui	𥯍船 mui thuyền · 𩂏𥯍𬨠 che mui lên	
𢙽	mủi	𢙽𢚸 mủi lòng	
脢	múi	脢𣞻 múi bưởi · 脢柑 múi cam	
𦟣	mũm	𦟣俛 mũm mĩm	
椚	mun	楛椚 gỗ mun	
𫃐	mủn	𫃐𠚢 mủn ra · 繜𫃐 tủn mủn	
𡍜	mùn	𡍜鋸 mùn cưa · 𡍜𪷦 mùn vẩn · 𡍜𧅫 mùn rác	
𤺯	mụn	𤺯𤷿 mụn nhọt	
𥶃	mủng	𥴗𥶃 thúng mủng	
幪	mùng	幪幔 mùng màn	
𤶼	mưng	𤶼湈 mưng mủ · 𤷿𤶼 nhọt mưng	
𬄪	muôi	𠬠𬄪羹 một muôi canh	
𤇿	muồi	𤇪𤇿 chín muồi · 𥄬𤇿 ngủ muồi	
妹	MUỘI	師妹 sư muội · 賢妹 hiền muội	
梚	muỗm	𣘃梚 cây muỗm	
𮔔	muỗm	𡥵𮔔 con muỗm	
獴	muông	𪀄獴 chim muông · 獴獸 muông thú	
𦬺	muống	蔞𦬺 rau muống	
𨮵	muỗng	丐𨮵 cái muỗng	
𨮵	muỗm		⇔ 𨮵 muỗng
汒	mương	汒渃 mương nước · 汒汫 mương rãnh ·汒𣙷 mương máng	
𠉋	mường	𠊛𠉋 người Mường	
𦲾	mướp	橺𦲾 giàn mướp	
𠇱	muốt	𤽸𠇱 trắng muốt	
滵	mướt	滵𠖾 mướt mát · 滵𧺕 mướt rượt · 滵𣳡洃 mướt mồ hôi	
沫	mượt	沫𣻕 mượt mà [𠸨] · 滃沫 óng mượt · 𩯀沫 tóc mượt · 青沫 xanh mượt	
杋	múp	杋䏎 múp míp	
莈	mụt	莈𤷿 mụt nhọt · 莈𧋆 mụt ruồi · 莈笀 mụt măng	
𦰡	na	果𦰡 quả na	
嗱	nả	包嗱 bao nả · 擃嗱 nong nả · 沛空嗱？ phải không nả?	
𥭵	nả	𧵑𥭵 của nả	
哪	ná	赧哪 nấn ná	
𫸶	ná	丐𫸶 cái ná · 𢏑𫸶 bắn ná	
㑚	nà	𧀒㑚 nõn nà	
拿	NÃ	追拿 truy nã · 公安拿仉奸 công an nã kẻ gian	
拿	nã	拿炮𠓨屯敵 nã pháo vào đồn địch	
𫱗	nạ	𫱗𣳔 nạ dòng	
匿	NẶC	匿名 nặc danh	
喏	nặc	濃喏 nồng nặc	
㘃	nấc	㘃𡭕 nấc cụt	
𮥛	nấc	𮥛簜 nấc thang · 㨢𬨠𠬠𮥛 nâng lên một nấc	
腋	nách	氍𠓨腋 cù vào nách	
抳	nai	抳𦄇 nai nịt	
埿	nai	埿𨢇 nai rượu	
㭁	nải	𢬣㭁 tay nải · 㭁荎 nải chuối · 𬓐㭁 trễ nải	
𧈣	nái	螻𧈣 sâu nái	
𤜠	nái	𤞼𤜠 lợn nái	
𥾋	nái	𥾋𫄎 lụa nái · 裙𥾋 quần nái	
𭝎	nại	拯𭝎艱勞 chẳng nại gian lao	
𢖱	náy	曖𢖱 áy náy [𠸨]	
𣅅	nãy	班𣅅 ban nãy · 𣅶𣅅 lúc nãy · 欺𣅅 khi nãy	
腩	nạm	𬖾腩 phở nạm [摱]	
錜	nạm	錜鐄 nạm vàng	
𥸁	nan	𥸁𥯌 nan tre	
儺	nán	儺徠 nán lại · 𡎦儺添 ngồi nán thȇ m	
赧	nấn	赧哪 nấn ná	
嫨	nần	𧴱嫨 nợ nần	
𣡤	nạng	𢶢𣡤 chống nạng · 𣡤𢬣𣡤蹎 nạng tay nạng chân	
㑷	nằng	㑷喏 nằng nặc [𠸨]	
饢	nấng	𩝺饢 nuôi nấng [𠸨]	
𧰗	nành	豆𧰗 đậu nành	
㝹	nao	㝹農 nao núng [𠸨] · 𠷀㝹 nôn nao	
鬧	NÁO	鬧動 náo động · 鬧熱 náo nhiệt · 鬧𠽋 náo nức	
鐃	nạo	鐃鈸 nạo bạt · 𣘃鐃擒窒𢡠𢬣 cây nạo cầm rất chắc tay · 鐃𣛭𣛭 nạo đu đủ	
𩄵	nấp	隱𩄵 ẩn nấp	
汭	nập	漝汭 tấp nập	
𢟹	nẩu		⇔ 耨𧘇 nậu ấy
𢟹	nẫu		⇔ 𢟹 nẩu
𤊲	nẫu	𤇪𤊲 chín nẫu · 𤊲𤎐 nẫu nực · 𤊲㑚 nẫu nà	
耨	nậu	頭耨 đầu nậu · 襖耨 áo nậu	
𦕗	nẻ	㘿𦕗 nứt nẻ	
柅	nê	𣘃柅 cây nê	
泥	NỆ	拘泥 câu nệ	
泥	nệ	憩泥 khệ nệ	
逽	nêch		𡨸尼主要得使用抵翻音、䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm, xem Phụ Lục.
𨡯	nêm	𨡯羹 nêm canh · 𩻐𨡯 mắm nêm	
𣑻	nêm	㨂𣑻 đóng nêm · 𣑻𢱝 nêm chốt · 𬘋如 𣑻 chặt như nêm	
𫫞	nếm	𫫞𱱇 nếm trải · 㑲荄𫫞𦟽 nằm gai nếm mật	
𧛋	nệm	㑲𧛋 nằm nệm · 𧛋唏 nệm hơi	
搌	nén	拵搌 dồn nén	
𦮴	nén	榘𦮴 củ nén · 𦮴鐄 nén vàng · 𦮴香 nén hương	
𨫀	nén	𠬠𨫀 một nén	單位𢵋 đơn vị đo
𪰟	nến	𣘃𪰟 cây nến · 畑𪰟 đèn nến · 紙𪰟 giấy nến	
𢬧	nện	𢬧𡐙 nện đất · 𢬧𡲫 nện vải · 𢬧劕 nện chặt · 𢬧朱𠬠丐 nện cho một cái	
儜	nênh		𡨸尼主要得使用抵翻音、䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm, xem Phụ Lục.
釖	neo	㖼釖 mỏ neo · 釖逗 neo đậu · 抯釖 thả neo	
𡑩	nẻo	𨷯𡑩 cửa nẻo · 𡑩塘 nẻo đường · 𡑩賒 nẻo xa · 每𠊛𠬠𡑩 mỗi người một nẻo	
㨥	nép	𢬱㨥 khép nép · 㨥𬺗 nép xuống	
𠹑	nẹt	𠴓𠹑 đe nẹt	
𢟗	nết	𢟗那 nết na · 仄𢟗 trắc nết · 性𢟗 tính nết	
𪡇	nỉ	𪡇嫩 nỉ non · 奈𪡇 nài nỉ · 𡅧𪡇 năn nỉ · 襖𪡇 áo nỉ [摱] · 𥶄𪡇 nón nỉ [摱]	
𪡇	nì	𡅧𪡇 nằn nì	⇔ 𪡇 nỉ
鈮	nĩa	用鈮劅𪿙 dùng nĩa xúc vôi	
𡀡	ních	𠴐𡀡 núc ních · 𬘋𡀡 chặt ních	
𦉗	niêu	鈉𦉗 nồi niêu · 𩚵𦉗 cơm niêu	
尿	NIỆU	尿道 niệu đạo	
𠲃	nín	𠲃𣼽 nín lặng	
𥷨	níp	𣗿𥷨 tủ níp	
𦄇	nịt	絏𦄇 dây nịt · 抳𦄇 nai nịt	
𫼩	níu	𫼩捁 níu kéo	
溺	nịu	㕴溺 nũng nịu	
弩	nỏ	𢹿弩 lẫy nỏ · 弩別 nỏ biết · 弩得 nỏ được	
𬊨	nỏ	𤇨𬊨 phơi nỏ · 𬊨𠵘 nỏ mồm	
𦀨	nơ	丐𦀨 cái nơ · 𦀨𧊉 nơ bướm	
𡝖	nỡ	𡝖芇 nỡ nào	
𧂭	nóc	𧂭茹 nóc nhà · 𣔻自𧂭𣔻𬺗 dột từ nóc dột xuống	
𩽖	nóc	𩵜𩽖 cá nóc	
𣕬	nọc	㨂𣕬 đóng nọc	
蝳	nọc	蝳毒 nọc độc · 蝳𧋻 nọc rắn · 𧓅蝳 nòng nọc [𠸨]	
𡄍	nốc	𡄍𨡕 nốc bia · 𡄍𨢇 nốc rượu · 隻𡄍 chiếc nốc	
𨁡	noi	𨁡蹺 noi theo · 𨁡𦎛 noi gương	
㐻	nòi	㐻𥞖 nòi giống	
𣊌	nôi	𣌝𣊌 nắng nôi [𠸨]	
𥱮	nôi	丐𥱮 cái nôi · 𧽠𥱮 thôi nôi	
摕	nới	摕挵 nới lỏng	
𥈶	nom	𥈶𧡊 nom thấy · 𢟙𥈶 chăm nom · 矓𥈶 trông nom · 𥈶蹺 nom theo	
喃	nôm	𡨸喃 chữ Nôm · 喃那 nôm na	
𩄑	nồm	𩙍𩄑 gió nồm · 𡗶𩄑 trời nồm	
䭃	nộm	䭃𧍇 nộm sứa · 䭃花荎 nộm hoa chuối	
𰑳	nơm	𰑳𢟕 nơm nớp [𠸨]	
䈒	nơm	䈒扒𩵜 nơm bắt cá	
𧀒	nõn	𧀒荎 nõn chuối · 𧀒㑚 nõn nà	
𠷀	nôn	𠷀嗎 nôn mửa · 𠷀㝹 nôn nao	
擃	nong	擃𩌂 nong giày · 擃飭 nong sức · 擃嗱 nong nả · 椌固擃鏡 khung có nong kính	
𥵛	nong	𥵛蠶 nong tằm · 丐𥵛 cái nong	
𧓅	nòng	𧓅蝳 nòng nọc [𠸨]	
𪇌	nông	𪀄𪁭𪇌 chim bồ nông	
𢟕	nớp	𰑳𢟕 nơm nớp [𠸨]	
𠯆	nự	拒𠯆 cự nự	
𥫭	nứa	𣘃𥫭 cây nứa	
𠴐	núc	𠴐𡀡 núc ních	
𤎐	nực	𤎏𤎐 nóng nực · 𤎐唭 nực cười	
埝	núm	埝𡑵 núm vung · 埝斤 núm cân · 𨆃埝 khúm núm	
蕽	nùn	蕽稴 nùn rơm	
憹	núng	㝹憹 nao núng [𠸨]	
憹	nùng	惱憹 não nùng	
儂	nùng	𠊛儂 người Nùng	
㕴	nũng	𫜵㕴 làm nũng · 㕴溺 nũng nịu · 𡥵㕴媄 con nũng mẹ	
湳	nườm	湳𣻀 nườm nượp [𠸨]	
䁸	nuông	䁸朝 nuông chiều	
𢭗	nương	𢭗𨉟𠓨𧦕 nương mình vào ghế	
𣻀	nượp	湳𣻀 nườm nượp [𠸨]	
𦄠	nuột	𦄠㑚 nuột nà · 惱𦄠 não nuột [𠸨]	
𥧩	núp	𥧩𨉟 núp mình · 𥧩𣈖 núp bóng	
紐	NỮU	紐約 Nữu Ước	
莪	nga	𦹯莪 cỏ nga	
鱳	ngác	𩵜鱳 cá ngác	
㗁	ngạc	㗁𦙥 ngạc họng	
腭	NGẠC	腭化 ngạc hóa	
鱷	NGẠC	鯨鱷 kình ngạc	
𥔲	ngắc	𥔲迯 ngắc ngoải · 𥔲語 ngắc ngứ · 㑋𥔲 ngúc ngắc	
𡿃	ngách	逧𡿃 ngóc ngách · 𡉦𡿃 ngõ ngách	
𠊎	ngái	𠊛𠊎 người Ngái	
𠵨	ngáy	𠵨哺哺 ngáy pho pho	
𦡡	ngậy	脿𦡡 béo ngậy	
黔	ngăm	黔黔黰 ngăm ngăm đen	
吟	ngâm	吟哦 ngâm nga · 吟詩 ngâm thơ · 吟詠 ngâm vịnh	
汵	ngâm	茄汵𩻐 cà ngâm mắm · 汵𩵽 ngâm tôm	
𪃛	ngan	𪃛𪄌 ngan ngỗng	
𩜽	ngán	嗷𩜽 ngao ngán · 𢥇𩜽 chán ngán · 𩜽儼 ngán ngẩm [𠸨]	
岸	NGẠN	右岸 hữu ngạn · 左岸 tả ngạn	
諺	NGẠN	諺語 ngạn ngữ	
𠵫	ngàng	𢣸𠵫 ngỡ ngàng	
樈	ngạnh	怏樈 ương ngạnh · 箭固樈 tȇ n có ngạnh · 樈𩵜𩵾 ngạnh cá trȇ 	
𩺿	ngạnh	𩵜𩺿 cá ngạnh	
嗷	ngao	嘵嗷 nghêu ngao · 喝嗷 hát ngao	
獒	NGAO	㹥獒 chó ngao	
遨	NGAO	遨遊 ngao du	
螯	ngao	𡥵螯 con ngao	
獓	ngáo	𡥵獓 con ngáo · 獓𧋾 ngáo ộp · 忤獓 ngổ ngáo · 獓𥒥 ngáo đá	
𬳜	ngát	八𬳜 bát ngát · 𦹳𬳜 thơm ngát · 𬳜香 ngát hương · 𩂁𬳜 ngút ngát	
𠖯	ngắt	𦻳𠖯 tím ngắt · 冷𠖯 lạnh ngắt	
𢪰	ngắt	𢪰𠳒 ngắt lời  · 𢪰葻花 ngắt bông hoa	
𢪰	lắt	𢪰花 lắt hoa	⇔ 𢪰 ngắt
𣿃	ngấu	𩻐𣿃 mắm ngấu · 𣿃哯 ngấu nghiến	
湡	ngầu	濁湡 đục ngầu · 矓窒湡 trông rất ngầu	
𠿄	ngậu	𠿄𬽾 ngậu xị	
犠（𤚇）	nghé	𡥵犠 con nghé	
𠊙	nghè	翁𠊙 ông nghè · 𠊙𥾘 nghè sợi	
𤈝	nghẹ	𤮗𤈝 lọ nghẹ	
倪	NGHÊ	𣱆倪 họ Nghê · 悞倪 ngô nghê [𠸨] · 𥄬倪 ngủ nghê [𠸨]	
猊	NGHÊ	狻猊 toan nghê · 𡥵猊 con nghê	
鯢	NGHÊ	鯨鯢 kình nghê	
𢣂（𢣂󠄁）	nghễ	傲𢣂 ngạo nghễ	
𥉥	nghếch	呆𥉥 ngốc nghếch	
𪭄	nghệch	𩈘𪭄 mặt nghệch · 㘈𪭄 ngờ nghệch · 𪭄愕 nghệch ngạc [𠸨]	
噖	nghem		𡨸尼主要得使用抵翻音、䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm, xem Phụ Lục.
垷	nghẽn	塞垷 tắc nghẽn	
𢌎	nghẹt	𢌎咀 nghẹt thở	
嘵	nghêu	嘵嗷 nghêu ngao	
嘵	nhéo	叫嘵嘵 kêu nheo nhéo	
蟯	nghêu	𡥵蟯 con nghêu	
蟯	ngoèo	蚖蟯 ngoằn ngoèo [𠸨]	
𥪯	nghễu	𥪯喭 nghễu nghện [𠸨]	
𥊘	nghía	𥋴𥊘 ngắm nghía	
儼	NGHIỄM	儼然 nghiễm nhiên	
儼	ngẩm	心儼 tâm ngẩm · 𩜽儼 ngán ngẩm [𠸨]	
哯	nghiến	哯𪘵 nghiến răng · 𣿃哯 ngấu nghiến · 𠸂哯 nuốt nghiến	
㘙	nghỉm	沉㘙 chìm nghỉm · 𤎕㘙 tắt nghĩm	
頸	nghĩnh	唔頸 ngộ nghĩnh [𠸨]	
𠑦	nghịt	𠑦𪖫 nghịt mũi · 黰𠑦 đen nghịt · 佟𠑦 đông nghịt · 𠦳𠑦 nghìn nghịt [摱]	
憢	nghỉu	鐎憢 tiu nghỉu	
𢫸	ngo	𢫸㧪 ngo ngoe	
藕	ngó	藕蓮 ngó sen · 藕𧃷 ngó khoai	
𥄭	ngó	𥄭𧡊 ngó thấy · 𥄭𠶐 ngó nghiêng · 𥄭 𨀑 ngó ngoáy [𠸨]	
茣	ngò	蔞茣 rau ngò	
忤	NGỖ	忤逆 ngỗ nghịch · 忤逆 ngỗ ngược	
忤	ngổ	忤獓 ngổ ngáo	
𦬶	ngổ	蔞𦬶 rau ngổ	
訛	ngoa	吶訛 nói ngoa · 刁訛 điêu ngoa	
鈺	ngoắc	鈺𢬣 ngoắc tay	
𢫛	ngoặc	𨁪𢫛夾 dấu ngoặc kép	
𠱓	ngoai	𢢯𠱓 nguôi ngoai [𠸨]	
迯	ngoải	𥔲迯 ngắc ngoải	
𨀑	ngoáy	𨀑脽 ngoáy đuôi · 𥄭𨀑 ngó ngoáy [𠸨]	
𠶃	ngoạm	𠶃𥙩 ngoạm lấy · 㹥𠶃𩩫 chó ngoạm xương	
蚖	ngoằn	蚖蟯 ngoằn ngoèo [𠸨]	
𥋓	ngoảnh	𥋓徠 ngoảnh lại · 𥋓𩈘 ngoảnh mặt	
逧	ngóc	逧𡿃 ngóc ngách · 逧頭 ngóc đầu	
㧪	ngoe	㧪𭡏 ngoe nguẩy · 𢫸㧪 ngo ngoe · 㧪脽 ngoe đuôi	
㳉	ngoét	㐳㳉 ngót ngoét	
𢶼	ngoi	𢶼𠲺 ngoi ngóp · 𢶼𧻭 ngoi dậy	
𤬪	ngói	坧𤬪 gạch ngói	
𩿺	ngói	𪀄𩿺 chim ngói	
𤼔	ngợm	𠊛𤼔 người ngợm · 逆𤼔 nghịch ngợm	
𪐬	ngòn	黰𪐬 đen ngòn · 𧹻𪐬 đỏ ngòn · 𪐬𤮾 ngòn ngọt · 𪐬𦙴 ngòn chỏ	
𠽓	ngốn	𠽓𣿃 ngốn ngấu [𠸨]	
𡅑	ngọng	吶𡅑 nói ngọng · 𡅑𡅑𪶋 ngọng nghịu [𠸨]	
顒	ngông	顒狂 ngông cuồng	
𪄌	ngỗng	𪃛𪄌 ngan ngỗng	
𠲺	ngóp	𢶼𠲺 ngoi ngóp	
𢚼	ngợp	𤶜𢚼 choáng ngợp · 𢚼𡗶 ngợp trời	
㐳	ngót	㐳㳉 ngót ngoét · 𠨡㐳 trứng ngót · 㐳 𠬠世紀 ngót một thế kỷ	
𦬂	ngót	𫈨𦬂 ráy ngót · 蔞𦬂 rau ngót	
𠯪	ngớt	𠯪𢚷 ngớt giận · 𠯪𩄎 ngớt mưa	
魚	NGƯ	鮑魚 bào ngư	
𣊘	ngừ	垠𣊘 ngần ngừ	
俉	ngữ	俉𧘇𫜵咹之得 ngữ ấy làm ăn gì được	
敔	ngữ	咹消固敔 ăn tiêu có ngữ	
𤻭	ngứa	𤻭𠵨 ngứa ngáy [𠸨] · 𤻭蹎 ngứa chân · 𤻭藝 ngứa nghề	
𭡏	nguây	𭡏𭡏 nguây nguẩy	
𭡏	nguẩy	𭡏𭡏 nguây nguẩy · 𭡏頭辭挃 nguẩy đầu từ chối	
𠰻	nguậy	午𠰻 ngọ nguậy [𠸨]	
㑋	ngúc	㑋𥔲 ngúc ngắc	
哎	ngủi	𠦯哎 ngắn ngủi [𠸨]	
𠿯	ngùi	唅𠿯 ngậm ngùi · 𠿯𠿯 ngùi ngùi	
𬹯	ngửi	𬹯𧡊 ngửi thấy · 𭊪𬹯 hít ngửi · 𬹯苿 ngửi mùi	
魏	NGUỴ	阿魏 a nguỵ · 𣱆魏 họ Nguỵ	
月	NGUYỆT	彈月 đàn nguyệt · 月報 nguyệt báo · 月食 nguyệt thực · 經月 kinh nguyệt	
喁	ngụm	𠬠喁渃 một ngụm nước	
𤍉	ngùn	𤍉𤈡 ngùn ngụt	
㥥	ngùng	懝㥥 ngại ngùng	
𥈴	ngước	𥈴眜 ngước mắt · 𥈴𬨠 ngước lên	
𢢯	nguôi	𢢯𠱓 nguôi ngoai [𠸨] · 𢢯𢚷 nguôi giận	
𪸟	nguội	𪸟冷 nguội lạnh · 𩚵𪸟 cơm nguội · 𠏲 𪸟 thợ nguội	
𢗾	ngượng	𢗾㥥 ngượng ngùng · 𢗾汲 ngượng ngập · 𢗾𢗾𪶋 ngượng nghịu [𠸨]	
𩓛	ngụp	𩓛𬺗 ngụp xuống	
𩂁	ngút	𡶀高𩂁 núi cao ngút · 霓𩂁 nghi ngút	
𤈡	ngụt	𤍉𤈡 ngùn ngụt	
牛	NGƯU	牛郎 ngưu lang · 金牛 kim ngưu · 𣇟牛 sao ngưu	
𠰹	nhả	𠰹𠚢 nhả ra · 𠰹𩝇 nhả mồi · 𡂒𠰹 chớt nhả	
𤆹	nhá	𤆹濂 nhá nhem	
㦡	nhác	𭞣㦡 nhếch nhác · 𤂗㦡 nháo nhác · 𢙫㦡 nhớn nhác	
㦡	dác		⇔ 㦡 nhác
䁻	nhác	䁻𧡊 nhác thấy · 䁻矓 nhác trông	
啀	nhai	啀𩚵 nhai cơm	
涯	NHAI	天涯 thiên nhai · 生涯 sinh nhai	
𦲒	nhài	花𦲒 hoa nhài	
𦲒	lài		⇔ 𦲒 nhài
𠽬	nhại	𠽬徠 nhại lại · 𪀄𠽬 chim nhại · 濔𠽬 nhễ nhại · 𠽬𠳒𠊛恪 nhại lời người khác	
𥅘	nháy	𥅘眜 nháy mắt · 扖𥅘 nhấp nháy	
𮛢	nhạy	𮛢𤓩 nhạy bén · 𮛢感 nhạy cảm · 𮞊𮛢 nhanh nhạy	
徍	nhầy	徍濡 nhầy nhụa · 𠍣徍 bầy nhầy	
岩	NHAM	岩石 nham thạch · 岩險 nham hiểm	
𩜠	nham	咹𩜠 ăn nham · 糮𩜠 lam nham	
䚾	nhảm	信䚾 tin nhảm · 吶䚾 nói nhảm · 䚾𡭺 nhảm nhí	
𰪯	nhám	𰪯𢬣 nhàm tay · 𰪯𰪯 nham nhám [𠸨]	
𩸶	nhám	𩵜𩸶 cá nhám	
𠲏	nhắm	𠲏𨢇 nhắm rượu	
壬	NHÂM	壬申 Nhâm Thân · 壬辰 Nhâm Thìn	
𠿹	nhẩm	𡀫𠿹 lẩm nhẩm · 併𠿹 tính nhẩm	
𠰃	nhấm	齽𠰃 gặm nhấm	
閒	NHÀN	安閒 an nhàn · 閒暇 nhàn hạ · 清閒 thanh nhàn · 閒居 nhàn cư	
雁	NHẠN	𪀄雁 chim nhạn	
雁	nhàn		⇔ 雁 nhạn
絪	nhăn	絪繻 nhăn nhó [𠸨] · 絪𢬨 nhăn nhở ·絪䁱 nhăn nheo · 絪𢪭 nhăn nhúm	
絪	dăn		⇔ 絪 nhăn
㗴	nhằn	𣝀㗴 cằn nhằn [𠸨]	
𣼴	nhẵn	歇𣼴 hết nhẵn · 𣼴𣾶 nhẵn nhụi [𠸨] · 𣼴𩈘 nhẵn mặt · 𠫾𣼴塘 đi nhẵn đường	
𠽗	nhặn	雅𠽗 nhã nhặn [𠸨]	
仞	nhẩn	仞芽 nhẩn nha	
𠯄	nhẫn	自𧘇𠯄𫢩 từ ấy nhẫn nay	
爙	nhang	爙畑 nhang đèn	
𠲕	nhăng	掕𠲕 lăng nhăng	
嚷	nhằng	𠻱嚷 lằng nhằng [𠸨] · 入嚷 nhập nhằng [𠸨] · 二嚷 nhì nhằng [𠸨]	
𠯹	nhẵng	冗𠯹 nhũng nhẵng	
蠅	nhặng	𧋆蠅 ruồi nhặng · 蠅𬽾 nhặng xị · 𫜵蠅 𬨠 làm nhặng lên	
椩	nhành	椩𣘃 nhành cây · 㨢𫼛椩花 nâng niu nhành hoa	
拎	nhạnh	抇拎 nhặt nhạnh [𠸨]	
堯	nhao	吶堯堯 nói nhao nhao	
𤂗	nháo	八𤂗 bát nháo · 𤂗𤄮 nháo nhào · 𥇈𤂗 nhốn nháo	
𤂗	dáo		⇔ 𤂗 nháo
𤃤	nhão	𡐙𤃤 đất nhão · 𣠳𤃤 mềm nhão · 𤃤𥹽 nhão nhoét [𠸨]	
𠿱	nhạo	𠿱謗 nhạo báng · 𠶜𠿱 chế nhạo · 嘵𠿱 nhệu nhạo	
𡊠	nháp	紙𡊠 giấy nháp · 𣱿𡊠 nhớp nháp	
扖	nhấp	扖𠰘 nhấp miệng · 扖𥅘 nhấp nháy · 扖䠨 nhấp nhổm	
溂	nhạt	𥊚溂 mờ nhạt · 溂𥉹 nhạt nhoà	
𡥌	nhắt	𡥌𡥌 lắt nhắt · 𤝞𡥌 chuột nhắt	
𡥌	lắt	𤝞𡥌 chuột lắt	⇔ 𡥌 nhắt
抇	nhặt	𠹌抇𬘋𣖾 năng nhặt chặt bị	
橈	nhàu	𣘃橈 cây nhàu · 𬃻橈 trái nhàu	
𦈂	nhàu	𡲫𦈂 vải nhàu · 𦈂捏 nhàu nát · 𧧷𦈂 càu nhàu · 𦈂𦈂 nhàu nhàu	
洏	nhè	哭洏 khóc nhè · 洏𪥘󠄁𣈜 nhè cả ngày ·洏頭𦓡打 nhè đầu mà đánh	
濔	nhễ	濔𠽬 nhễ nhại	
𭞣	nhếch	𭞣㦡 nhếch nhác	
𣲹	nhèm	𠿳𣲹 lèm nhèm · 入𣲹 nhập nhèm	
𠇦	nhẹm	𡨺𠇦 giữ nhẹm · 掩𠇦 ém nhẹm	
蝒	nhện	𦁸蝒 mạng nhện  · 𡥵蝒 con nhện	
蝒	dện		⇔ 蝒 nhện
𤾱	nhênh	𤽸𤾱 trắng nhênh	
䁱	nheo	䁱眜 nheo mắt	
鱙	nheo	𩵜鱙 cá nheo	
蕘	nhèo	䕯蕘 bèo nhèo [𠸨]	
囁	nhép	𥼕囁 lép nhép	
叺	nhẹp	捷叺 tẹp nhẹp · 碮叺 đè nhẹp	
陧	nhét	陧𠓨 nhét vào · 抐陧 nhồi nhét	
𪷴	nhẹt	𠻼𪷴 nhậu nhẹt [𠸨]	
𡃺	nhệu	𡃺𠿱 nhệu nhạo	
𡭺	nhí	䈬𡭺 bồ nhí	
蹢	nhích	𨃽蹢 nhúc nhích	
𠲔	nhiếc	𠻵𠲔 mắng nhiếc	
繞	nhiễu	巾繞 khăn nhiễu	
𤢾	nhím	𡥵𤢾 con nhím	
𤢾	rím		⇔ 𤢾 nhím
𠽒	nhỉnh	𠽒欣 nhỉnh hơn · 𠽒𠽒 nhinh nhỉnh [𠸨]	
𠽒	nhinh		⇔ 𠽒 nhỉnh
𭉴	nhít	𡊻𭉴 lít nhít  [𠸨]	
皺	nhíu	皺𣮮 nhíu mày	
檽	nho	𣘃檽 cây nho	
繻	nhó	絪繻 nhăn nhó [𠸨]	
繻	deo		⇔ 繻 nhó
𬿕	nhoài	𤻻𬿕 mệt nhoài · 捕𬿕 bổ nhoài	
晄	nhoáng	豪晄 hào nhoáng	
𣋆	nhoạng	入𣋆 nhập nhoạng	
傉	nhóc	傉𡥵 nhóc con · 僶傉 thằng nhóc · 𠲔傉 nhiếc nhóc	
嘫	nhoẻn	嘫唭 nhoẻn cười	
𥹽	nhoét	𤃤𥹽 nhão nhoét [𠸨]	
𥹽	nhoẹt		⇔ 𥹽 nhoét
焳	nhói	𤴬焳 đau nhói	
𤻫	nhối	𤴵𤻫 nhức nhối [𠸨]	
抐	nhồi	抐陧 nhồi nhét · 抐𧖱 nhồi máu · 抐勃 nhồi bột	
𧐻	nhồi	𧎜𧐻 ốc nhồi	
𤷳	nhom	瘖𤷳 ốm nhom	
鈓	nhôm	鈉鈓 nồi nhôm [摱]	
䠨	nhổm	扖䠨 nhấp nhổm	
𨅄	nhón	𨅄𨃴 nhón gót · 𨅄蹎 nhón chân	
𫣑	nhổn	侖𫣑 lổn nhổn [𠸨]	
𥇈	nhốn	𪵅𥇈 lốn nhốn · 𥇈𤂗 nhốn nháo	
𢚴	nhơn	𢚴𢚴 nhơn nhơn	
𣼹	nhởn	𣼹洳 nhởn nhơ [𠸨]	
𢙫	nhớn	𢙫㦡 nhớn nhác	
𢙫	dớn		⇔ 𢙫 nhớn
𦠥	nhờn	脿𦠥 béo nhờn · 𢬣𦠥 tay nhờn · 輕𦠥 khinh nhờn · 𦠥𫇿 nhờn thuốc	
蛹	nhộng	蛹蠶 nhộng tằm	
蛹	dộng		⇔ 蛹 nhộng
𣱿	nhớp	𣱿𡊠 nhớp nháp	
踤	nhót	踤徠 nhót lại · 𬦮踤 nhảy nhót	
𣑵	nhót	𣘃𣑵 cây nhót · 果𣑵 quả nhót	
𤷿	nhọt	癰𤷿 ung nhọt · 𤺯𤷿 mụn nhọt	
𦝬	nhột	𦝬溂 nhột nhạt [𠸨]	
𣼸	nhớt	𣼸㦉 nhớt nhát [𠸨]	
濼	nhợt	䏧濼 da nhợt · 濼溂 nhợt nhạt · 濼濼 nhờn nhợt [𠸨]	
