# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

鬍	2363	4	單字	1986	1717	19
譏	2364	4	單字	3172	1842	19
穩	2365	4	單字	1151	2192	19
繡	2366	4	單字	2132	2216	19
簾	2367	4	單字	2456	2229	19
臘	2368	4	單字	2212	2280	19
鏈	2369	4	單字	2883	2290	19
龐	2370	4	單字	1939	2412	19
簷	2371	4	單字	3067	2594	19
羹	2372	4	單字	3434	/	19
勸	2373	4	單字	1767	659	20
嚴	2374	4	單字	672	1041	20
釋	2375	4	單字	987	1213	20
齡	2376	4	單字	1393	1534	20
鹹	2377	4	單字	2830	1730	20
癢	2378	4	單字	2817	2055	20
饒	2379	4	單字	2565	2165	20
籍	2380	4	單字	1349	2279	20
辮	2381	4	單字	3486	2291	20
馨	2382	4	單字	2283	2292	20
藻	2383	4	單字	2672	2443	20
嚷	2384	4	單字	2597	2456	20
藹	2385	4	單字	3189	2534	20
躁	2386	4	單字	2490	2747	20
繽	2387	4	單字	2922	/	20
蘆	2388	4	單字	2086	/	20
饑	2389	4	單字	3115	/	20
櫻	2390	4	單字	2684	1608	21
灌	2391	4	單字	1744	1716	21
譽	2392	4	單字	1613	1764	21
攝	2393	4	單字	1143	1893	21
闢	2394	4	單字	2232	1969	21
欄	2395	4	單字	1440	2176	21
鶯	2396	4	單字	2931	2191	21
蠟	2397	4	單字	2440	2332	21
懼	2398	4	單字	2178	2427	21
驅	2399	4	單字	1981	2591	21
巔	2400	4	單字	3235	2681	21
臟	2401	4	單字	1655	1102	22
髒	2402	4	單字	2149	1236	22
驕	2403	4	單字	2035	1790	22
攤	2404	4	單字	2080	1883	22
灑	2405	4	單字	1955	2099	22
疊	2406	4	單字	1772	2210	22
髓	2407	4	單字	2774	2646	22
顯	2408	4	單字	573	434	23
攪	2409	4	單字	2605	2021	23
鱗	2410	4	單字	2967	2265	23
靈	2411	4	單字	868	1003	24
鹽	2412	4	單字	1848	1057	24
矗	2413	4	單字	3322	2923	24
鑼	2414	4	單字	2444	2179	27
伐	2415	5	部件	1745	2372	6
禿	2416	5	部件	2652	1467	7
卸	2417	5	部件	2434	2784	8
肴	2418	5	部件	/	/	8
貞	2419	5	部件	2330	2581	9
豈	2420	5	部件	2124	2511	10
庸	2421	5	部件	2334	2590	11
欲	2422	5	部件	1492	2711	11
徵	2423	5	部件	1671	1093	15
遷	2424	5	部件	1484	1183	15
賤	2425	5	部件	2730	1932	15
蕭	2426	5	部件	1623	2758	17
霸	2427	5	部件	2034	1559	21
幻	2428	5	單字	1447	1520	4
丐	2429	5	單字	3359	2197	4
允	2430	5	單字	2048	2633	4
凹	2431	5	單字	2811	1507	5
凸	2432	5	單字	2288	1835	5
孕	2433	5	單字	2019	2200	5
宅	2434	5	單字	1828	1480	6
扣	2435	5	單字	1648	1498	6
污	2436	5	單字	1527	2079	6
劣	2437	5	單字	1923	2213	6
旭	2438	5	單字	3216	2678	6
屹	2439	5	單字	3176	/	6
役	2440	5	單字	1824	1358	7
伺	2441	5	單字	3088	1879	7
沃	2442	5	單字	2721	1905	7
劫	2443	5	單字	2171	1980	7
吟	2444	5	單字	2198	2059	7
妨	2445	5	單字	1944	2076	7
罕	2446	5	單字	2401	2078	7
址	2447	5	單字	1652	2220	7
忌	2448	5	單字	2010	2466	7
灼	2449	5	單字	2791	2574	7
庇	2450	5	單字	3164	2579	7
彷	2451	5	單字	2030	2639	7
吠	2452	5	單字	3287	2676	7
坊	2453	5	單字	2231	2679	7
沛	2454	5	單字	2734	2752	7
刨	2455	5	單字	3261	/	7
肺	2456	5	單字	1907	1413	8
押	2457	5	單字	2036	1636	8
氛	2458	5	單字	1771	1758	8
枕	2459	5	單字	2308	1860	8
屆	2460	5	單字	1139	1900	8
拆	2461	5	單字	1966	1984	8
肢	2462	5	單字	2260	2085	8
拓	2463	5	單字	1842	2163	8
券	2464	5	單字	1909	2302	8
拒	2465	5	單字	1719	2329	8
咒	2466	5	單字	2794	2353	8
刮	2467	5	單字	2350	2380	8
彼	2468	5	單字	1399	2431	8
咖	2469	5	單字	2228	2539	8
泛	2470	5	單字	1517	2583	8
拙	2471	5	單字	2799	2606	8
弧	2472	5	單字	2755	2634	8
陀	2473	5	單字	2725	2715	8
彿	2474	5	單字	1688	2764	8
呻	2475	5	單字	3159	2806	8
拂	2476	5	單字	2727	2825	8
秉	2477	5	單字	2617	2826	8
侈	2478	5	單字	3098	2907	8
咀	2479	5	單字	2753	2922	8
冽	2480	5	單字	3343	/	8
律	2481	5	單字	805	142	9
侵	2482	5	單字	1380	1319	9
軌	2483	5	單字	1862	1380	9
赴	2484	5	單字	1894	1869	9
胎	2485	5	單字	1931	1922	9
茄	2486	5	單字	2295	2146	9
垮	2487	5	單字	2790	2167	9
契	2488	5	單字	2169	2172	9
侮	2489	5	單字	2820	2379	9
侶	2490	5	單字	2532	2447	9
徊	2491	5	單字	2984	2469	9
垢	2492	5	單字	3084	2513	9
姻	2493	5	單字	1903	2515	9
陋	2494	5	單字	2738	2541	9
俏	2495	5	單字	2971	2544	9
疫	2496	5	單字	2120	2545	9
拯	2497	5	單字	2792	2568	9
姦	2498	5	單字	3131	2582	9
洶	2499	5	單字	2712	2610	9
疤	2500	5	單字	3500	2650	9
怠	2501	5	單字	2954	2685	9
冠	2502	5	單字	1275	2699	9
衍	2503	5	單字	2390	2734	9
咳	2504	5	單字	2426	2791	9
砌	2505	5	單字	2713	2828	9
恤	2506	5	單字	3055	2891	9
恬	2507	5	單字	3410	2921	9
拭	2508	5	單字	2862	/	9
檯	2509	5	單字	/	/	9
宰	2510	5	單字	2714	1179	10
倫	2511	5	單字	1003	1320	10
紐	2512	5	單字	1808	1331	10
凋	2513	5	單字	3042	1472	10
茫	2514	5	單字	1812	1485	10
晉	2515	5	單字	2094	1519	10
晃	2516	5	單字	1941	1801	10
涕	2517	5	單字	3351	1894	10
恥	2518	5	單字	2214	1895	10
框	2519	5	單字	2151	2017	10
埃	2520	5	單字	1757	2058	10
冤	2521	5	單字	2608	2130	10
俯	2522	5	單字	2384	2253	10
狽	2523	5	單字	3739	2275	10
袍	2524	5	單字	2696	2312	10
辱	2525	5	單字	2182	2336	10
恕	2526	5	單字	2639	2364	10
耽	2527	5	單字	2966	2426	10
捆	2528	5	單字	3252	2555	10
耿	2529	5	單字	2750	2556	10
荊	2530	5	單字	2462	2580	10
祟	2531	5	單字	3348	2655	10
倘	2532	5	單字	2473	2691	10
眩	2533	5	單字	3099	2772	10
殷	2534	5	單字	2364	2776	10
倚	2535	5	單字	2649	2787	10
凌	2536	5	單字	1897	/	10
域	2537	5	單字	1107	1246	11
桿	2538	5	單字	2125	1399	11
逛	2539	5	單字	2117	1496	11
售	2540	5	單字	1217	1533	11
混	2541	5	單字	1206	1904	11
捷	2542	5	單字	1844	1940	11
覓	2543	5	單字	2336	1988	11
戚	2544	5	單字	2344	2121	11
眶	2545	5	單字	2763	2149	11
偵	2546	5	單字	1994	2194	11
屠	2547	5	單字	2599	2214	11
崖	2548	5	單字	2277	2228	11
兜	2549	5	單字	2731	2294	11
紳	2550	5	單字	3137	2313	11
豚	2551	5	單字	2695	2351	11
逝	2552	5	單字	1924	2390	11
偎	2553	5	單字	3244	2440	11
徘	2554	5	單字	3041	2463	11
掘	2555	5	單字	2143	2476	11
袱	2556	5	單字	2815	2494	11
梢	2557	5	單字	2886	2517	11
訝	2558	5	單字	2360	2527	11
淫	2559	5	單字	2930	2536	11
絆	2560	5	單字	3254	2573	11
冕	2561	5	單字	3211	2608	11
屜	2562	5	單字	3267	2637	11
趾	2563	5	單字	3497	2638	11
淵	2564	5	單字	2502	2652	11
惕	2565	5	單字	2889	2668	11
莽	2566	5	單字	3175	2677	11
掙	2567	5	單字	2127	2722	11
悽	2568	5	單字	3015	2723	11
措	2569	5	單字	1426	2731	11
眺	2570	5	單字	2853	2742	11
啡	2571	5	單字	2241	2746	11
掠	2572	5	單字	2469	2753	11
悼	2573	5	單字	3188	2755	11
徙	2574	5	單字	3113	2781	11
奢	2575	5	單字	2548	2790	11
婉	2576	5	單字	2413	2821	11
匿	2577	5	單字	3039	2851	11
淤	2578	5	單字	3269	2879	11
淆	2579	5	單字	3133	/	11
痊	2580	5	單字	3745	/	11
殘	2581	5	單字	1350	1308	12
款	2582	5	單字	949	1360	12
援	2583	5	單字	1513	1381	12
敦	2584	5	單字	1539	1405	12
菊	2585	5	單字	2393	1617	12
廁	2586	5	單字	2307	1727	12
喪	2587	5	單字	1697	1987	12
揉	2588	5	單字	2802	2003	12
棗	2589	5	單字	2846	2010	12
渺	2590	5	單字	2896	2026	12
棍	2591	5	單字	2547	2063	12
棟	2592	5	單字	2409	2286	12
惑	2593	5	單字	1901	2304	12
稍	2594	5	單字	1516	2314	12
焚	2595	5	單字	2698	2320	12
筏	2596	5	單字	3341	2430	12
逮	2597	5	單字	2585	2464	12
萍	2598	5	單字	2648	2473	12
貿	2599	5	單字	1716	2514	12
慨	2600	5	單字	2108	2554	12
凱	2601	5	單字	1961	2622	12
粥	2602	5	單字	3319	2631	12
菲	2603	5	單字	1620	2670	12
猶	2604	5	單字	1641	2688	12
晰	2605	5	單字	2419	2706	12
循	2606	5	單字	1560	2740	12
貸	2607	5	單字	1990	2748	12
湃	2608	5	單字	3587	2860	12
絢	2609	5	單字	3390	2918	12
琢	2610	5	單字	2974	/	12
腔	2611	5	單字	1878	/	12
腸	2612	5	單字	1702	943	13
概	2613	5	單字	980	1194	13
損	2614	5	單字	1145	1247	13
督	2615	5	單字	1293	1270	13
塗	2616	5	單字	1687	1664	13
頌	2617	5	單字	2361	1946	13
馳	2618	5	單字	2175	2019	13
盟	2619	5	單字	1630	2036	13
睦	2620	5	單字	3086	2091	13
聘	2621	5	單字	2049	2092	13
搗	2622	5	單字	3108	2120	13
腫	2623	5	單字	2468	2139	13
瑟	2624	5	單字	2405	2155	13
溢	2625	5	單字	2338	2173	13
碑	2626	5	單字	2076	2246	13
暉	2627	5	單字	2978	2254	13
痰	2628	5	單字	2902	2377	13
鼎	2629	5	單字	2203	2439	13
慎	2630	5	單字	1918	2472	13
禽	2631	5	單字	2485	2485	13
傭	2632	5	單字	2545	2503	13
艇	2633	5	單字	2328	2519	13
詭	2634	5	單字	3070	2521	13
煌	2635	5	單字	2386	2572	13
煥	2636	5	單字	2454	2605	13
葛	2637	5	單字	2106	2619	13
煞	2638	5	單字	2544	2632	13
搏	2639	5	單字	2371	2643	13
葵	2640	5	單字	2995	2654	13
募	2641	5	單字	2554	2659	13
裸	2642	5	單字	2614	2660	13
嗅	2643	5	單字	2816	2671	13
匯	2644	5	單字	1392	2751	13
滄	2645	5	單字	2912	2766	13
粵	2646	5	單字	3371	2833	13
閘	2647	5	單字	3002	2888	13
睹	2648	5	單字	2451	/	13
裔	2649	5	單字	2805	/	13
賄	2650	5	單字	3004	/	13
賂	2651	5	單字	3472	/	13
罰	2652	5	單字	1643	1145	14
輔	2653	5	單字	1548	1333	14
僑	2654	5	單字	2299	1396	14
構	2655	5	單字	630	1397	14
誤	2656	5	單字	1068	1451	14
漠	2657	5	單字	1684	1538	14
寢	2658	5	單字	2973	1558	14
綜	2659	5	單字	1621	1739	14
熄	2660	5	單字	2679	1820	14
瞄	2661	5	單字	2779	1892	14
鄙	2662	5	單字	3044	2045	14
蒜	2663	5	單字	3050	2064	14
誌	2664	5	單字	2150	2071	14
豪	2665	5	單字	1449	2230	14
僱	2666	5	單字	2655	2319	14
弊	2667	5	單字	2306	2323	14
遣	2668	5	單字	2311	2335	14
辣	2669	5	單字	2122	2350	14
雌	2670	5	單字	2758	2433	14
摺	2671	5	單字	2870	2442	14
綽	2672	5	單字	3144	2453	14
慷	2673	5	單字	2988	2523	14
碩	2674	5	單字	2210	2528	14
滲	2675	5	單字	2205	2630	14
裹	2676	5	單字	2453	2687	14
嗽	2677	5	單字	3147	2812	14
漬	2678	5	單字	3377	2877	14
漓	2679	5	單字	2925	2904	14
綻	2680	5	單字	2646	/	14
價	2681	5	單字	512	636	15
歐	2682	5	單字	837	1143	15
墜	2683	5	單字	2433	1479	15
賜	2684	5	單字	2442	1549	15
撕	2685	5	單字	2535	1829	15
醋	2686	5	單字	3096	1840	15
撐	2687	5	單字	1935	1924	15
撫	2688	5	單字	1948	2035	15
凜	2689	5	單字	2744	2093	15
瞌	2690	5	單字	3439	2096	15
澎	2691	5	單字	2812	2133	15
撮	2692	5	單字	3072	2322	15
駝	2693	5	單字	2733	2358	15
褪	2694	5	單字	3140	2366	15
樑	2695	5	單字	3049	2461	15
潰	2696	5	單字	2549	2477	15
緻	2697	5	單字	1759	2497	15
緞	2698	5	單字	3260	2499	15
魄	2699	5	單字	2507	2552	15
撤	2700	5	單字	2229	2562	15
憫	2701	5	單字	3425	2575	15
賬	2702	5	單字	2977	2598	15
慾	2703	5	單字	2179	2604	15
僻	2704	5	單字	2895	2611	15
瑩	2705	5	單字	2537	2625	15
膜	2706	5	單字	1910	2628	15
暮	2707	5	單字	2720	2636	15
緬	2708	5	單字	3238	2680	15
締	2709	5	單字	2955	2693	15
僵	2710	5	單字	2591	2704	15
褒	2711	5	單字	/	2724	15
樁	2712	5	單字	2383	2743	15
醇	2713	5	單字	2754	2769	15
摯	2714	5	單字	2757	2773	15
蔽	2715	5	單字	2875	2853	15
墮	2716	5	單字	2948	2913	15
幢	2717	5	單字	2556	/	15
磊	2718	5	單字	3125	/	15
錶	2719	5	單字	2192	1432	16
篩	2720	5	單字	2897	1952	16
隧	2721	5	單字	2621	1961	16
頰	2722	5	單字	2834	2002	16
擇	2723	5	單字	994	2032	16
艙	2724	5	單字	3114	2298	16
諷	2725	5	單字	2623	2339	16
瞞	2726	5	單字	2849	2346	16
辨	2727	5	單字	1704	2452	16
禦	2728	5	單字	2633	2525	16
樸	2729	5	單字	2059	2526	16
頹	2730	5	單字	3025	2529	16
噪	2731	5	單字	2356	2588	16
膨	2732	5	單字	2204	2596	16
壇	2733	5	單字	1856	2648	16
駱	2734	5	單字	2663	2692	16
懈	2735	5	單字	2604	2701	16
踴	2736	5	單字	3678	2737	16
諧	2737	5	單字	2476	2739	16
澤	2738	5	單字	1310	2762	16
踱	2739	5	單字	3388	2780	16
憾	2740	5	單字	2347	2814	16
撼	2741	5	單字	2857	2863	16
熾	2742	5	單字	3166	2890	16
憩	2743	5	單字	3364	2917	16
獲	2744	5	單字	619	1129	17
謠	2745	5	單字	2515	1787	17
齋	2746	5	單字	3297	1918	17
嚀	2747	5	單字	3068	2070	17
黏	2748	5	單字	2369	2098	17
療	2749	5	單字	1324	2108	17
闆	2750	5	單字	1607	2255	17
瞬	2751	5	單字	2421	2277	17
盪	2752	5	單字	2061	2362	17
螺	2753	5	單字	2158	2571	17
鍛	2754	5	單字	2441	2597	17
徽	2755	5	單字	2793	2664	17
澀	2756	5	單字	2946	2675	17
縱	2757	5	單字	1556	2683	17
濤	2758	5	單字	2101	2712	17
濫	2759	5	單字	2004	2749	17
隸	2760	5	單字	2798	2750	17
擱	2761	5	單字	2610	2763	17
縷	2762	5	單字	2806	2792	17
簇	2763	5	單字	2874	2889	17
輾	2764	5	單字	2953	/	17
覆	2765	5	單字	1331	1181	18
擴	2766	5	單字	1168	1275	18
壘	2767	5	單字	2437	1336	18
瀉	2768	5	單字	2715	2148	18
謹	2769	5	單字	2131	2333	18
蹤	2770	5	單字	1782	2347	18
濾	2771	5	單字	2704	2398	18
朦	2772	5	單字	3105	2535	18
翹	2773	5	單字	2786	2549	18
竅	2774	5	單字	3204	2612	18
鞦	2775	5	單字	3276	2641	18
檬	2776	5	單字	3129	2647	18
檸	2777	5	單字	3134	2684	18
襖	2778	5	單字	3110	2733	18
瀏	2779	5	單字	3033	2915	18
襟	2780	5	單字	2644	/	18
藝	2781	5	單字	486	1105	19
疆	2782	5	單字	2323	1372	19
辭	2783	5	單字	1425	1607	19
譜	2784	5	單字	1957	1697	19
贈	2785	5	單字	2028	1862	19
嚨	2786	5	單字	3149	2126	19
蹲	2787	5	單字	2341	2199	19
攀	2788	5	單字	2033	2262	19
礙	2789	5	單字	1637	2283	19
攏	2790	5	單字	2708	2369	19
爍	2791	5	單字	2927	2537	19
蘊	2792	5	單字	2461	2599	19
矇	2793	5	單字	3036	2616	19
曠	2794	5	單字	2868	2673	19
曝	2795	5	單字	2918	2741	19
壤	2796	5	單字	2031	41	20
艦	2797	5	單字	2455	55	20
議	2798	5	單字	380	1087	20
礦	2799	5	單字	1587	1096	20
譯	2800	5	單字	1689	1363	20
嚼	2801	5	單字	2513	1654	20
贏	2802	5	單字	1945	1919	20
懸	2803	5	單字	1810	2161	20
攔	2804	5	單字	2609	2374	20
騷	2805	5	單字	2372	2565	20
籌	2806	5	單字	1555	2624	20
魔	2807	5	單字	1544	1536	21
轟	2808	5	單字	1919	1818	21
纏	2809	5	單字	1952	2533	21
襯	2810	5	單字	2185	2546	21
蠢	2811	5	單字	2653	2570	21
朧	2812	5	單字	3083	2880	21
權	2813	5	單字	606	832	22
癮	2814	5	單字	2624	2564	22
襲	2815	5	單字	1790	2649	22
囊	2816	5	單字	2245	2797	22
鑄	2817	5	單字	2573	2819	22
竊	2818	5	單字	2357	2587	23
邏	2819	5	單字	2443	2736	23
壩	2820	5	單字	2692	2386	24
釀	2821	5	單字	2823	2578	24
韆	2822	5	單字	3195	2667	24
囑	2823	5	單字	2780	2732	24
籤	2824	5	單字	2177	1870	25
鑲	2825	5	單字	3076	2786	25
矚	2826	5	單字	2685	/	26
厄	2827	6	部件	3026	2850	4
弘	2828	6	單字	2752	2862	5
牟	2829	6	單字	3436	2813	6
刪	2830	6	單字	2771	2705	7
抒	2831	6	單字	2688	2789	7
吶	2832	6	單字	2947	2820	7
迅	2833	6	單字	1735	2842	7
扼	2834	6	單字	3290	2845	7
佐	2835	6	單字	2622	2859	7
抑	2836	6	單字	2000	2875	7
尬	2837	6	單字	3231	2912	7
抉	2838	6	單字	3174	/	7
盲	2839	6	單字	2110	1902	8
枉	2840	6	單字	2751	2097	8
沫	2841	6	單字	2449	2239	8
併	2842	6	單字	1599	2455	8
坤	2843	6	單字	2511	2702	8
歧	2844	6	單字	2389	2840	8
咎	2845	6	單字	3444	2886	8
沮	2846	6	單字	3165	2920	8
述	2847	6	單字	913	1417	9
茁	2848	6	單字	3214	1917	9
昧	2849	6	單字	2634	2561	9
洽	2850	6	單字	2189	2669	9
炫	2851	6	單字	2987	2754	9
苑	2852	6	單字	2865	2856	9
峙	2853	6	單字	3413	2867	9
挪	2854	6	單字	2674	31	10
匪	2855	6	單字	2611	373	10
俱	2856	6	單字	2062	1885	10
荐	2857	6	單字	3308	2040	10
烘	2858	6	單字	2546	2237	10
逆	2859	6	單字	1978	2247	10
栗	2860	6	單字	2563	2509	10
冥	2861	6	單字	2960	2518	10
倖	2862	6	單字	3117	2695	10
衷	2863	6	單字	2202	2720	10
悍	2864	6	單字	3218	2823	10
剔	2865	6	單字	2832	2839	10
虔	2866	6	單字	3020	2841	10
哮	2867	6	單字	3335	2849	10
脊	2868	6	單字	2362	2885	10
哽	2869	6	單字	3441	/	10
培	2870	6	單字	1240	1216	11
勒	2871	6	單字	1578	1975	11
涯	2872	6	單字	2135	2067	11
控	2873	6	單字	1152	2303	11
訣	2874	6	單字	2566	2361	11
紮	2875	6	單字	2188	2713	11
淪	2876	6	單字	2602	2744	11
眷	2877	6	單字	2864	2822	11
翌	2878	6	單字	3355	2874	11
捺	2879	6	單字	3421	2883	11
惚	2880	6	單字	3455	/	11
欺	2881	6	單字	1917	1489	12
焰	2882	6	單字	2841	1683	12
辜	2883	6	單字	2667	2256	12
堪	2884	6	單字	1801	2391	12
裕	2885	6	單字	1876	2558	12
惶	2886	6	單字	2589	2703	12
萌	2887	6	單字	2838	2708	12
勛	2888	6	單字	/	2738	12
唾	2889	6	單字	3255	2779	12
絞	2890	6	單字	3398	2795	12
棘	2891	6	單字	2531	2796	12
逸	2892	6	單字	2359	2816	12
椒	2893	6	單字	2822	2846	12
渠	2894	6	單字	2683	2848	12
愕	2895	6	單字	3139	2892	12
貶	2896	6	單字	2570	2899	12
湛	2897	6	單字	3109	2908	12
渲	2898	6	單字	3215	/	12
韌	2899	6	單字	2878	/	12
填	2900	6	單字	1054	1116	13
違	2901	6	單字	1631	1823	13
搓	2902	6	單字	2785	2663	13
暇	2903	6	單字	2847	2794	13
溯	2904	6	單字	2976	2855	13
甄	2905	6	單字	3001	2881	13
彙	2906	6	單字	2999	2882	13
逾	2907	6	單字	2901	2887	13
稠	2908	6	單字	3328	2902	13
菰	2909	6	單字	/	2924	13
銜	2910	6	單字	2512	2156	14
彰	2911	6	單字	2315	2198	14
酵	2912	6	單字	3210	2208	14
墊	2913	6	單字	2221	2258	14
銘	2914	6	單字	2068	2448	14
誘	2915	6	單字	2138	2505	14
撇	2916	6	單字	2921	2506	14
窪	2917	6	單字	3338	2635	14
嘔	2918	6	單字	2992	2696	14
頗	2919	6	單字	1626	2771	14
瑣	2920	6	單字	3141	2801	14
綺	2921	6	單字	2828	2804	14
熙	2922	6	單字	2907	2815	14
廓	2923	6	單字	3045	2818	14
僥	2924	6	單字	3484	2824	14
粹	2925	6	單字	2789	2834	14
駁	2926	6	單字	2630	2852	14
滯	2927	6	單字	2464	2871	14
竭	2928	6	單字	2439	2884	14
魁	2929	6	單字	2950	2894	14
嘈	2930	6	單字	3419	2895	14
寥	2931	6	單字	3350	2905	14
穀	2932	6	單字	2051	48	15
駐	2933	6	單字	1870	1437	15
緝	2934	6	單字	2938	2271	15
賦	2935	6	單字	2191	2689	15
魅	2936	6	單字	2459	2698	15
撓	2937	6	單字	3035	2767	15
履	2938	6	單字	2587	2838	15
蔓	2939	6	單字	2677	2844	15
瘡	2940	6	單字	3234	2847	15
撰	2941	6	單字	2466	2865	15
樞	2942	6	單字	2936	2878	15
撩	2943	6	單字	3424	2896	15
摹	2944	6	單字	3459	2901	15
遴	2945	6	單字	3228	/	15
墾	2946	6	單字	2703	1704	16
膩	2947	6	單字	2654	2393	16
儒	2948	6	單字	2324	2603	16
窺	2949	6	單字	3003	2785	16
豫	2950	6	單字	2494	2803	16
縛	2951	6	單字	3066	2835	16
諱	2952	6	單字	2795	2873	16
磚	2953	6	單字	2136	2911	16
噩	2954	6	單字	3399	/	16
購	2955	6	單字	1115	1214	17
薪	2956	6	單字	1887	1803	17
礁	2957	6	單字	2979	2189	17
瞭	2958	6	單字	2607	2403	17
檔	2959	6	單字	1850	2423	17
擬	2960	6	單字	1839	2658	17
彌	2961	6	單字	2220	2729	17
擎	2962	6	單字	2759	2802	17
瞰	2963	6	單字	3299	2864	17
尷	2964	6	單字	3313	2916	17
醬	2965	6	單字	2495	673	18
璧	2966	6	單字	2837	1945	18
濺	2967	6	單字	3118	2356	18
藉	2968	6	單字	1581	2465	18
竄	2969	6	單字	2809	2761	18
雛	2970	6	單字	2964	2854	18
謬	2971	6	單字	2866	2898	18
繚	2972	6	單字	3395	/	18
釐	2973	6	單字	2579	/	18
櫥	2974	6	單字	2745	2394	19
鏟	2975	6	單字	2885	2532	19
繭	2976	6	單字	3081	2783	19
懲	2977	6	單字	2446	2870	19
瀕	2978	6	單字	3321	2876	19
觸	2979	6	單字	1094	1088	20
黨	2980	6	單字	734	1261	20
瀟	2981	6	單字	2877	2395	20
齣	2982	6	單字	2522	2810	20
曦	2983	6	單字	3374	2909	20
攘	2984	6	單字	3278	/	20
攜	2985	6	單字	2092	1453	21
囂	2986	6	單字	3082	2726	21
黯	2987	6	單字	2959	2857	21
鬚	2988	6	單字	2276	2593	22
顫	2989	6	單字	2326	2830	22
鑒	2990	6	單字	2993	2869	22
戀	2991	6	單字	1683	2118	23
纖	2992	6	單字	1992	2700	23
驟	2993	6	單字	1987	2843	24
攬	2994	6	單字	2882	2900	24
蠻	2995	6	單字	2266	1685	25
顱	2996	6	單字	2819	2550	25
纜	2997	6	單字	3384	2800	27
鑿	2998	6	單字	2637	2566	28
鬱	2999	6	單字	2207	2510	29
籲	3000	6	單字	2216	2868	32
