# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

遠	486	1	單字	372	1001	14
像	487	1	單字	238	1023	14
誰	488	1	單字	617	9	15
課	489	1	單字	583	139	15
請	490	1	單字	346	404	15
蝶	491	1	單字	1902	957	15
蝴	492	1	單字	2484	1816	15
蝸	493	1	單字	3258	2269	15
鴨	494	1	單字	1682	90	16
樹	495	1	單字	462	150	16
燈	496	1	單字	711	191	16
錯	497	1	單字	657	278	16
學	498	1	單字	40	282	16
頭	499	1	單字	148	308	16
貓	500	1	單字	1396	549	16
點	501	1	單字	117	117	17
聲	502	1	單字	260	297	17
幫	503	1	單字	687	395	17
還	504	1	單字	85	619	17
雞	505	1	單字	985	258	18
邊	506	1	單字	292	526	19
讀	507	1	單字	413	501	22
歡	508	1	單字	382	531	22
亡	509	2	部件	1154	272	3
川	510	2	部件	1474	873	3
丈	511	2	部件	1526	1506	3
切	512	2	部件	472	174	4
分	513	2	部件	53	197	4
夫	514	2	部件	498	633	4
井	515	2	部件	1650	763	4
及	516	2	部件	170	1248	4
介	517	2	部件	827	1340	4
氏	518	2	部件	1423	1398	4
之	519	2	部件	61	1421	4
歹	520	2	部件	2427	1547	4
予	521	2	部件	1190	2318	4
巨	522	2	部件	991	128	5
台	523	2	部件	437	313	5
付	524	2	部件	959	336	5
市	525	2	部件	197	349	5
甘	526	2	部件	1221	469	5
句	527	2	部件	646	560	5
令	528	2	部件	492	844	5
失	529	2	部件	436	872	5
代	530	2	部件	167	936	5
本	531	2	部件	75	1030	5
史	532	2	部件	534	1047	5
必	533	2	部件	379	1126	5
乎	534	2	部件	683	1152	5
瓦	535	2	部件	1448	1157	5
永	536	2	部件	729	1187	5
奴	537	2	部件	2070	1278	5
召	538	2	部件	1444	1348	5
丙	539	2	部件	2187	2202	5
皿	540	2	部件	3128	2716	5
先	541	2	部件	213	149	6
全	542	2	部件	124	280	6
名	543	2	部件	169	475	6
臣	544	2	部件	1858	654	6
灰	545	2	部件	1187	691	6
如	546	2	部件	81	695	6
曲	547	2	部件	591	727	6
此	548	2	部件	163	811	6
充	549	2	部件	649	1036	6
列	550	2	部件	520	1220	6
式	551	2	部件	256	1310	6
舌	552	2	部件	1988	1515	6
旨	553	2	部件	2020	1728	6
舟	554	2	部件	2270	1817	6
利	555	2	部件	185	16	7
希	556	2	部件	455	735	7
角	557	2	部件	442	741	7
沙	558	2	部件	700	758	7
君	559	2	部件	1322	842	7
谷	560	2	部件	1274	911	7
求	561	2	部件	299	977	7
困	562	2	部件	852	1043	7
秀	563	2	部件	1076	1050	7
志	564	2	部件	785	1053	7
折	565	2	部件	1058	1067	7
束	566	2	部件	1047	1146	7
系	567	2	部件	508	1383	7
串	568	2	部件	1627	1430	7
呆	569	2	部件	1675	1682	7
呈	570	2	部件	1395	2221	7
辰	571	2	部件	2161	2242	7
旱	572	2	部件	2448	2434	7
廷	573	2	部件	2027	2548	7
夜	574	2	部件	576	70	8
表	575	2	部件	109	231	8
易	576	2	部件	448	288	8
府	577	2	部件	470	420	8
叔	578	2	部件	1486	555	8
育	579	2	部件	377	571	8
享	580	2	部件	1001	711	8
於	581	2	部件	56	780	8
奇	582	2	部件	585	786	8
居	583	2	部件	587	787	8
周	584	2	部件	559	848	8
受	585	2	部件	244	893	8
武	586	2	部件	727	904	8
尚	587	2	部件	998	970	8
非	588	2	部件	312	975	8
爭	589	2	部件	538	982	8
其	590	2	部件	119	1027	8
官	591	2	部件	595	1069	8
忽	592	2	部件	936	1085	8
取	593	2	部件	367	1094	8
並	594	2	部件	157	1231	8
亞	595	2	部件	537	1237	8
宗	596	2	部件	1116	1274	8
制	597	2	部件	389	1281	8
舍	598	2	部件	1635	1370	8
阿	599	2	部件	577	1404	8
炎	600	2	部件	1509	2020	8
岡	601	2	部件	2574	2244	8
卷	602	2	部件	1589	2295	8
宛	603	2	部件	2760	2728	8
卓	604	2	部件	1830	2777	8
便	605	2	部件	285	7	9
郎	606	2	部件	1375	35	9
軍	607	2	部件	425	82	9
勇	608	2	部件	1128	89	9
客	609	2	部件	493	162	9
為	610	2	部件	16	388	9
度	611	2	部件	150	551	9
建	612	2	部件	237	737	9
保	613	2	部件	258	773	9
革	614	2	部件	743	829	9
思	615	2	部件	329	836	9
既	616	2	部件	907	1122	9
拜	617	2	部件	1195	1193	9
查	618	2	部件	491	1234	9
段	619	2	部件	404	1287	9
巷	620	2	部件	2098	1470	9
垂	621	2	部件	1457	1848	9
扁	622	2	部件	2102	2467	9
卻	623	2	部件	325	2585	9
昭	624	2	部件	2540	2788	9
展	625	2	部件	221	26	10
唐	626	2	部件	1127	45	10
乘	627	2	部件	1029	199	10
島	628	2	部件	877	371	10
孫	629	2	部件	1112	376	10
留	630	2	部件	468	521	10
退	631	2	部件	858	564	10
射	632	2	部件	854	692	10
般	633	2	部件	623	719	10
差	634	2	部件	724	817	10
鬥	635	2	部件	1073	831	10
容	636	2	部件	334	865	10
疾	637	2	部件	1535	889	10
荒	638	2	部件	1441	937	10
骨	639	2	部件	855	1017	10
益	640	2	部件	767	1165	10
迷	641	2	部件	849	1468	10
鬼	642	2	部件	1251	1478	10
倉	643	2	部件	2159	2147	10
專	644	2	部件	485	229	11
產	645	2	部件	215	372	11
野	646	2	部件	796	518	11
族	647	2	部件	594	552	11
陰	648	2	部件	1192	606	11
區	649	2	部件	265	630	11
票	650	2	部件	728	657	11
張	651	2	部件	271	783	11
麥	652	2	部件	1196	1011	11
竟	653	2	部件	742	1072	11
莫	654	2	部件	1045	1444	11
鹿	655	2	部件	1933	1597	11
斬	656	2	部件	2588	1736	11
祭	657	2	部件	2037	1814	11
崩	658	2	部件	2317	2144	11
散	659	2	部件	873	24	12
鄉	660	2	部件	625	148	12
景	661	2	部件	564	393	12
隊	662	2	部件	569	425	12
勞	663	2	部件	686	440	12
量	664	2	部件	248	506	12
最	665	2	部件	96	610	12
華	666	2	部件	326	616	12
單	667	2	部件	319	736	12
敢	668	2	部件	977	740	12
然	669	2	部件	78	747	12
無	670	2	部件	146	969	12
曾	671	2	部件	510	1305	12
斯	672	2	部件	358	1389	12
焦	673	2	部件	1471	2087	12
湯	674	2	部件	1524	2100	12
番	675	2	部件	1359	2325	12
喬	676	2	部件	1892	2760	12
敞	677	2	部件	2723	/	12
萬	678	2	部件	242	254	13
農	679	2	部件	544	262	13
歲	680	2	部件	603	318	13
敬	681	2	部件	1135	396	13
當	682	2	部件	86	734	13
解	683	2	部件	229	1185	13
與	684	2	部件	87	1299	13
楚	685	2	部件	935	1322	13
嗇	686	2	部件	3428	2919	13
領	687	2	部件	474	656	14
齊	688	2	部件	1007	823	14
維	689	2	部件	618	1123	14
察	690	2	部件	628	1223	14
監	691	2	部件	1056	1341	14
厭	692	2	部件	1795	1656	14
樂	693	2	部件	225	85	15
養	694	2	部件	568	283	15
廣	695	2	部件	428	325	15
罷	696	2	部件	1693	1090	15
龍	697	2	部件	607	789	16
藏	698	2	部件	831	818	18
難	699	2	部件	283	18	19
離	700	2	部件	439	95	19
麗	701	2	部件	652	825	19
覺	702	2	部件	332	993	20
彎	703	2	部件	1506	744	22
互	704	2	單字	835	104	4
引	705	2	單字	458	903	4
匹	706	2	單字	1733	1621	4
仙	707	2	單字	1267	227	5
巧	708	2	單字	1144	346	5
卡	709	2	單字	754	493	5
另	710	2	單字	548	920	5
扔	711	2	單字	2430	1553	5
仔	712	2	單字	1103	2607	5
守	713	2	單字	857	201	6
份	714	2	單字	566	675	6
江	715	2	單字	682	722	6
忙	716	2	單字	794	979	6
池	717	2	單字	1268	1107	6
件	718	2	單字	328	1222	6
吐	719	2	單字	1563	1497	6
划	720	2	單字	1881	1531	6
尖	721	2	單字	1341	1974	6
吊	722	2	單字	1811	/	6
汽	723	2	單字	973	178	7
努	724	2	單字	909	182	7
肚	725	2	單字	1612	225	7
形	726	2	單字	217	305	7
社	727	2	單字	313	319	7
冷	728	2	單字	744	327	7
初	729	2	單字	662	397	7
材	730	2	單字	843	405	7
妙	731	2	單字	1242	550	7
究	732	2	單字	501	565	7
局	733	2	單字	466	599	7
伯	734	2	單字	932	607	7
作	735	2	單字	37	726	7
改	736	2	單字	289	756	7
決	737	2	單字	357	767	7
吸	738	2	單字	658	779	7
忘	739	2	單字	891	922	7
弄	740	2	單字	1207	1005	7
伸	741	2	單字	1173	1045	7
低	742	2	單字	523	1113	7
伴	743	2	單字	1089	1114	7
批	744	2	單字	1000	1191	7
技	745	2	單字	527	1267	7
沈	746	2	單字	1849	1343	7
佈	747	2	單字	1158	1350	7
序	748	2	單字	905	1410	7
杜	749	2	單字	1510	1422	7
吵	750	2	單字	1816	1460	7
李	751	2	單字	433	1663	7
汪	752	2	單字	2025	1898	7
杏	753	2	單字	2924	2204	7
卵	754	2	單字	2243	2300	7
杖	755	2	單字	2891	2522	7
典	756	2	單字	950	13	8
呼	757	2	單字	750	200	8
泡	758	2	單字	1317	234	8
注	759	2	單字	496	289	8
泥	760	2	單字	1075	364	8
忠	761	2	單字	1443	394	8
妹	762	2	單字	999	433	8
抬	763	2	單字	1488	437	8
始	764	2	單字	401	496	8
姑	765	2	單字	1271	523	8
季	766	2	單字	863	566	8
底	767	2	單字	502	572	8
油	768	2	單字	635	587	8
狀	769	2	單字	706	642	8
近	770	2	單字	284	680	8
些	771	2	單字	103	698	8
刻	772	2	單字	579	728	8
牧	773	2	單字	1541	774	8
使	774	2	單字	153	854	8
床	775	2	單字	/	918	8
沿	776	2	單字	1263	932	8
岸	777	2	單字	879	940	8
肥	778	2	單字	1153	954	8
