# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
瑟	săn	瑟瑟 săn sắt [𠸨]	⇔ 瑟 sắt
栗	sật	栗栗 sần sật [𠸨]	U+6817
栗	sần	栗栗 sần sật [𠸨]	⇔ 栗 sật
栗	sừn	栗栗 sừn sựt [𠸨]	⇔ 栗 sựt
栗	sựt	栗栗 sừn sựt [𠸨]	⇔ 栗 sật
㮴	sấu	𣘃㮴 cây sấu	[翻] U+3BB4
茌	sè	茌茌 sè sè · 𨐮茌 cay sè · 𭰪茌 sập sè [𠸨]	U+830C
茌	sê	侺茌 sum sê [𠸨]	
茌	xè	𭰪茌 xập xè [𠸨]	
茌	xuê	侺茌 xum xuê [𠸨]	⇔ 茌 sê
䐭	sệ	䏶䐭 bệ sệ	U+442D
䐭	xệ		⇔ 䐭 sệ
呎	séc	𬌓呎 tấm séc · 共和呎 Cộng hoà Séc	[翻] U+544E
呎	sếch		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻]
𤑯	sém	𪸔𤑯 cháy sém	[翻] U+2446F
㦃	sẻn	𠽮㦃 dè sẻn · 㦃𬧺 sẻn so	U+3983
﨡	sên	𧎜﨡 ốc sên	U+FA21
𣞶	sến	𣘃𣞶 cây sến · 楛𣞶 gỗ sến · 𣞶 𩅙 sến sẩm · 𣞶咵 sến súa [𠸨]	U+237B6
浧	sềnh	泠浧 lềnh sềnh	[翻] U+6D67
𡁼	sèo	㕭𡁼 eo sèo [𠸨]	U+2107C
𤵪	sẹo	𤵖𤵪 vết sẹo	U+24D6A
𠊔	sếp	𠊔據𢴉懷！ sếp cứ đùa hoài! [摱]	[翻] U+20294
𩂶	sét	𩆐𩂶 sấm sét	U+290B6
䳂	sếu	𪀄䳂 chim sếu	[翻] U+4CC2
魑	SI	魑魅魍魎 si mị võng lượng	U+9B51
𬃗	si	𣘃𬃗 cây si	[翻] U+2C0D7
𢱟	sỉ	𬥓𢱟 bán sỉ	U+22C5F
𪐢	sì	黰𪐢 đen sì	U+2A422
𨇗	sịch	脭𨇗 sình sịch	[翻] U+281D7
槮	sim	𣘃槮 cây sim	[翻] U+69EE
逞	SÍNH	逞外 sính ngoại · 逞矯法 sính kiểu Pháp	U+901E
聘	SÍNH	聘禮 sính lễ	U+8058
脭	sình	脭䏾 sình bụng · 脭𨇗 sình sịch	U+812D
𰈤	síp		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻] U+30224
𬿺	sít	𣃣𬿺 vừa sít · 吀𬿺 sin sít	[翻] U+2CFFA
哳	sịt	泏哳 sụt sịt [𠸨]	U+54F3
哳	xịt	𠰏哳 bom xịt · 繿哳 xám xịt	[翻]
𡦅	so	𡥵𡦅 con so	U+21985
𨯃	sỏ	頭𨯃 đầu sỏ · 𨯃箭 sỏ tên	[異] 𥐈 𩖅 U+28BC3
𧎷	sò	𧎷蝶 sò điệp	U+273B7
𩪵（𲌔）	sọ	𩪵𠊛 sọ người · 匣𩪵 hộp sọ	U+29AB5 (U+32314)
擻（擞）	sổ	𨷯擻 cửa sổ · 擻𠸜 sổ tên · 𪀄擻籠 chim sổ lồng · 句文被擻 câu văn bị sổ	U+64FB (U+64DE)
𢮀	sờ	𢮀𢺀 sờ mó	U+22B80
𢮀	rờ		⇔ 𢮀 sờ
膗	soài	㳥膗 sóng soài [𠸨]	U+8197
篡	SOÁN	篡𡾵 soán ngôi · 篡奪 soán đoạt · 篡逆 soán nghịch	U+7BE1
篡	thoán		⇔ 篡 soán
𪮡	soạng	𢮀𪮡 sờ soạng [𠸨]	U+2ABA1
𥉮	sóc	𢕸𥉮 săn sóc · 𢟙𥉮 chăm sóc	U+2526E
𪟄	sọc	𪟄𡲫 sọc vải	U+2A7C4
𪟄	sòng	𪟄𪟄 sòng sọc [𠸨]	⇔ 𪟄 sọc
傗	sốc	𨠳傗 gây sốc [摱] · 傗反衛 sốc phản vệ [摱]	U+5097
𩺯	sốc	𩵜𩺯 cá sốc	U+29EAF
𤐝	soi	𤐝𦎛 soi gương · 𤐝燴 soi rọi	[翻] U+2441D
𪤠	soi	𪤠𣘛 soi dâu	U+2A920
㰁	sói	花㰁 hoa sói	U+3C01
𩯹	sói	𩯹頭 sói đầu	U+29BF9
誄	sõi	吶誄 nói sõi	U+8A84
𩟬	sổi	咹𩟬 ăn sổi	U+297EC
𩟬	sồi		⇔ 𩟬 sổi
𦆙	sồi	襖𦆙 áo sồi · 𡲫𦆙 vải sồi · 𨷯楛 𦆙 cửa gỗ sồi	U+26199
𤴶	sởi	病𤴶 bệnh sởi	U+24D36
攙	sóm	攙𤑯 sóm sém [𠸨]	U+6519
攙	sọm	攙攙 sòm sọm [𠸨]	
攙	sòm	攙攙 sòm sọm [𠸨]	⇔ 攙 sọm
嚵	sòm	喑嚵 om sòm [𠸨]	[翻] U+56B5
嚵	sùm	喑嚵 um sùm [𠸨]	⇔ 嚵 sòm
侟	sòn	侟侟 sòn sòn [𠸨]	U+4F9F
摌	sởn	摌疏 sởn sơ · 摌𩯀𬛑 sởn tóc gáy	U+644C
𦠳	sờn	𦠳𧛊 sờn rách · 𦠳𢚸 sờn lòng · 𦠳志 sờn chí	U+26833
笙	song	笙鸞 song lang	U+7B19
𧄐（𧄐󠄁）	song	𧦕𧄐 ghế song	U+27110 (U+27110 U+E0101)
𩽧（𩽧󠄁）	song	𩵜𩽧 cá song	U+29F67 (U+29F67 U+E0101)
𦪃	sõng	隻𦪃 chiếc sõng	U+26A83
椶	sồng	𣘃椶 cây sồng · 𣘽椶 nâu sồng	U+6936
𣙫	sộp	𣘃𣙫 cây sộp	[翻] U+2366B
𩻒	sộp	𩵜𩻒 cá sộp	U+29ED2
箻	sọt	丐箻 cái sọt · 撣箻𥯌 đan sọt tre	U+7BBB
叱	sớt	叱𢺹 sớt chia	U+53F1
𰈸	sụ	𫰅𰈸 to sụ · 𢀭𰈸 giàu sụ · 𰈸𰈸 sù sụ	U+30238
𰈸	sù		⇔ 𰈸 sụ
獅	SƯ	獅子 sư tử · 海獅 hải sư	U+7345
樗	SƯ	樗樹 sư thụ	U+6A17
樗	xư		⇔ 樗 sư
𣐳	sứ	花𣐳 hoa sứ	U+23433
咵	súa	𣞶咵 sến súa [𠸨]	U+54B5
咵	sụa	嗾咵 sặc sụa [𠸨]	
𬄁	sưa	楛𬄁 gỗ sưa · 花𬄁 hoa sưa	U+2C101
𧍇	sứa	𡥵𧍇 con sứa · 䭃𧍇 nộm sứa	U+27347
蓄	SÚC	蓄積 súc tích	U+84C4
㗜	súc	㗜𠰘 súc miệng	U+35DC
槒	súc	槒紙 súc giấy · 槒楛 súc gỗ	[翻] U+69D2
𠶗	sực	𠶗𢖵 sực nhớ · 𠶗擬𫥨 sực nghĩ ra	U+20D97
𠶗	sừng	𠶗𠶗 sừng sực [𠸨]	⇔ 𠶗 sực
𫗾	sực	𫗾𱕔 sực nức · 𦹳𫗾 thơm sực	U+2B5FE
𡢽	sui	𡢽家 sui gia	U+218BD
櫑	sui	𣘃櫑 cây sui	U+6AD1
㵽	sủi	圓㵽 viên sủi · 㵽渤 sủi bọt	U+3D7D
𥹯	sùi	泏𥹯 sụt sùi	[翻] U+25E6F
喘	suyển	衰喘 suy suyển [𠸨]	U+5598
舛	suyễn	差舛 sai suyễn [𠸨]	U+821B
侺	sum	侺茌 sum sê [𠸨] · 侺合 sum họp	[翻] U+4FBA
侺	sùm	侺叉 sùm sòa [𠸨]	[翻]
侺	xum	侺茌 xum xuê [𠸨]	⇔ 侺 sum
噀	sún	噀𪘵 sún răng	[翻] U+5640
𩪞	sụn	𩩫𩪞 xương sụn · 𩪞𠦻 sụn lưng	U+29A9E
充	SUNG	充暢 sung sướng · 補充 bổ sung · 充滿 sung mãn · 充飭 sung sức	[翻] U+5145
𣑁	sung	𣘃𣑁 cây sung	U+23441
寵	SỦNG	寵愛 sủng ái	U+5BF5
寵	sổng	寵井 sổng sểnh [𠸨]	
茺	súng	花茺 hoa súng	U+833A
𣻢	sũng	㲸𣻢 ướt sũng · 𣻢渃 sũng nước	U+23EE2
𤷖	sưng	𤷖𤶈 sưng tấy	U+24DD6
𦘹	sườn	𩩫𦘹 xương sườn	U+26639
㤝	suông	羹㤝 canh suông · 許㤝 hứa suông	U+391D
𠼾	suồng	𠼾咤 suồng sã [𠸨]	U+20F3E
孀	SƯƠNG	孀婦 sương phụ	U+5B40
𡒮	sướng	𡒮𥢂 sướng mạ	U+214AE
𪽄	sượng	𪽄崇 sượng sùng [𠸨]	U+2AF44
𪽄	sường	𪽄𪽄 sường sượng [𠸨]	⇔ 𪽄 sượng
𣻑	sướt	𣻑過 sướt qua	U+23ED1
𣻑	sượt	𣻑𣻑 sườn sượt [𠸨]	
𣻑	soài	㳥𣻑 sõng soài [𠸨]	⇔ 𣻑 sượt
𣻑	sườn	𣻑𣻑 sườn sượt [𠸨]	⇔ 𣻑 sượt
𣼳	súp	𣼳𭉪 súp đặc [摱] · 𣼳𩵜圓 súp cá viên [摱]	U+23F33
𣼳	xúp	𧙀𣼳 lúp xúp · 𣼳笀𧍆 xúp măng cua [摱]	[翻]
𠿰	sứt	𠿰𠝫 sứt mẻ	[翻] U+20FF0
叻	sựt	湛叻 sậm sựt [𠸨]	U+53FB
丑	SỬU	𣇞丑 giờ Sửu · 辛丑 Tân Sửu	U+4E11
衺	tà	襖衺 áo tà	U+887A
袏	tã	袏紙 tã giấy · 袏䘹 tã lót	U+888F
榭	TẠ	水榭 thuỷ tạ	U+69AD
藉	TẠ	狼藉 lang tạ	U+85C9
酢	TẠC	酬酢 thù tạc	U+9162
鑿	TẠC	𥱬鑿 ghi tạc · 鑿像 tạc tượng	U+947F
鑿	táo	穿鑿 xuyên táo	
稷	TẮC	社稷 xã tắc	U+7A37
𠷌	tặc	𠷌𦧜 tặc lưỡi	U+20DCC
𡬷	tấc	𠬠𡬷 một tấc	單位𢵋 đơn vị đo U+21B37
碏	tách	碏茶 tách trà [摱]	U+788F
哉	TAI	善哉 thiện tai	[翻] U+54C9
栽	TÀI	栽培 tài bồi	U+683D
舵	tài	舵車 tài-xế [摱]	U+8235
𭠣	táy	𭠣𢵯 táy máy	U+2D823
𤶈	tấy	𤷖𤶈 sưng tấy	U+24D88
糝	tám	𥽌糝 gạo tám	U+7CDD
蠶（蚕）	tằm	𣘛蠶 dâu tằm	U+8836 (U+8695)
寢	TẨM	陵寢 lăng tẩm · 寢室 tẩm thất	U+5BE2
𬌓	tấm	𬌓𢚸 tấm lòng · 𬌓𦎛 tấm gương · 𬌓板 tấm ván · 𬌓則 tấm tắc · 𬌓𠺒 tấm tức [𠸨]	U+2C313
傘	TẢN	𡶀傘圓 núi Tản Viên	U+5098
傘	TÁN	傘𣘃 tán cây	
傘	tàn	傘𢃈 tàn lọng	
拶	tán	拶頭釘 tán đầu đinh	U+62F6
㳯	tăn	蹸㳯 lăn tăn	U+3CEF
辛	TÂN	辛苦 tân khổ	U+8F9B
檳	TÂN	檳榔 tân lang	U+6AB3
燖	tần	𪃿燖 gà tần	U+71D6
𡡑	tằng	𡡑娋 tằng tịu [𠸨]	U+21851
啨	tành	散啨 tan tành [𠸨] · 習啨 tập tành [𠸨]	U+5568
𩄳	tạnh	𩄳𣋝 tạnh ráo	U+29133
𠋺	tao	𠋥𠋺 mày tao	U+202FA
𠋺	tau		⇔ 𠋺 tao
臊	TAO	腥臊 tanh tao	U+81CA
糟	TAO	糟糠 tao khang	U+7CDF
早	TẢO	早婚 tảo hôn	U+65E9
掃	TẢO	掃墓 tảo mộ	U+6383
藻	TẢO	蘋藻 tần tảo · 藻𦀵 tảo xoắn ·藻𧹻 tảo đỏ	U+85FB
棗	TÁO	棗西 táo tây	U+68D7
咂	táp	雹咂 bão táp	[翻] U+5482
雜	TẠP	複雜 phức tạp · 雜誌 tạp chí ·混雜 hỗn tạp · 雜技 tạp kĩ	U+96DC
雜	tượp	雜雜 tườm tượp [𠸨]	
雜	tườm	雜雜 tườm tượp [𠸨]	⇔ 雜 tượp
𠍱	tắp	賒𠍱 xa tắp · 𣦎𠍱 thẳng tắp · 𫜵𠍱 làm tắp · 𠍱𠓨茹 tắp vào nhà	U+20371
𠍱	tăm	𠍱𠍱 tăm tắp [𠸨]	⇔ 𠍱 tắp
撒	tát	撒渃 tát nước	U+6492
𢹵	tạt	𢹵𠓨 tạt vào · 𢹵𨖅邊債 tạt sang bên trái · 𢹵𧗱探茹 tạt về thăm nhà	U+22E75
必	TẤT	必然 tất nhiên · 必要 tất yếu ·不必 bất tất · 何必 hà tất	U+5FC5
畢	TẤT	完畢 hoàn tất · 畢力 tất lực	U+7562
膝	tất	蔽膝 bít tất	"裊得使用如𠬠詞獨立、得𢪏 𱺵「韠 tất」；裊得使用如詞𢯖、得𢪏𱺵「蔽膝 bít tất」。 Nếu được sử dụng như một từ độc lập, được viết là ""韠 tất""; nếu được sử dụng như từ ghép, được viết là ""蔽膝 bít tất"". U+819D"
蒺	TẬT	蒺藜 tật lê	U+84BA
嫉	TẬT	嫉妒 tật đố	U+5AC9
走	TẨU	走馬 tẩu mã · 奔走 bôn tẩu ·行走 hành tẩu · 逃走 đào tẩu	U+8D70
𧷹	tậu	𧷹茹 tậu nhà · 𧷹車 tậu xe	U+27DF9
呞	te	𧼋呞 chạy te · 呞鬚 te tua · 𠻗呞 le te · 襖㐌呞於𦠘 áo đã te ở vai	U+545E
𢗽	tẻ	𢗽𠖯 tẻ ngắt · 𢞂𢗽 buồn tẻ · 𢗽溂 tẻ nhạt	U+225FD
𪷗	tè	瀻𪷗 đái tè	U+2ADD7
樨	TÊ	木樨 mộc tê	U+6A28
宰	TỂ	宰相 tể tướng · 屠宰 đồ tể	U+5BB0
細	TẾ	仔細 tử tế · 細膩 tế nhị · 細胞 tế bào · 精細 tinh tế	U+7D30
細	tỉ	細美 tỉ mỉ · 細犀 tỉ tê [𠸨]	
齊	TỀ	一齊 nhất tề · 整齊 chỉnh tề	U+9F4A
齊	tày	齊𡗶 tày trời · 齊霆 tày đình · 𠊛齊 người Tày	
齊	tề	破齊 phá tề · 儕齊 tê tề	
劑	TỄ	𫇿劑 thuốc tễ · 㕵𠬠劑𫇿 uống một tễ thuốc	U+5291
幣	TỆ	外幣 ngoại tệ · 錢幣 tiền tệ	U+5E63
唶	tếch	𣘃唶 cây tếch [摱] · 唶𠫾𠅒 tếch đi mất	[翻] U+5536
𣑷	tem	噚𣑷 tòm tem · 𣑷票 tem phiếu [摱] · 𣑷保行 tem bảo hành [摱]	[翻] U+23477
𢬅	têm	𢬅𦺓 têm trầu	U+22B05
鎆	ten	鎆銅 ten đồng · 存鎆 tòn ten [𠸨]	U+9386
𢤣	tẽn	𢤣𭇓 tẽn tò [𠸨]	U+22923
惺	tênh	惺亨 tênh hênh	[翻] U+60FA
𢜫	tểnh	漝𢜫 tấp tểnh	U+2272B
悄	teo	咏悄 vắng teo · 悄𡮈 teo nhỏ	[翻] U+6084
𦅃	tèo	繚𦅃 lèo tèo	U+26143
俏	tẹo	子俏 tí tẹo · 咹俏 ăn tẹo · 瞭俏 lẹo tẹo [𠸨]	U+4FCF
浹	tép	𠬠浹蒜 một tép tỏi · 𦚗浹 tóp tép [𠸨]	U+6D79
浹	tem	浹浹 tem tép [𠸨]	⇔ 浹 tép
𩹫	tép	𩵽𩹫 tôm tép	[翻] U+29E6B
𣜿	tệp	𣜿信 tệp tin	U+2373F
緤	tết	緤𩯀 tết tóc	[翻] U+7DE4
妣	TỈ	先妣 tiên tỉ	U+59A3
璽	TỈ	玉璽 ngọc tỉ	U+74BD
枇	TÌ	枇杷 tì bà	U+6787
婢	TÌ	婢女 tì nữ	U+5A62
琵	TÌ	琵琶 tì bà	U+7435
貔	TÌ	貔貅 tì hưu	U+8C94
巳	TỊ	𣇞巳 giờ Tị · 乙巳 Ất Tị	U+5DF3
避	TỊ	避難 tị nạn	U+907F
𢲟	tỉa	𢲟䢕 tỉa tót · 𢏑𢲟 bắn tỉa · 𣑺 𢲟 trồng tỉa	U+22C9F
爹	tía	爹媽 tía má	U+7239
辟	TỊCH	辟穀 tịch cốc	U+8F9F
辟	vếch	辟𬨠 vếch lên	[翻]
僭	TIẾM	僭𡾵 tiếm ngôi · 僭權 tiếm quyền	U+50ED
𤍖	tiềm	𤍖𩿠 tiềm vịt	U+24356
箋	TIÊN	紙花箋 giấy hoa tiên	U+7B8B
踐	TIỄN	寔踐 thực tiễn	U+8E10
踐	TIẾP	士燮 Sĩ Tiếp	U+71EE
燮	NHIẾP	士燮 Sĩ Nhiếp · 申文燮 Thân Văn Nhiếp	⇔ 燮 tiếp
蕉	TIÊU	荎蕉 chuối tiêu	U+8549
簫	TIÊU	𠺙簫 thổi tiêu	U+7C2B
笑	TIẾU	笑林 tiếu lâm · 含笑 hàm tiếu ·談笑 đàm tiếu	U+7B11
憔	TIỀU	憔悴 tiều tuỵ	U+6194
樵	TIỀU	樵夫 tiều phu	U+6A35
剿	TIỄU	剿除 tiễu trừ	U+527F
剿	tĩu	俗剿 tục tĩu [𠸨]	
噆	tỉm	𠸬噆 tủm tỉm	U+5646
旌	TINH	旌旗 tinh kì	U+65CC
𠐉	típ	模𠐉 mô-típ [摱]	[翻] U+20409
𠾼	tịt	霧𠾼 mù tịt · 𠾼𣰏 tịt ngòi	U+20FBC
鐎	tiu	鐎鐛 tiu cảnh · 鐎憢 tiu nghỉu	U+940E
嘬	tíu	嘬㘉 tíu tít	[翻] U+562C
娋	tịu	𡡑娋 tằng tịu [𠸨]	U+5A0B
𧔋	tò	𧔋虶 tò vò	U+2750B
𭇓	tò	𭇓摸 tò mò	U+2D1D3
租	TÔ	地租 địa tô	U+79DF
𩘣	tố	𩘪𩘣 dông tố	U+29623
徂	tồ	徂徂 tồ tồ [𠸨]	U+5F82
徂	trồ	沈徂 trầm trồ	[翻]
媤	tơ	𤳆媤 trai tơ · 𡛔媤 gái tơ · 媤想 tơ tưởng · 媤𢠩 tơ mơ	U+5AA4
汓	tở	汓𢲫 tở mở · 汓𥾘 tở sợi · 嗏汓 Chà Tở	U+6C53
唆	toa	唆𫇿 toa thuốc	U+5506
嚄	toác	嚄嚯 toác hoác · 嚄𫥨 toác ra ·扯嚄 xé toác · 𢯙嚄 chẻ toác · 𧛊嚄 rách toác · 𫫥嚄 toang toác	U+5684
劐	toạc	扯劐 xé toạc · 吶劐 nói toạc ·劐𫥨 toạc ra	U+5290
狻	TOAN	狻猊 toan nghê	U+72FB
𦀷	toan	𡲫𦀷 vải toan [摱]	U+26037
酸	TOAN	渃強酸 nước cường toan · 胃酸 vị toan	U+9178
瓚	TOẢN	蔡文瓚 Thái Văn Toản	U+74DA
纘	TOẢN	阮光纘 Nguyễn Quang Toản ·武長纘 Võ Trường Toản	U+7E98
𡁧	toáng	吶𡁧 nói toáng · 囉𡁧 la toáng · 𠯽𡁧𪥘󠄁𬨠 chửi toáng cả lên	U+21067
䢨	toàng	𫟧䢨 tuềnh toàng · 荒䢨 hoang toàng · 𰺽䢨 loang toàng	U+48A8
臧	toạng	三臧 tam toạng [𠸨]	U+81E7
撮	toát	𠬠撮 một toát	單位𢵋 đơn vị đo U+64AE
撮	tòi	尋撮 tìm tòi	
謖	tốc	謖𧜖𨇸𧻭 tốc chăn chồm dậy	U+8B16
䏴	toe	䏴𠽌 toe toét · 䏴𠰘唭 toe miệng cười	U+43F4
𤂭	toé	縱𤂭 tung toé	U+240AD
𠽌	toét	𠽌𠰘 toét miệng · 咾𠽌 láo toét · 𠽌𠲣 toét hoét · 䏴𠽌 toe toét	U+20F4C
𥊴	toét	𥊴眜 toét mắt · 𥊴𣲹 toét nhèm	U+252B4
𤻒	toi	𠅒𤻒 mất toi · 𣩂𤻒 chết toi · 𤻒命 toi mạng	U+24ED2
蒜	tỏi	蒜西 tỏi tây · 莖蒜 hành tỏi	U+849C
綷	tói	䋘綷 lòi tói	[翻] U+7DB7
噚	tòm	噚𣑷 tòm tem	U+565A
𠺸	tõm	淶𠺸𬺗坳 rơi tõm xuống ao	U+20EB8
𠺸	tũm	𠺸𠺸 tùm tũm	
𠺸	tùm		⇔ 𠺸 tũm
噂	ton	㖮噂 lon ton · 噂𧩓 ton hót	U+5642
巽	TỐN	卦巽 quái Tốn	U+5DFD
遜	TỐN	謙遜 khiêm tốn · 慈遜 từ tốn	U+905C
𢣺	tợn	躁𢣺 táo tợn · 㺞𢣺 dữ tợn · 咹 𢣺 ăn tợn	U+228FA
淙	tong	𤷍淙 gầy tong · 瘖淙 ốm tong ·淙𪭥 tong tả · 儱淙 long tong [聲]	U+6DD9
淙	tỏng	淙淙 tong tỏng [𠸨]	
𢮱	tông	被車𢮱 bị xe tông	U+22BB1
綜	TỔNG	綜合 tổng hợp	U+7D9C
宋	TỐNG	𣱆宋 họ Tống	U+5B8B
𦚗	tóp	𦚗𦝺 tóp mỡ · 𦚗浹 tóp tép [𠸨] · 悄𦚗 teo tóp [𠸨] · 𢺹𫥨層 𦚗 chia ra từng tóp	U+26697
𠇽	tốp	層𠇽 từng tốp · 𠬠𠇽 một tốp	[翻] U+201FD
㗱	tợp	㗱𨢇 tợp rượu	U+35F1
䢕	tót	𬦮䢕 nhảy tót · 𤙭䢕 bò tót · 𧼋䢕𧗱茹 chạy tót về nhà	U+4895
𨃍	tọt	𧼋𨃍 chạy tọt · 𠬃𨃍𠓨𠰘 bỏ tọt vào miệng	U+280CD
饈	TU	珍饈 trân tu	U+9948
鬚	TU	觸鬚 xúc tu	U+9B1A
鬚	tua	鬚墨 tua mực · 鬚畑籠 tua đèn lồng	
𭉫	tu	𭉫𠳑𠳑 tu ừng ực · 𪀄𭉫吁 chim tu hú	U+2D26B
袖	TỤ	領袖 lãnh tụ	U+8896
諮	TƯ	通諮 thông tư · 諮問 tư vấn	U+8AEE
仔	TỬ	仔細 tử tế	U+4ED4
須	tua	須𠡚飭 tua gắng sức · 須𡨺𢷹 tua giữ gìn · 須遊歷 tua du lịch · 須𠯴 tua-bin [摱]	U+9808
溑	tủa	溑𫥨 tủa ra · 蜆𥒮坥溑𬨢𡑝 kiến vỡ tổ tủa khắp sân	U+6E91
溑	tua	溑溑 tua tủa [𠸨]	⇔ 溑 tủa
戌	TUẤT	𣇞戌 giờ Tuất · 戊戌 Mậu Tuất	U+620C
恤	TUẤT	死恤 tử tuất	U+6064
粟	TÚC	罌粟 anh túc	U+7C9F
肅	TÚC	嚴肅 nghiêm túc	U+8085
𠸘	tục	𪃿叫𠸘𠸘 gà kêu tục tục [聲]	U+20E18
息	TỨC	信息 tin tức · 利息 lợi tức	[翻] U+606F
慧	TUỆ	慧眼 tuệ nhãn · 智慧 trí tuệ	U+6167
𠻊	tuệch	𠻊劐 tuệch toạc [𠸨]	U+20ECA
𫟧	tuềnh	𫟧䢨 tuềnh toàng	U+2B7E7
髓	TUỶ	髓𩩖 tuỷ sống · 腛髓 óc tuỷ	U+9AD3
悴	TUỴ	憔悴 tiều tuỵ	U+60B4
雋	TUYỂN	雋永 tuyển vĩnh	U+96CB
腺	TUYẾN	腺淚 tuyến lệ	U+817A
泉	TUYỀN	九泉 cửu tuyền · 黃泉 hoàng tuyền	U+6CC9
𠸬	tủm	𠸬噆 tủm tỉm	U+20E2C
𥳍	tùm	𥳍𥵗 tùm hum · 𠽛𥳍 um tùm	[翻] U+25CCD
𥯓	tụm	𥯓𠄼𥯓𠀧 túm năm tụm ba · 𱖗𥯓徠𠬠𡊲 ngồi tụm lại một chỗ	U+25BD3
𥯓	túm		⇔ 𥯓 tụm
澊	tun	澊唿 tun hút	[翻] U+6F8A
繜	tủn	繜𫃐 tủn mủn	U+7E5C
噌	tung	叫噌噌 kêu tung tung [聲]	U+564C
𡾼	TỦNG	阮福寶𡾼 Nguyễn Phúc Bửu Tủng	U+21FBC
雀	TƯỚC	孔雀 khổng tước · 朱雀 Chu Tước	U+96C0
雀	chược	麻雀 mạt chược [摱]	
葃	tược	園葃 vườn tược · 𠛌䒹䄧葃 đâm chồi nảy tược	U+8443
𣻆	tuôn	𣻆淶 tuôn rơi · 𣻆潮 tuôn trào	U+23EC6
踆	tuồn	踆𠫾 tuồn đi · 踆器械 tuồn khí giới	U+8E06
𡀢	tuông	𡀢𠓨 tuông vào · 慳𡀢 ghen tuông	U+21022
薔	TƯỜNG	花薔薇 hoa tường vi	U+8594
匠	TƯỢNG	匠手 tượng thủ	U+5320
剟	tuốt	剟穭 tuốt lúa · 剟𦂻 tuốt luốt ·別剟 biết tuốt	U+525F
剟	tuột	剟剟 tuốt tuột [𠸨]	
𨀞	tuột	橋𨀞 cầu tuột · 𣹗𨀞 trơn tuột · 𨀞𬺗 tuột xuống · 𨀞𨀞 tuồn tuột [𠸨]	U+2801E
𨀞	tuồn	𨀞𨀞 tuồn tuột [𠸨]	⇔ 𨀞 tuột
𦭧	túp	𦭧寮 túp lều	[翻] U+26B67
酒	TỬU	酒色 tửu sắc · 酒館 tửu quán ·藥酒 dược tửu · 酌酒 chước tửu	U+9152
𦚈	thạch	𦚈蔞俱 thạch rau câu	U+26688
蔡	THÁI	蔡文瓚 Thái Văn Toản	U+8521
䓱	thài	䓱𦲒 thài lài [𠸨]	U+44F1
㕧	thây	…低㕧 ...đây thây	[翻] U+3567
嗿	thàm	嗿𫜵 thàm làm [𠸨]	U+55FF
瀋	thẳm	漊瀋 sâu thẳm · 淢瀋 vực thẳm · 瀋瀋 thăm thẳm [𠸨]	[翻] U+700B
瀋	thăm	瀋瀋 thăm thẳm [𠸨]	⇔ 瀋 thẳm [翻]
𰃀	thẫm	𧹻𰃀 đỏ thẫm · 青𰃀 xanh thẫm · 襖𰃀仍蒲洃 áo thẫm những mồ hôi	U+300C0
甚	THẬM	甚弊 thậm tệ · 甚稱 thậm xưng · 甚至 thậm chí · 甚無理 thậm vô lí	U+751A
坍	than	𠬠坍 một than	單位𢵋 đơn vị đo U+574D
𡁟	thắn	𣦎𡁟 thẳng thắn [𠸨]	U+2105F
蜄	thằn	蜄䗲 thằn lằn	U+8704
訠	thẩn	詩訠 thơ thẩn	U+8A20
矧	thẫn	矧悇 thẫn thờ	U+77E7
慎	THẬN	謹慎 cẩn thận · 慎重 thận trọng	U+614E
湯	THANG	𠬠湯𫇿 một thang thuốc	U+6E6F
湯	thang	𨄂湯 lang thang [𠸨] · 𢉑湯 thênh thang [𠸨] · 㘉空湯 tít cung thang	
倉	THẢNG	倉猝 thảng thốt	U+5009
儻	THẢNG	倜儻 thích thảng	U+513B
溗	thắng	溗渃行 thắng nước hàng	U+6E97
騬	thắng	騬鞍朱馭 thắng yên cho ngựa	U+9A2C
錆	thanh	錆鎌 thanh gươm	U+9306
鐋	THANH	鐋鑼 thanh la	U+940B
絛	THAO	𥶄𬗜絛 nón quai thao	U+7D5B
傠	thảo	孝傠 hiếu thảo · 傠賢 thảo hiền · 傠敬仛媄 thảo kính cha mẹ	U+50A0
繰	thạo	成繰 thành thạo · 通繰 thông thạo · 繰藝 thạo nghề	U+7E70
𤏧	thắp	𤏧畑 thắp đèn · 𤏧香 thắp hương · 𤏧𤏬約𢠩 thắp sáng ước mơ	U+243E7
拾	THẬP	收拾 thu thập	U+62FE
拾	thập	拾𢲬 thập thò	
拾	thụp	拾拾 thùm thụp [𠸨]	
拾	thùm	拾拾 thùm thụp [𠸨]	⇔ 拾 thụp
獺	THÁT	水獺 thuỷ thát	U+737A
