# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
逋	bo	𭊫逋 ki bo · 𡨺逋逋 giữ bo bo	[翻] U+900B
𥒰	bo	𥒰 bo [摱]	U+254B0
虶	bò	虶𦘧 bò vẽ	U+8676
虶	vò	𧔋虶 tò vò	
鯆	bò	𩵜鯆 cá bò	U+9BC6
𡀨	bõ	拯𡀨 chẳng bõ	U+21028
㗘	bô	吶㗘㗘 nói bô bô [聲]	U+35D8
佈	bố	佈媄 bố mẹ	[異] 布 U+4F48
怖	BỐ	恐怖 khủng bố	U+6016
葡	BỒ	葡萄牙 Bồ Đào Nha	U+8461
蒲	BỒ	蒲柳 bồ liễu · 蒲公英 bồ công anh	U+84B2
蒲	bồ	蒲搞 bồ cào · 蒲𤆺 bồ hóng ·蒲洃 bồ hôi · 蒲欲 bồ dục · 蒲結 bồ kết · 蒲君 bồ quân	𡨸𥱬㗂輔𠓀𥪝詞（外除𠸜𧵑各類𪀄） Chữ ghi tiếng phụ trước trong từ (ngoại trừ tên của các loài chim)
蒲	bù	蒲𦫸 bù nhìn	⇔ 蒲 bồ
蒲	mồ	蒲洃 mồ hôi · 蒲𠎺 mồ côi · 蒲 𤆺 mồ hóng	⇔ 蒲 bồ
𠏆	bồ	笈𠏆 cặp bồ · 𠏆𡭺 bồ nhí · 𠏆甓 bồ bịch · 𠏆𦅃 bồ tèo	U+203C6
篰	bồ	篰甓 bồ bịch · 𠬠篰刀鈐 một bồ dao găm	U+7BF0
𡃓	bớ	扒𡃓 bắt bớ [𠸨]	U+210D3
𠳝	bỡ	𠳝𢣸 bỡ ngỡ	U+20CDD
卜	BỐC	占卜 chiêm bốc	[翻] U+535C
曝	BỘC	曝露 bộc lộ · 曝𠻊 bộc tuệch	U+66DD
呠	bỏm	呠𠷨 bỏm bẻm [𠸨]	U+5460
渀	bõm	皮渀 bì bõm [聲] · 𡔑渀 lõm bõm [𠸨]	U+6E00
泵	bơm	丐泵 cái bơm [摱] · 泵渃 bơm nước [摱]	U+6CF5
𣭛	bờm	𣭛馭 bờm ngựa · 𣭛𬇁 bờm xờm [𠸨] · 僶𣭛 thằng bờm	U+23B5B
𤵳	bón	燥𤵳 táo bón	U+24D73
𪝕	bòn	𪝕捽 bòn rút · 𪝕㩢 bòn mót	U+2A755
奔	BÔN	奔波 bôn ba	U+5954
奔	bôn	奔墫 bôn chôn [𠸨]	
坌	bộn	坌皮 bộn bề [𠸨]	U+574C
𩺡	bơn	鱓𩺡 thờn bơn	U+29EA1
𢸚	bong	𢸚筋 bong gân · 𢸚捉 bong tróc · 𤽸𢸚 trắng bong	U+22E1A
琫	bóng	琫琫 bong bóng · 琫畑 bóng đèn · 琫跢 bóng đá	[異] 𩃳 𣈖 U+742B
琫	bong	琫琫 bong bóng [𠸨]	⇔ 琫 bóng
槰	bòng	𣘃槰 cây bòng · 果槰 quả bòng	U+69F0
䙜	bòng	𭢌䙜 đèo bòng · 𫼳䙜𠫾塘 mang bòng đi đường · 摱丐包䙜勃 mượn cái bao bòng bột	U+465C
𩸮	bống	𩵜𩸮 cá bống	U+29E2E
捧	bồng	捧嬖 bồng bế	U+6367
蓬	BỒNG	蓬萊 bồng lai	[翻] U+84EC
𠷕	boong	𠷕𠷕 boong boong [聲] · 丐𠷕 cái boong [摱]	U+20DD5
䑺	boong	䑺艚 boong tàu [摱]	U+447A
抸	bốp	抸抸 bôm bốp [聲]	U+62B8
抸	bôm	抸抸 bôm bốp [聲]	⇔ 抸 bốp
𠶙	bộp	𠶙摯 bộp chộp	[翻] U+20D99
𩋚	bốt	𩋚膏蒭 bốt cao-su [摱] · 蹎𠫾對 𩋚𤽸 chân đi đôi bốt trắng [摱]	U+292DA
𤴭	bớt	𤴭青 bớt xanh	U+24D2D
𡜵	bu	𡜵㗒 bu ơi	U+21735
脯	bụ	脯偘 bụ bẫm · 𦙶𢬣㛪𡮣脯 cổ tay em bé bụ	U+812F
