# 常用标准汉喃字表
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共7164字（读音不同等，部分字分立多条，合计8928条）
# https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html
# 𡨸漢喃	音讀	Unicode	𥱬註	譬喻

淖	rườn	U+6DD6	⇔ 淖 rượt	淖淖 rườn rượt [𠸨]
𢗆	rượn	U+225C6		𢗆𨔈 rượn chơi
拥	ruồng	U+62E5		拥𠬃 ruồng bỏ
𠳀	ruỗng	U+20CC0		𭬙𠳀 mục ruỗng · 𠳀捏 ruỗng nát
𬏇	ruộng	U+2C3C7		垌𬏇 đồng ruộng
樑	rường	U+6A11		𢶢樑 chống rường · 茹樑 nhà rường · 樑榾 rường cột
𦛌	ruột	U+266CC		焠𦛌 sốt ruột
𧺕	rượt	U+27E95		𧺕蹺 rượt theo · 𧺕仉𥌈 rượt kẻ trộm
淖	rượt	U+6DD6		淖淖 rườn rượt [𠸨]
𨢇	rượu	U+28887		㕵𨢇 uống rượu · 𠲏𨢇 nhắm rượu
捽	rút	U+637D	[異] 𢫫	捽刀 rút dao · 捽𨆢 rút lui
𫉡	rút	U+2B261	[翻]	蔞𫉡 rau rút · 韋𫉡 vi-rút [摱]
揬	rụt	U+63EC		揬𥗍 rụt rè
𢲼	rứt	U+22CBC		伓𢲼 bứt rứt · 哏𢲼 cắn rứt · 𢲼𦛌 rứt ruột
沙	SA	U+6C99	[翻]	沙漠 sa mạc · 沙場 sa trường · 沙石 sa thạch · 浮沙 phù sa · 黃沙 hoàng sa · 芹沙 cần sa [摱]
砂	SA	U+7802		朱砂 chu sa · 丹砂 đan sa
紗	SA	U+7D17		𡲫紗 vải sa · 紗花 sa hoa · 紗𣹗 sa trơn · 襖紗 áo sa
裟	SA	U+88DF		袈裟 cà sa
蹉	sa	U+8E49	⇔ 蹉 sà	蹉𨁟 sa ngã · 蹉機 sa cơ · 蹉𠓨擺 sa vào bẫy
圫	sá	U+572B		塘圫 đường sá
詫	sá	U+8A6B		詫之 sá gì
蹉	sà	U+8E49		蹉𬺗 sà xuống
咤	sã	U+54A4		咤𠼾 sã suồng [𠸨]
𦲺	sả	U+26CBA		蘿𦲺 lá sả · 𦹯𦲺 cỏ sả
𪀎	sả	U+2A00E		𪀄𪀎 chim sả
𪮈	sả	U+2AB88		𪮈𬚸 sả thịt · 𪮈荇 sả hành · 蹉𪮈 sa sả
拃	sạ	U+62C3		拃穭 sạ lúa
槊	sác	U+69CA		汕槊 sớn sác [𠸨]
色	SẮC	U+8272	[翻]	𦭷色 màu sắc · 出色 xuất sắc · 顏色 nhan sắc · 劅色 súc sắc [𠸨] · 誇色 khoe sắc
敕	SẮC	U+6555		敕令 sắc lệnh · 敕封 sắc phong
嗇	SẮC	U+55C7		彼嗇斯豐 bỉ sắc tư phong
銫	sắc	U+92AB		銫𤓩 sắc bén · 𨁪銫 dấu sắc · 銫𫇿 sắc thuốc
𪁅	sắc	U+2A045		𪀄𪁅 chim sắc
𠲅	sạc	U+20C85		汴𠲅 bin (pin) sạc [摱]
嗾	sặc	U+55FE		嗾咵 sặc sụa [𠸨] · 𣩂嗾 chết sặc
冊	SÁCH	U+518A		冊𡲈 sách vở · 冊教科 sách giáo khoa
索	SÁCH	U+7D22		索擾 sách nhiễu · 索引 sách dẫn
策	SÁCH	U+7B56		策略 sách lược · 政策 chính sách
滌	sạch	U+6ECC	[異] 瀝	滌仕 sạch sẽ [𠸨] · 𢭯滌 quét sạch · 滌𡊳栍 sạch sành sanh [𠸨]
差	SAI	U+5DEE		差𡍚 sai lầm · 差分 sai phân · 差數 sai số · 差遣 sai khiến
𡗂	sai	U+215C2	[翻][異] 差	𡗂果 sai quả
灑	SÁI	U+7051		蕭灑 tiêu sái
𫪱	sái	U+2BAB1		𫪱𢬣 sái tay · 𫜵𫪱 làm sái · 𫪱渃 sái nước
柴	SÀI	U+67F4		柴胡 sài hồ · 柴門 sài môn · 柴棍 Sài Gòn · 疏柴 sơ sài [𠸨]
豺	SÀI	U+8C7A		豺狼 sài lang
㾹	sài	U+3FB9		病㾹 bệnh sài · 㾹驚 sài kinh
𠇈	sãi	U+201C8		𠇈娓 sãi vãi
庹	sải	U+5EB9		庹𢬣 sải tay · 庹𦑃 sải cánh
杉	SAM	U+6749		雲杉 vân sam
蔘	sam	U+8518		蔞蔘 rau sam
𧑁	sam	U+27441		𡥵𧑁 con sam · 脽𧑁 đuôi sam
懺	SÁM	U+61FA		懺悔 sám hối
謲	sàm	U+8B32		謲𬾟 sàm sỡ [𠸨]
讒	SÀM	U+8B92		讒言 sàm ngôn
參	SÂM	U+53C3		人參 nhân sâm · 海參 hải sâm · 霜參 sương sâm
森	SÂM	U+68EE		鄭森 Trịnh Sâm · 森捠 sâm-banh (panh) [摱]
𩅙	sâm	U+29159	⇔ 𩅙 sẩm	𩅙𩅙 sâm sẩm [𠸨]
墋	săm	U+588B		茹墋 nhà săm [摱]
𥊀	săm	U+25280		𥊀𤐝 săm soi · 𥊀𫑺 săm sưa
𩆐	sấm	U+29190		𩆐𩅀 sấm chớp
讖	SẤM	U+8B96		讖傳 sấm truyền
岑	SẦM	U+5C91	[翻]	岑鬱 sầm uất
岑	sầm	U+5C91	[翻]	𣋁岑 tối sầm
𭰪	sầm	U+2DC2A	⇔ 𭰪 sập	𩄎𭰪𭰪 mưa sầm sập [𠸨]
攕	sắm	U+6515	[翻]	𧷸攕 mua sắm · 攕栍 sắm sanh [𠸨]
湛	sẫm	U+6E5B		青湛 xanh sẫm
𩅙	sẩm	U+29159		𩅙𦭷 sẩm màu · 𩅙𣋁 sẩm tối · 𣞶𩅙 sến sẩm
湛	sậm	U+6E5B		湛𦭷 sậm màu · 𧹻湛 đỏ sậm
刊	SAN	U+520A		月刊 nguyệt san
珊	SAN	U+73CA	[翻]	珊瑚 san hô
滻	san	U+6EFB		滻平 san bằng · 滻塝 san phẳng · 滻𢩿 san sẻ
擦	san	U+64E6	⇔ 擦 sát	擦擦 san sát [𠸨]
汕	sán	U+6C55		汕齋 Sán Chay · 汕𢭼 Sán Dìu
疝	sán	U+759D		病疝 bệnh sán · 𧉙疝 giun sán
赸	sán	U+8D78		赸徠 sán lại
燦	sán	U+71E6		燦爛 sán lạn
孱	sàn	U+5B71		茹孱 nhà sàn · 孱孱 sàn sàn
𥖔	sàn	U+25594	⇔ 𥖔 sạn	𥖔𥖔 sàn sạn [𠸨]
𡑝	sân	U+2145D		𡑝園 sân vườn · 𡑝運動 sân vận động
𤜬	săn	U+2472C		𠫾𤜬 đi săn · 𤜬𢏑 săn bắn · 豹𤜬 báo săn · 㹥𤜬 chó săn
瑟	săn	U+745F	⇔ 瑟 sắt	瑟瑟 săn sắt [𠸨]
𢕸	săn	U+22578		𢕸𥉮 săn sóc · 𢕸迍 săn đón
趁	sấn	U+8D81		趁擻 sấn sổ [𠸨]
莘	sần	U+8398		莘䏧 sần da · 莘𥹯 sần sùi [𠸨] · 𧃷莘 khoai sần · 𡲫醜莘 vải xấu sần
栗	sần	U+6817	⇔ 栗 sật	栗栗 sần sật [𠸨]
𦼛	sắn	U+26F1B		勃𦼛 bột sắn · 榘𦼛 củ sắn
𠻿	sẵn	U+20EFF	[異] 產	𠻿𠳹 sẵn sàng [𠸨] · 𠻿便 sẵn tiện
產	SẢN	U+7522		產品 sản phẩm · 產出 sản xuất · 生產 sinh sản
棧	SẠN	U+68E7		客棧 khách sạn
𥖔	sạn	U+25594		籺𥖔 hạt sạn · 𥖔𩈘 sạn mặt
𨖅	sang	U+28585		𨖅𢆥 sang năm · 𨖅店 sang tiệm · 𨖅瀧 sang sông · 𢯢𨖅 sửa sang [𠸨]
𢀨	sang	U+22028		𢀨重 sang trọng · 高𢀨 cao sang · 𢀨𢀨 sang sảng [𠸨]
搶	SANG	U+6436		搶奪 sang đoạt
𤏬	sang	U+243EC	⇔ 𤏬 sáng	𤏬𤏬 sang sáng [𠸨]
創	SÁNG	U+5275	[翻]	創造 sáng tạo · 創作 sáng tác · 創立 sáng lập
𤏬	sáng	U+243EC	[異] 𤎜 𠓇	𣇜𤏬 buổi sáng · 𤏬𤍊 sáng tỏ · 沖𤏬 trong sáng · 𤏬𠁸 sáng suốt · 𤏬熶 sáng chói
牀	SÀNG	U+7240		臨牀 lâm sàng · 龍牀 long sàng
𠳹	sàng	U+20CF9		𡂡𠳹 sỗ sàng [𠸨] · 𠻿𠳹 sẵn sàng [𠸨]
𬕌	sàng	U+2C54C		𬕌漉 sàng lọc · 𬕌𢫟 sàng sảy
𤍎	sắng	U+2434E		焠𤍎 sốt sắng
𦼃	sắng	U+26F03		蔞𦼃 rau sắng
爽	SẢNG	U+723D		爽快 sảng khoái · 豪爽 hào sảng
𢀨	sảng	U+22028		𢀨𢀨 sang sảng [𠸨]
愴	sảng	U+6134		迷愴 mê sảng · 吶愴 nói sảng
生	SANH	U+751F	⇔ 生 sinh	
牲	SANH	U+7272	⇔ 牲 sinh	三牲 tam sanh
栍	sanh	U+680D		𣘃栍 cây sanh
𠁔	sánh	U+20054		𬧺𠁔 so sánh · 𠁔𭉪 sánh đặc
𡊳	sành	U+212B3	[異] 𥑥	甌𡊳 âu sành
䲼	sảnh	U+4CBC		𡥵䲼 con sảnh
廳	SẢNH	U+5EF3		廳堂 sảnh đường · 大廳 đại sảnh
抄	SAO	U+6284		抄錄 sao lục · 抄劄 sao chép
炒	SAO	U+7092		炒𫇿 sao thuốc
哰	sao	U+54F0	[異] 牢 𫳵	在哰 tại sao · 爲哰 vì sao · 𫜵哰 làm sao · 故哰 cớ sao · 空哰 không sao
𣒲	sao	U+234B2	[翻]	𣘃𣒲 cây sao
𣇟	sao	U+231DF	[異] 𬁖 𣋀	𡾵𣇟 ngôi sao · 笘𣇟 chòm sao · 超𣇟 siêu sao · 𣇟𣈕 sao mai
套	SÁO	U+5957		客套 khách sáo · 套語 sáo ngữ · 句文套 câu văn sáo
哨	SÁO	U+54E8		哨𨱽 sáo dài · 䈵哨 ống sáo
𥱫	sáo	U+25C6B		𬌓𥱫 tấm sáo · 幅𥱫 bức sáo
𪄤	sáo	U+2A124		𪀄𪄤 chim sáo
巢	SÀO	U+5DE2		巢穴 sào huyệt · 燕巢 yến sào · 卵巢 noãn sào
塙	sào	U+5859	單位𢵋 đơn vị đo	𠬠塙 một sào
稍	sảo	U+7A0D		稍胎 sảo thai · 丐稍 cái sảo · 銫稍 sắc sảo [𠸨]
謅	sạo	U+8B05		吶謅 nói sạo · 搐謅 sục sạo [𠸨]
鮹	sạo	U+9BB9		𩵜鮹 cá sạo
插	SÁP	U+63D2		插入 sáp nhập
蠟	sáp	U+881F		粉蠟 phấn sáp · 蠟螉 sáp ong
䏠	sấp	U+43E0		㑲䏠 nằm sấp · 挹䏠 úp sấp · 䏠紙 sấp giấy · 䏠鉑 sấp bạc · 䏠咍𡂂？ sấp hay ngửa?
𢯛	sắp	U+22BDB	[翻][異] 拉	𢯛攝 sắp xếp · 𢯛𢯢 sắp sửa
㯿	sạp	U+3BFF		丐㯿 cái sạp · 㯿蔞 sạp rau
砬	sập	U+782C		砬𥹯 sập sùi [𠸨]
𭰪	sập	U+2DC2A	[翻]	𩄎𭰪𭰪 mưa sầm sập [𠸨]
剎	SÁT	U+524E	[翻]	剎那 sát na
殺	SÁT	U+6BBA		殺害 sát hại · 殺蟲 sát trùng · 謀殺 mưu sát
察	SÁT	U+5BDF		警察 cảnh sát · 偵察 trinh sát · 察核 sát hạch · 督察 đốc sát · 監察 giám sát · 觀察 quan sát
擦	SÁT	U+64E6		摩擦 ma sát · 𨁏擦 bò sát · 擦壁 sát vách · 押擦 ép sát · 擦𠬠邊 sát một bên · 擦擦 san sát [𠸨]
瑟	SẮT	U+745F		琴瑟 cầm sắt
鉄	sắt	U+9244		鉄𨨧 sắt thép
呹	sạt	U+5479		呹𡋿 sạt lở · 呹業 sạt nghiệp
栗	sật	U+6817		栗栗 sần sật [𠸨]
湥	sặt	U+6E65		湥𡊳 sặt sành [𠸨]
𢖖󠄁（𡢐）	sau	U+22596 U+E0101 U+21890	[異] 娄 𨍦	旬𢖖󠄁 tuần sau · 𠓀𢖖󠄁 trước sau
𦒹	sáu	U+264B9		𦒹𱑕 sáu mươi · 次𦒹 thứ sáu
漊（溇）	sâu	U+6F0A U+6E87		渃漊 nước sâu · 淢漊 vực sâu
螻（蝼）	sâu	U+87BB U+877C		螻𧌂 sâu bọ
㮴	sấu	U+3BB4	[翻]	𣘃㮴 cây sấu
䱸	sấu	U+4C78		𩵜䱸 cá sấu
愁	SẦU	U+6101		愁悶 sầu muộn · 憂愁 ưu sầu · 幽愁 u sầu
𣜷	sầu	U+23737		蟡𣜷 ve sầu · 𣜷𥢆 sầu riêng · 𣜷兜 sầu đâu
醝	say	U+919D		醝𫑺 say sưa [𠸨] · 掝𠊛醝𧗱 vực người say về
傞	sây	U+509E		傞擦 sây sát [𠸨]
𤈇	sấy	U+24207		𤈇枯 sấy khô · 𤈇𬚸 sấy thịt
摨	sầy	U+6468	⇔ 摨 trầy	
𢫟	sảy	U+22ADF		𬕌𢫟 sàng sảy · 𢫟𥽌 sảy gạo
𤵴	sảy	U+24D74		𤼓𤵴 rôm sảy
𫽎	sẩy	U+2BF4E		𫽎蹎 sẩy chân · 疏𫽎 sơ sẩy · 𫽎胎 sẩy thai
𣐴	sậy	U+23434		𣘃𣐴 cây sậy · 𡓁𣐴 bãi sậy · 蹎如䈵𣐴 chân như ống sậy
𤉖	se	U+24256		𤉖䏧 se da · 𤉖𨉟 se mình
仕	sè	U+4ED5	⇔ 仕 sẽ[翻]	仕仕 sè sẽ [𠸨]
茌	sè	U+830C		茌茌 sè sè · 𨐮茌 cay sè · 𭰪茌 sập sè [𠸨]
茌	sê	U+830C		侺茌 sum sê [𠸨]
仕	sẽ	U+4ED5	[翻]	役仕𦤾 việc sẽ đến · 仕𫜵如丕 sẽ làm như vậy · 滌仕 sạch sẽ [𠸨]
胒	sề	U+80D2		粗胒 sồ sề [𠸨]
𢩿	sẻ	U+22A7F		𢺹𢩿 chia sẻ · 滻𢩿 san sẻ
𪀆	sẻ	U+2A006		𪀄𪀆 chim sẻ
䐭	sệ	U+442D		䏶䐭 bệ sệ
呎	séc	U+544E	[翻]	𬌓呎 tấm séc · 共和呎 Cộng hoà Séc
呎	sếch	U+544E	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.[翻]	
𤑯	sém	U+2446F	[翻]	𪸔𤑯 cháy sém
饞	sèm	U+995E	⇔ 饞 thèm	
蓮	sen	U+84EE	[翻]	藕蓮 ngó sen · 浸花蓮 tắm hoa sen · 𡥵蓮 con sen
﨡	sên	U+FA21		𧎜﨡 ốc sên
𣞶	sến	U+237B6		𣘃𣞶 cây sến · 楛𣞶 gỗ sến · 𣞶𩅙 sến sẩm · 𣞶咵 sến súa [𠸨]
𣻂	sền	U+23EC2	⇔ 𣻂 sệt	𣻂𣻂 sền sệt [𠸨]
㦃	sẻn	U+3983		𠽮㦃 dè sẻn · 㦃𬧺 sẻn so
盛	sển	U+76DB		王鴻盛 Vương Hồng Sển
浧	sềnh	U+6D67	[翻]	泠浧 lềnh sềnh
井	sểnh	U+4E95		寵井 sổng sểnh [𠸨]
𡁼	sèo	U+2107C		㕭𡁼 eo sèo [𠸨]
𤵪	sẹo	U+24D6A		𤵖𤵪 vết sẹo
𠊔	sếp	U+20294	[翻]	𠊔據𢴉懷！ sếp cứ đùa hoài! [摱]
𰜺	sệp	U+3073A	⇔ 𰜺 xệp	
𡏥	sét	U+213E5		釲𡏥 rỉ sét
𩂶	sét	U+290B6		𩆐𩂶 sấm sét
𣻂	sệt	U+23EC2	[翻]	𭉪𣻂 đặc sệt · 𣻂𣻂 sền sệt [𠸨] · 𢜝𣻂 sợ sệt [𠸨] · 咧𣻂 lệt sệt [𠸨]
䳂	sếu	U+4CC2	[翻]	𪀄䳂 chim sếu
差	SI	U+5DEE		參差 sâm si
魑	SI	U+9B51		魑魅魍魎 si mị võng lượng
癡（𬏝）	SI	U+7661 U+2C3DD		癡情 si tình · 癡迷 si mê · 愚癡 ngu si
𬃗	si	U+2C0D7	[翻]	𣘃𬃗 cây si
𪐢	sì	U+2A422		黰𪐢 đen sì
嚏	sì	U+568F	⇔ 嚏 xì	𣭃嚏 sù sì
士	SĨ	U+58EB		仉士 kẻ sĩ · 軍士 quân sĩ · 博士 bác sĩ · 樂士 nhạc sĩ · 士面 sĩ diện
恥	SỈ	U+6065		恥辱 sỉ nhục
𢱟	sỉ	U+22C5F		𬥓𢱟 bán sỉ
𨀋	sỉa	U+2800B		𨀋蹎 sỉa chân · 𨀋𪘵 sỉa răng · 𤷖𨀋 sưng sỉa [𠸨]
𨇗	sịch	U+281D7	[翻]	脭𨇗 sình sịch
𠡏	siêng	U+2084F		𠡏𠹌 siêng năng
切	siết	U+5207		切𬘋 siết chặt · 𫫣切 rên siết
超	SIÊU	U+8D85		超級 siêu cấp · 超越 siêu việt · 超市 siêu thị · 高超 cao siêu
銚	siêu	U+929A		銚𡐙 siêu đất · 銚𫇿 siêu thuốc · 𢱖銚 múa siêu
槮	sim	U+69EE	[翻]	𣘃槮 cây sim
吀	sin	U+5400		吀𬿺 sin sít
生	SINH	U+751F	[翻]	生員 sinh viên · 生命 sinh mệnh · 焰生 diêm sinh · 生育 sinh dục
牲	SINH	U+7272		犧牲 hi sinh
逞	SÍNH	U+901E		逞外 sính ngoại · 逞矯法 sính kiểu Pháp
聘	SÍNH	U+8058		聘禮 sính lễ
脭	sình	U+812D		脭䏾 sình bụng · 脭𨇗 sình sịch
生	sỉnh	U+751F	[翻]	詧生 soát sỉnh [𠸨]
𰈤	síp	U+30224	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.[翻]	
𬿺	sít	U+2CFFA	[翻]	𣃣𬿺 vừa sít · 吀𬿺 sin sít
哳	sịt	U+54F3		泏哳 sụt sịt [𠸨]
𡦅	so	U+21985		𡥵𡦅 con so
𬧺	so	U+2C9FA		𬧺𠁔 so sánh · 𬧺𠻗 so le
𧎷	sò	U+273B7		𧎷蝶 sò điệp
縐	sô	U+7E10	[翻]	𡲫縐 vải sô · 縐𦃮 sô gai · 𧼋縐 chạy sô [摱] · 縐演 sô diễn [摱]
數（数）	SỐ	U+6578 U+6570		函數 hàm số · 數分 số phận
粗	sồ	U+7C97		粗胒 sồ sề [𠸨]
𡂡（𪢒）	sỗ	U+210A1 U+2A892		𡂡𠳹 sỗ sàng [𠸨]
𨯃	sỏ	U+28BC3	[異] 𥐈 𩖅	頭𨯃 đầu sỏ · 𨯃箭 sỏ tên
初	SƠ	U+521D		初初 sơ sơ · 初審 sơ thẩm · 初步 sơ bộ · 初生 sơ sinh · 初等 sơ đẳng · 初級 sơ cấp
疏	SƠ	U+758F		單疏 đơn sơ · 疏柴 sơ sài [𠸨] · 疏散 sơ tán · 疏要 sơ yếu · 疏意 sơ ý · 疏鈉𩚵 sơ nồi cơm
擻（擞）	sổ	U+64FB U+64DE		𨷯擻 cửa sổ · 擻𠸜 sổ tên · 𪀄擻籠 chim sổ lồng · 句文被擻 câu văn bị sổ
籔（䉤）	sổ	U+7C54 U+4264		捲籔 cuốn sổ · 𥱬籔 ghi sổ · 籔寄錢 sổ gửi tiền · 籔冊 sổ sách
𩪵（𲌔）	sọ	U+29AB5 U+32314		𩪵𠊛 sọ người · 匣𩪵 hộp sọ
疏	SỚ	U+758F		𤼸疏 dâng sớ
𢮀	sờ	U+22B80		𢮀𢺀 sờ mó
𣻄	sờ	U+23EC4		噥𣻄 nông sờ · 𣻄𣻄 sờ sờ · 𨄉𣻄 sững sờ [𠸨]
𬾟	sỡ	U+2CF9F		謲𬾟 sàm sỡ [𠸨] · 嗾𬾟 sặc sỡ [𠸨]
數（数）	sộ	U+6578 U+6570		𣘊數 đồ sộ
所	SỞ	U+6240		處所 xứ sở · 所適 sở thích · 所以 sở dĩ · 所有 sở hữu · 所長 sở trường
楚	SỞ	U+695A		苦楚 khổ sở · 𣘃楚 cây sở
礎	SỞ	U+790E		基礎 cơ sở
𢜝	sợ	U+2271D		𢜝駭 sợ hãi · 㥋𢜝 e sợ · 𢜝𣻂 sợ sệt [𠸨]
叉	sòa	U+53C9		侺叉 sùm sòa [𠸨]
帥	SOÁI	U+5E25		統帥 thống soái
𣻑	soài	U+23ED1	⇔ 𣻑 sượt	㳥𣻑 sõng soài [𠸨]
膗	soài	U+8197		㳥膗 sóng soài [𠸨]
篡	SOÁN	U+7BE1		篡𡾵 soán ngôi · 篡奪 soán đoạt · 篡逆 soán nghịch
撰	SOẠN	U+64B0		𢯢撰 sửa soạn · 編撰 biên soạn · 撰者 soạn giả
饌	SOẠN	U+994C		盛饌 thịnh soạn
鏯	soảng	U+93EF	⇔ 鏯 xoảng	
𪮡	soạng	U+2ABA1		𢮀𪮡 sờ soạng [𠸨]
詧	soát	U+8A67		檢詧 kiểm soát · 詧察 soát xét
嚓	soạt	U+5693		𠸂嚓 sột soạt [𠸨]
朔	SÓC	U+6714	[翻]	朔望 sóc vọng · 朔風 sóc phong · 朔𦝄 Sóc Trăng
𤠕	sóc	U+24815		𡥵𤠕 con sóc · 𤠕𤝞 sóc chuột
𥉮	sóc	U+2526E		𢕸𥉮 săn sóc · 𢟙𥉮 chăm sóc
傗	sốc	U+5097		𨠳傗 gây sốc [摱] · 傗反衛 sốc phản vệ [摱]
𩺯	sốc	U+29EAF		𩵜𩺯 cá sốc
𪟄	sọc	U+2A7C4		𪟄𡲫 sọc vải
𤐝	soi	U+2441D	[翻]	𤐝𦎛 soi gương · 𤐝燴 soi rọi
𪤠	soi	U+2A920		𪤠𣘛 soi dâu
𤢿	sói	U+248BF		㹥𤢿 chó sói
㰁	sói	U+3C01		花㰁 hoa sói
𩯹	sói	U+29BF9		𩯹頭 sói đầu
𤉚	sôi	U+2425A		渃𤉚 nước sôi · 油𤉚 dầu sôi
誄	sõi	U+8A84		吶誄 nói sõi
𦆙	sồi	U+26199		襖𦆙 áo sồi · 𡲫𦆙 vải sồi · 𨷯楛𦆙 cửa gỗ sồi
𩟬	sồi	U+297EC	⇔ 𩟬 sổi	
礌	sỏi	U+790C	[異] 𥗐	礌𥒥 sỏi đá · 𡊳礌 sành sỏi
𩟬	sổi	U+297EC		咹𩟬 ăn sổi
𤴶	sởi	U+24D36		病𤴶 bệnh sởi
𥾘	sợi	U+25F98	[翻][異] 𥿥	𥾘𩯀 sợi tóc
攙	sóm	U+6519		攙𤑯 sóm sém [𠸨]
攙	sòm	U+6519	⇔ 攙 sọm	攙攙 sòm sọm [𠸨]
嚵	sòm	U+56B5	[翻]	喑嚵 om sòm [𠸨]
𣋽	sơm	U+232FD	⇔ 𣋽 sớm	𣋽𣋽 sơm sớm [𠸨]
攙	sọm	U+6519		攙攙 sòm sọm [𠸨]
𣋽	sớm	U+232FD	[異] 𣌋	𣋽𣊿 sớm chiều · 穭𣋽 lúa sớm
謲	sờm	U+8B32	⇔ 謲 sàm	謲𬾟 sờm sỡ [𠸨]
𣘈	son	U+23608	[翻]	粉𣘈 phấn son · 鐄𣘈 vàng son · 𣘈粉 son phấn · 樓𣘈 lầu son · 𣘈鉄 son sắt · 𢚸𣘈 lòng son
侟	sòn	U+4F9F		侟侟 sòn sòn [𠸨]
𠸂	sồn	U+20E02	⇔ 𠸂 sột	𠸂𠸂 sồn sột [𠸨]
山	SƠN	U+5C71	"格讀𧵑「山 san」爲𠼤諱時𠸗。 Cách đọc của ""山 san"" vì kiêng huý thời xưa."	山水 sơn thuỷ · 山羊 sơn dương · 江山 giang sơn
杣	sơn	U+6763	[翻]	𣘃杣 cây sơn · 膠杣 keo sơn
汕	sớn	U+6C55		汕槊 sớn sác [𠸨]
𦠳	sờn	U+26833		𦠳𧛊 sờn rách · 𦠳𢚸 sờn lòng · 𦠳志 sờn chí
摌	sởn	U+644C		摌疏 sởn sơ · 摌𩯀𬛑 sởn tóc gáy
笙	song	U+7B19		笙鸞 song lang
窻	SONG	U+7ABB		窻𨷯 song cửa · 窻糊 song hồ · 桭窻 chấn song
雙（双）	song	U+96D9 U+53CC	[翻]	雙𠻗 song le
雙（双）	SONG	U+96D9 U+53CC	[翻]	雙方 song phương · 雙喜 song hỉ · 雙語 song ngữ · 雙生 song sinh · 雙雙 song song
𧄐（𧄐󠄁）	song	U+27110 U+27110 U+E0101		𧦕𧄐 ghế song
𩽧（𩽧󠄁）	song	U+29F67 U+29F67 U+E0101		𩵜𩽧 cá song
㳥	sóng	U+3CE5		𡥵㳥 con sóng · 㳥潮 sóng trào
𣙩	sòng	U+23669		浗𣙩 gàu sòng · 𣙩博 sòng bạc · 吶𣙩 nói sòng · 𣙩塝 sòng phẳng · 𪵅𣙩 lộn sòng
𪟄	sòng	U+2A7C4	⇔ 𪟄 sọc	𪟄𪟄 sòng sọc [𠸨]
瀧（滝）	sông	U+7027 U+6EDD		瀧九龍 sông cửu long · 瀧紅 sông hồng · 瀧香 sông hương
㳥	sõng	U+3CE5	⇔ 㳥 sóng	㳥𣻑 sõng soài [𠸨]
𦪃	sõng	U+26A83		隻𦪃 chiếc sõng
𤯩	sống	U+24BE9	[異] 𤯨	生𤯩 sinh sống · 𠁀𤯩 đời sống · 𩚵𤯩 cơm sống
𩩖	sống	U+29A56		𩩫𩩖 xương sống · 𩩖𪖫 sống mũi
𪟤	sống	U+2A7E4		𪟤㜥 sống mái
椶	sồng	U+6936		𣘃椶 cây sồng · 𣘽椶 nâu sồng
寵	sổng	U+5BF5		寵井 sổng sểnh [𠸨]
𣙫	sộp	U+2366B	[翻]	𣘃𣙫 cây sộp
𩻒	sộp	U+29ED2		𩵜𩻒 cá sộp
𨔊	sót	U+2850A	[翻]	𨔊徠 sót lại
焠	sốt	U+7120		焠𦛌 sốt ruột · 𤎏焠 nóng sốt
箻	sọt	U+7BBB		丐箻 cái sọt · 撣箻𥯌 đan sọt tre
叱	sớt	U+53F1		叱𢺹 sớt chia
𠸂	sột	U+20E02		𠸂嚓 sột soạt [𠸨]
蒭	su	U+84AD	[翻]	膏蒭 cao-su [摱]
漊（溇）	su	U+6F0A U+6E87	⇔ 溇 sâu	
螻（蝼）	su	U+87BB U+877C	⇔ 蝼 sâu	
𰈸	sù	U+30238	⇔ 𰈸 sụ	
𣭃	sù	U+23B43	⇔ 𣭃 xù	𣭃嚏 sù sì
師	SƯ	U+5E2B		師偨 sư thầy · 教師 giáo sư · 牧師 mục sư
獅	SƯ	U+7345		獅子 sư tử · 海獅 hải sư
樗	SƯ	U+6A17		樗樹 sư thụ
𰈸	sụ	U+30238		𫰅𰈸 to sụ · 𢀭𰈸 giàu sụ · 𰈸𰈸 sù sụ
使	SỨ	U+4F7F	[翻]	大使 đại sứ · 使命 sứ mệnh · 使臣 sứ thần · 天使 thiên sứ
𣐳	sứ	U+23433		花𣐳 hoa sứ
瓷	sứ	U+74F7		𣘊瓷 đồ sứ · 鉢瓷 bát sứ
史	SỬ	U+53F2		歷史 lịch sử · 史學 sử học · 史冊 sử sách
使	SỬ	U+4F7F	[翻]	使用 sử dụng
事	SỰ	U+4E8B		事件 sự kiện · 歷事 lịch sự
咵	súa	U+54B5		𣞶咵 sến súa [𠸨]
𡂡（𪢒）	sủa	U+210A1 U+2A892		㹥𡂡 chó sủa · 𤏬𡂡 sáng sủa [𠸨]
疎	sưa	U+758E	⇔ 疎 thưa	
𫑺	sưa	U+2B47A		醝𫑺 say sưa [𠸨]
𬄁	sưa	U+2C101		楛𬄁 gỗ sưa · 花𬄁 hoa sưa
咵	sụa	U+54B5		嗾咵 sặc sụa [𠸨]
