# 澳門增補字符集（Macao Supplementary Character Set (MSCS), 2022）
# 备注：《澳門增補字符集–2022》共包括443個字符，其中漢字427個，符號16個，相比《澳門增補字符集–2020》新增收的字符共有1個。
# 整理自 http://code.web.idv.hk/miscs/miscs.php?i=1
# char	IDS	Unicode	MSCS	舊MAC序號	備註

衆	⿱⿱丿罒𧰨	U+8846-E0108	ME-8846-001	MAC-00087	異體字；公司名，財政局
衆	⿱⿱丿罒乑	U+8846-E0109	ME-8846-002	MAC-00126	異體字；人名，身份證明局
譧	⿰言亷	U+8B67-E0101	ME-8B67-001		異體字（曾用編號 MC-00135）
踭	⿰𧾷爭	U+8E2D-E0101	ME-8E2D-001		異體字
邨	⿰屯阝	U+90A8-E0107	ME-90A8-001		異體字
酶	⿰酉每	U+9176-E0101	ME-9176-001		異體字
銹	⿰金秀	U+92B9-E0102	ME-92B9-001		異體字
鍮	⿰金兪	U+936E-E0104	ME-936E-001		異體字
鏆	⿰金貫	U+93C6-E0102	ME-93C6-001	MAC-00128	異體字；身份證明局(撤回)
隶	⿱肀水	U+96B6-E0104	ME-96B6-001	MAC-00127	異體字；人名，身份證明局
静	⿰靑争	U+9759-E0106	ME-9759-001		異體字
靜	⿰靑爭	U+975C-E0109	ME-975C-001		異體字
靭	⿰革刃	U+976D-E0106	ME-976D-001		異體字
韈	⿰革⿱𦭝戌	U+97C8-E0106	ME-97C8-001		異體字
飬	⿱⿱半八良	U+98EC-E0101	ME-98EC-001	MAC-00121	異體字；人名，法務局
飬	⿱𠔉良	U+98EC-E0102	ME-98EC-002	MAC-00097	異體字；財政局(撤回)
餸	⿰飠送	U+9938-E0101	ME-9938-001		異體字
驣	⿰馬駦	U+9A63-E0101	ME-9A63-001		異體字
髥	⿱髟&CDP-87F0;	U+9AE5-E0102	ME-9AE5-001	MAC-00091	異體字；財政局(撤回)
黙	⿱⿰&CDP-88D4;犬灬	U+9ED9-E0102	ME-9ED9-001	MAC-00105	異體字；法務局(撤回)
𠜎	⿰先刂	U+2070E-E0101	ME-2070E-001		異體字
𠲘	⿱𦍌口	U+20C98-E0101	ME-20C98-001	MAC-00082	異體字；人名，教青局
𡞵	⿰女奐	U+217B5-E0101	ME-217B5-001	MAC-00098	異體字
𡩴	⿳宀⿻夕丶缶	U+21A74-E0101	ME-21A74-001	MAC-00083	異體字；人名，教青局
𡵞	⿱山丰	U+21D5E-E0101	ME-21D5E-001		異體字
𣟂	⿰木寬	U+237C2-E0101	ME-237C2-001		異體字
𥖄	⿰石羨	U+25584-E0101	ME-25584-001		異體字
𦏹	⿰羽干	U+263F9-E0101	ME-263F9-001		異體字
𦐐	⿱羽文	U+26410-E0101	ME-26410-001		異體字
𦐹	⿰羽辛	U+26439-E0101	ME-26439-001		異體字
𦒉	⿰光習	U+26489-E0103	ME-26489-001		異體字
𧃰	⿳艹⿲止自巳⿱八夊	U+270F0-E0103	ME-270F0-001	MAC-00092	異體字；財政局(撤回)
𧝁	⿰衤⿱罒羽	U+27741-E0101	ME-27741-001		異體字
𬽺	⿰亻⿱攵力	U+2CF7A-E0101	ME-2CF7A-001		異體字
㜏	⿰女員	U+370F	MD-370F		簡體：㛣
㠦	⿰山豐	U+3826	MD-3826		
㵲	⿰氵舞	U+3D72	MD-3D72		
